,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.58,108,11.09,1.34,109/1
1,1102,亞泥,7.16,108,9.23,0.99,109/1
2,1103,嘉泥,5.88,108,11.41,0.52,109/1
3,1104,環泥,5.80,108,10.99,0.64,109/1
5,1109,信大,6.53,108,6.22,0.84,109/1
29,1304,台聚,4.13,108,10.43,0.70,109/1
30,1305,華夏,5.49,108,12.47,1.12,109/1
32,1308,亞聚,5.99,108,12.23,1.04,109/1
38,1315,達新,7.14,108,13.92,1.26,109/1
40,1319,東陽,4.91,108,11.67,0.98,109/1
42,1323,永裕,4.87,108,9.89,1.53,109/1
48,1339,昭輝,4.45,108,9.85,0.94,109/1
52,1409,新纖,4.76,108,11.91,0.67,109/1
57,1417,嘉裕,5.24,108,6.00,0.63,109/1
62,1434,福懋,7.90,108,10.41,0.93,109/1
65,1437,勤益控,4.72,108,6.04,0.75,109/1
67,1439,中和,12.17,108,3.93,1.35,109/1
83,1457,宜進,7.63,108,-1,0.72,109/1
87,1464,得力,8.00,108,13.79,1.30,109/1
88,1465,偉全,9.84,108,-1,0.82,109/1
112,1522,堤維西,5.88,108,13.52,1.12,109/1
113,1524,耿鼎,4.22,108,11.99,0.74,109/1
119,1530,亞崴,4.67,108,7.91,0.98,109/1
130,1558,伸興,6.47,108,11.55,1.70,109/1
133,1582,信錦,5.65,108,11.02,1.77,109/1
134,1583,程泰,4.93,108,13.60,1.42,109/1
141,1604,聲寶,6.40,108,11.50,1.35,109/1
143,1608,華榮,7.38,108,-1,0.65,109/1
145,1611,中電,10.57,108,5.54,0.85,109/1
148,1615,大山,9.05,108,10.38,1.38,109/1
195,1817,凱撒衛,5.69,108,12.57,1.27,109/1
197,1904,正隆,5.04,108,9.52,1.08,109/1
200,1907,永豐餘,5.02,108,8.25,0.64,109/1
203,2006,東和鋼鐵,5.67,108,14.00,0.97,109/1
208,2012,春雨,7.45,108,14.91,1.39,109/1
237,2107,厚生,4.65,108,8.13,0.58,109/1
248,2228,劍麟,5.35,108,11.78,1.79,109/1
250,2233,宇隆,5.06,108,14.02,1.47,109/1
254,2301,光寶科,6.87,108,11.41,1.64,109/1
263,2317,鴻海,5.12,108,11.66,0.94,109/1
266,2324,仁寶,6.40,108,13.11,0.81,109/1
268,2328,廣宇,5.43,108,10.22,0.90,109/1
275,2340,光磊,5.00,108,12.35,1.09,109/1
279,2347,聯強,5.91,108,10.58,1.63,109/1
283,2352,佳世達,4.23,108,11.99,1.04,109/1
285,2354,鴻準,4.52,108,11.45,0.80,109/1
287,2356,英業達,5.20,108,13.09,1.67,109/1
293,2363,矽統,14.46,108,-1,1.00,109/1
295,2365,昆盈,4.53,108,13.26,0.71,109/1
313,2392,正崴,5.90,108,10.75,0.92,109/1
327,2414,精技,5.32,108,14.84,1.65,109/1
331,2420,新巨,5.90,108,11.38,1.63,109/1
333,2423,固緯,6.54,108,10.98,1.53,109/1
338,2428,興勤,4.18,108,12.08,1.96,109/1
340,2430,燦坤,5.28,108,13.73,0.66,109/1
342,2433,互盛電,7.45,108,12.47,1.81,109/1
348,2441,超豐,4.42,108,14.09,1.72,109/1
353,2449,京元電子,4.94,108,12.53,1.67,109/1
356,2453,凌群,5.48,108,14.96,1.00,109/1
362,2459,敦吉,7.53,108,9.46,1.03,109/1
369,2467,志聖,8.50,108,14.20,1.80,109/1
371,2471,資通,6.27,108,13.64,1.43,109/1
373,2474,可成,4.55,108,12.50,1.11,109/1
375,2477,美隆電,7.42,108,12.24,1.34,109/1
380,2483,百容,5.25,108,12.96,0.90,109/1
384,2488,漢平,7.89,108,11.61,1.14,109/1
388,2493,揚博,7.73,108,12.99,1.70,109/1
389,2495,普安,4.45,108,-1,0.95,109/1
402,2520,冠德,4.18,108,12.13,1.37,109/1
404,2527,宏璟,8.51,108,7.22,0.78,109/1
408,2535,達欣工,5.90,108,11.78,0.99,109/1
409,2536,宏普,4.90,108,10.56,0.67,109/1
411,2538,基泰,5.00,108,-1,0.65,109/1
417,2546,根基,7.33,108,11.60,1.59,109/1
419,2548,華固,8.78,108,7.39,1.40,109/1
421,2601,益航,13.22,108,5.89,0.69,109/1
434,2616,山隆,6.09,108,13.31,0.97,109/1
435,2617,台航,5.10,108,10.98,0.63,109/1
440,2636,台驊投控,4.53,108,14.36,1.42,109/1
441,2637,慧洋-1KY,6.26,108,9.42,0.53,109/1
458,2812,台中銀,6.72,108,10.53,0.85,109/1
459,2816,旺旺保,7.52,108,9.31,0.75,109/1
461,2823,中壽,5.61,108,6.26,0.98,109/1
462,2832,台產,5.04,108,11.47,0.84,109/1
463,2834,臺企銀,6.70,108,12.74,0.78,109/1
464,2836,高雄銀,5.13,108,13.25,0.71,109/1
465,2838,聯邦銀,7.58,108,10.77,0.61,109/1
467,2845,遠東銀,6.55,108,13.29,0.80,109/1
468,2849,安泰銀,4.63,108,13.82,0.90,109/1
469,2850,新產,4.92,108,8.03,1.02,109/1
470,2851,中再保,4.66,108,9.75,0.94,109/1
475,2881,富邦金,4.68,108,7.12,0.98,109/1
476,2882,國泰金,4.96,108,8.15,0.90,109/1
477,2883,開發金,6.77,108,14.77,0.79,109/1
479,2885,元大金,5.77,108,11.10,0.93,109/1
481,2887,台新金,5.90,108,12.32,0.87,109/1
482,2888,新光金,4.52,108,6.16,0.73,109/1
483,2889,國票金,7.07,108,13.49,0.95,109/1
484,2890,永豐金,6.42,108,11.12,0.84,109/1
485,2891,中信金,5.06,108,8.98,1.15,109/1
490,2904,匯僑,6.93,108,12.59,1.60,109/1
491,2905,三商,7.50,108,5.54,1.28,109/1
498,2915,潤泰全,7.69,108,3.60,0.66,109/1
499,2923,鼎固-1KY,8.21,108,-1,0.92,109/1
505,3004,豐達科,4.78,108,8.46,1.59,109/1
506,3005,神基,6.60,108,11.96,1.83,109/1
509,3010,華立,5.97,108,8.86,1.11,109/1
528,3031,佰鴻,5.90,108,11.58,0.94,109/1
529,3032,偉訓,6.60,108,11.62,1.53,109/1
533,3036,文曄,6.59,108,9.04,1.11,109/1
535,3038,全台,6.27,108,11.47,1.48,109/1
540,3044,健鼎,5.97,108,10.75,1.83,109/1
544,3048,益登,5.93,108,8.47,1.05,109/1
548,3052,夆典,4.07,108,13.82,0.87,109/1
551,3056,總太,8.63,108,9.60,1.44,109/1
564,3209,全科,6.20,108,11.28,1.36,109/1
573,3312,弘憶股,7.77,108,11.79,1.27,109/1
592,3501,維熹,6.19,108,11.02,1.04,109/1
