,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.43,109,12.54,1.51,110/1
1,1102,亞泥,7.55,109,8.97,1.02,110/1
2,1103,嘉泥,6.31,109,7.74,0.57,110/1
3,1104,環泥,4.84,109,10.39,0.79,110/1
4,1108,幸福,5.49,109,14.66,1.16,110/1
5,1109,信大,6.70,109,6.40,0.99,110/1
15,1219,福壽,4.48,109,12.32,1.54,110/1
16,1220,台榮,5.75,109,13.49,1.27,110/1
38,1315,達新,11.40,109,1.72,0.78,110/1
42,1323,永裕,4.67,109,11.05,1.46,110/1
44,1325,恆大,19.51,109,2.61,1.35,110/1
47,1338,廣華-1KY,5.77,109,12.04,0.79,110/1
53,1409,新纖,5.41,109,9.33,1.07,110/1
57,1416,廣豐,4.95,109,-1,0.53,110/1
61,1423,利華,8.47,109,7.01,0.97,110/1
84,1457,宜進,8.36,109,5.29,0.85,110/1
91,1467,南緯,4.76,109,11.40,1.08,110/1
128,1539,巨庭,4.60,108,-1,0.90,110/1
131,1558,伸興,5.81,109,9.49,1.86,110/1
136,1587,吉茂,6.92,109,9.86,1.56,110/1
142,1604,聲寶,8.10,109,6.16,1.44,110/1
147,1612,宏泰,4.95,109,9.94,1.42,110/2
154,1701,中化,4.23,109,12.25,1.00,110/1
155,1702,南僑,4.04,109,10.62,1.97,110/1
158,1709,和益,5.71,109,14.00,1.35,110/1
161,1712,興農,5.66,109,11.95,1.38,110/2
163,1714,和桐,6.14,109,6.03,0.91,110/1
165,1718,中纖,4.67,109,8.99,0.59,110/1
166,1720,生達,4.68,109,10.61,1.70,110/2
167,1721,三晃,5.25,109,3.54,0.72,110/1
171,1725,元禎,4.45,109,13.47,1.14,110/1
172,1726,永記,4.55,109,13.24,1.33,110/2
196,1817,凱撒衛,5.25,109,11.21,1.52,110/2
198,1904,正隆,4.25,109,11.55,1.76,110/1
238,2107,厚生,6.22,109,9.56,0.71,110/1
242,2115,六暉-1KY,4.98,109,6.91,1.61,110/1
244,2204,中華,9.94,109,9.08,0.95,110/2
245,2206,三陽工業,4.56,109,11.98,1.49,110/1
257,2247,汎德永業,4.91,109,14.38,1.55,110/1
259,2301,光寶科,5.43,109,10.94,1.97,110/2
267,2316,楠梓電,5.04,109,12.24,0.72,110/1
270,2323,中環,6.97,109,9.57,0.62,110/1
271,2324,仁寶,7.48,109,8.20,0.91,110/1
280,2340,台亞,4.22,109,14.95,1.63,110/2
284,2347,聯強,6.16,109,10.06,1.73,110/1
288,2352,佳世達,5.01,109,8.58,1.51,110/1
289,2353,宏碁,5.56,109,8.18,1.35,110/2
292,2356,英業達,7.91,109,14.81,1.60,110/1
293,2357,華碩,8.07,109,6.74,1.10,110/1
298,2363,矽統,5.45,109,-1,1.00,110/1
312,2382,廣達,6.71,109,10.01,1.92,110/1
318,2392,正崴,6.19,109,9.93,0.83,110/1
332,2414,精技,5.11,109,11.91,1.86,110/2
334,2417,圓剛,6.34,109,4.45,1.44,110/1
336,2420,新巨,6.27,109,13.75,1.87,110/1
345,2430,燦坤,4.16,109,11.94,1.27,110/2
347,2433,互盛電,7.09,109,13.06,1.67,110/1
358,2450,神腦,4.72,109,14.98,1.41,110/2
360,2453,凌群,5.93,109,13.46,1.31,110/1
366,2459,敦吉,6.01,109,11.78,1.36,110/1
368,2461,光群雷,4.20,109,13.52,1.36,110/1
375,2471,資通,5.79,109,14.08,1.60,110/2
377,2474,可成,6.70,109,7.73,0.91,110/2
379,2477,美隆電,4.43,109,3.94,1.44,110/1
380,2478,大毅,4.41,109,14.41,1.61,110/1
388,2488,漢平,5.03,109,12.39,1.13,110/2
397,2501,國建,4.88,109,14.44,0.96,110/1
398,2504,國產,6.68,109,9.68,1.27,110/1
399,2505,國揚,8.62,109,2.07,1.16,110/1
