,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.55,108,10.83,1.33,109/4
1,1102,亞泥,6.55,108,10.73,1.08,109/3
3,1104,環泥,4.55,108,11.00,0.81,109/3
5,1109,信大,5.28,108,7.81,1.02,109/3
16,1220,台榮,4.72,108,13.23,0.97,109/3
32,1308,亞聚,4.70,108,12.32,1.13,109/4
34,1310,台苯,5.33,108,-1,1.58,109/3
38,1315,達新,4.51,108,2.03,0.89,109/3
42,1323,永裕,4.68,108,10.59,1.40,109/4
62,1432,大魯閣,26.14,108,-1,1.04,109/3
65,1436,華友聯,6.23,108,8.74,1.41,109/3
66,1437,勤益控,4.60,108,13.58,0.76,109/4
83,1457,宜進,6.06,108,5.85,0.81,109/3
88,1465,偉全,11.63,108,-1,0.78,109/3
119,1530,亞崴,4.19,108,10.03,1.12,109/3
127,1539,巨庭,4.29,108,-1,0.96,109/3
128,1540,喬福,6.39,108,-1,1.01,109/3
130,1558,伸興,5.42,108,11.81,1.97,109/4
133,1582,信錦,5.23,108,11.01,1.80,109/4
142,1604,聲寶,4.96,108,6.56,1.50,109/3
144,1608,華榮,4.87,108,14.26,0.91,109/3
146,1611,中電,9.06,108,5.30,1.03,109/3
149,1615,大山,6.71,108,11.83,1.93,109/3
155,1702,南僑,4.24,108,11.89,1.94,109/3
161,1712,興農,5.87,108,13.03,1.32,109/4
172,1726,永記,4.43,108,14.18,1.38,109/3
196,1817,凱撒衛,4.88,108,11.49,1.48,109/4
214,2020,美亞,8.51,108,13.10,1.63,109/3
219,2027,大成鋼,4.04,108,-1,1.66,109/3
241,2115,六暉-1KY,5.55,108,7.39,1.62,109/4
256,2301,光寶科,5.22,108,14.22,1.94,109/4
281,2347,聯強,4.81,108,11.06,1.65,109/4
289,2356,英業達,4.84,108,12.04,1.67,109/3
295,2363,矽統,9.21,108,-1,1.03,109/3
315,2392,正崴,5.12,108,11.18,1.04,109/3
329,2414,精技,5.47,108,12.92,1.64,109/3
333,2420,新巨,5.39,108,12.79,1.76,109/4
342,2430,燦坤,4.01,108,13.49,0.87,109/4
354,2449,京元電子,4.42,108,13.70,1.70,109/4
363,2459,敦吉,5.67,108,11.85,1.29,109/3
372,2471,資通,4.72,108,14.61,1.93,109/3
374,2474,可成,4.88,108,7.39,0.99,109/4
385,2488,漢平,6.98,108,14.52,1.28,109/4
390,2495,普安,4.27,108,-1,0.99,109/4
409,2535,達欣工,4.36,108,8.80,1.25,109/4
410,2536,宏普,5.27,108,10.83,0.63,109/3
412,2538,基泰,4.95,108,-1,0.70,109/3
418,2546,根基,5.78,108,11.48,1.87,109/3
420,2548,華固,8.06,108,9.26,1.48,109/4
422,2601,益航,11.02,108,-1,0.95,109/3
433,2614,東森,5.83,108,13.09,1.56,109/3
435,2616,山隆,5.35,108,12.70,0.96,109/3
459,2812,台中銀,7.02,108,11.75,0.83,109/4
460,2816,旺旺保,6.46,108,7.07,0.83,109/3
461,2820,華票,4.65,108,13.14,0.82,109/4
462,2823,中壽,4.94,108,7.39,0.64,109/4
463,2832,台產,4.55,108,11.70,0.86,109/3
465,2836,高雄銀,5.02,108,14.30,0.68,109/4
466,2838,聯邦銀,7.41,108,10.59,0.62,109/3
468,2845,遠東銀,6.95,108,12.53,0.76,109/3
469,2849,安泰銀,4.85,108,13.56,0.85,109/4
470,2850,新產,4.60,108,7.32,1.01,109/3
472,2852,第一保,7.06,108,12.59,0.62,109/3
473,2855,統一證,5.69,108,11.41,1.07,109/3
477,2882,國泰金,4.39,108,8.94,0.82,109/3
478,2883,開發金,5.91,108,13.53,0.80,109/3
480,2885,元大金,4.83,108,11.57,1.07,109/3
482,2887,台新金,6.06,108,10.65,0.83,109/4
483,2888,新光金,4.49,108,8.05,0.48,109/4
484,2889,國票金,5.43,108,14.66,1.18,109/3
485,2890,永豐金,5.69,108,11.28,0.89,109/4
486,2891,中信金,4.68,108,9.98,1.05,109/4
491,2904,匯僑,5.83,108,12.52,1.96,109/3
492,2905,三商,9.66,108,11.63,0.97,109/3
499,2915,潤泰全,6.06,108,6.76,0.51,109/3
501,2929,淘帝-1KY,15.69,108,-1,0.24,109/3
503,2939,凱羿-1KY,12.93,108,-1,1.62,109/3
510,3010,華立,4.07,108,10.86,1.56,109/3
534,3036,文曄,4.50,108,11.30,0.93,109/4
536,3038,全台,5.96,108,12.59,1.59,109/3
566,3209,全科,4.78,108,11.55,1.63,109/3
568,3231,緯創,5.94,108,10.41,1.36,109/3
594,3501,維熹,5.37,108,14.41,1.14,109/3
598,3528,安馳,5.58,108,14.09,1.94,109/4
630,3702,大聯大,5.04,108,11.51,1.41,109/3
633,3705,永信,4.97,108,14.05,1.88,109/3
634,3706,神達,7.60,108,11.86,0.81,109/4
653,4426,利勤,4.55,108,-1,1.44,109/3
674,4722,國精化,5.28,108,11.84,1.31,109/4
687,4916,事欣科,8.37,108,-1,1.63,109/4
689,4927,泰鼎-1KY,4.49,108,12.23,1.78,109/3
693,4938,和碩,6.08,108,8.17,1.21,109/3
694,4942,嘉彰,6.16,108,9.21,0.81,109/3
707,4999,鑫禾,4.11,108,10.76,1.28,109/4
726,5519,隆大,7.52,108,8.67,0.90,109/4
728,5522,遠雄,6.69,108,13.24,1.06,109/3
732,5534,長虹,7.46,108,9.94,1.44,109/3
733,5538,東明-1KY,4.05,108,13.60,1.60,109/3
739,5876,上海商銀,5.06,108,13.24,1.18,109/3
743,6005,群益證,5.39,108,10.76,0.93,109/3
744,6024,群益期,4.90,108,12.98,1.31,109/3
745,6108,競國,7.19,108,-1,1.03,109/3
768,6184,大豐電,6.68,108,13.28,1.56,109/4
769,6189,豐藝,5.85,108,14.32,1.84,109/3
771,6192,巨路,4.55,108,12.18,1.55,109/3
780,6214,精誠,5.67,108,13.13,1.62,109/4
788,6239,力成,4.31,108,11.41,1.82,109/3
791,6257,矽格,4.18,108,12.74,1.79,109/4
810,6442,光聖,4.26,108,-1,1.23,109/3
836,6641,基士德-1KY,6.37,108,10.95,1.88,109/4
842,6671,三能-1KY,6.64,108,12.25,1.74,109/3
857,8039,台虹,4.79,108,14.11,1.46,109/4
869,8131,福懋科,5.47,108,12.68,1.50,109/4
870,8150,南茂,4.19,108,13.22,1.50,109/4
871,8163,達方,4.89,108,14.55,1.43,109/4
874,8213,志超,4.78,108,7.25,1.11,109/4
894,8466,美吉吉-1KY,6.52,108,12.03,1.62,109/3
909,9905,大華,4.06,108,13.47,1.03,109/4
921,9924,福興,5.68,108,10.47,1.48,109/4
934,9939,宏全,4.49,108,12.01,1.55,109/3
935,9940,信義,4.13,108,13.77,1.86,109/4
940,9945,潤泰新,13.38,108,9.71,0.70,109/3
