,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.08,109,13.96,1.49,110/3
1,1102,亞泥,7.79,109,10.18,1.04,110/3
2,1103,嘉泥,6.93,109,7.11,0.50,110/3
3,1104,環泥,5.09,109,12.78,0.75,110/3
5,1109,信大,7.50,109,7.07,0.91,110/3
16,1220,台榮,6.27,109,13.75,1.21,110/3
30,1305,華夏,6.80,109,6.80,1.85,110/3
33,1309,台達化,8.94,109,5.79,1.73,110/3
36,1313,聯成,4.71,109,6.48,0.95,110/3
42,1323,永裕,4.56,109,11.36,1.41,110/3
44,1325,恆大,21.51,109,5.79,1.62,110/3
47,1338,廣華-1KY,6.36,109,11.20,0.75,110/3
53,1409,新纖,5.68,109,8.52,0.91,110/3
57,1416,廣豐,4.42,109,-1,0.62,110/3
61,1423,利華,9.11,109,4.51,0.91,110/3
106,1513,中興電,5.06,109,9.24,1.86,110/3
117,1527,鑽全,5.53,109,12.46,1.42,110/3
131,1558,伸興,6.62,109,11.37,1.76,110/3
136,1587,吉茂,7.78,109,14.60,1.39,110/3
140,1598,岱宇,15.43,109,5.49,1.50,110/3
142,1604,聲寶,8.20,109,6.59,1.34,110/3
147,1612,宏泰,4.75,109,12.63,1.46,110/3
149,1615,大山,7.56,109,10.24,1.91,110/3
153,1626,艾美特-1KY,5.19,109,-1,1.00,110/3
154,1701,中化,4.44,109,14.61,0.88,110/3
155,1702,南僑,4.05,109,11.10,1.43,110/3
158,1709,和益,4.90,109,12.13,1.56,110/3
161,1712,興農,4.54,109,14.18,1.67,110/3
165,1718,中纖,4.98,109,-1,0.56,110/3
166,1720,生達,4.21,109,11.02,1.84,110/3
171,1726,永記,4.76,109,12.72,1.32,110/3
184,1776,展宇,4.75,109,8.52,1.40,110/3
195,1817,凱撒衛,5.45,109,11.95,1.54,110/3
197,1904,正隆,5.10,109,9.15,1.47,110/3
200,1907,永豐餘,4.34,109,10.16,1.19,110/3
213,2020,美亞,5.56,109,8.58,1.90,110/3
237,2107,厚生,6.65,109,11.45,0.67,110/3
241,2115,六暉-1KY,6.21,109,9.61,1.41,110/3
243,2204,中華,11.18,109,8.60,0.83,110/3
244,2206,三陽工業,4.83,109,13.18,1.41,110/3
256,2247,汎德永業,5.10,109,13.73,1.53,110/3
