,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.33,109,13.49,1.44,110/3
1,1102,亞泥,8.24,109,9.63,0.98,110/3
2,1103,嘉泥,6.75,109,7.31,0.51,110/3
3,1104,環泥,5.24,109,12.43,0.73,110/3
5,1109,信大,7.50,109,7.07,0.91,110/3
16,1220,台榮,6.54,109,13.19,1.16,110/3
30,1305,華夏,6.78,109,6.82,1.86,110/3
33,1309,台達化,8.84,109,5.86,1.76,110/3
36,1313,聯成,4.72,109,6.46,0.95,110/3
42,1323,永裕,4.55,109,11.38,1.41,110/3
44,1325,恆大,27.24,109,4.57,1.28,110/3
47,1338,廣華-1KY,6.89,109,10.35,0.69,110/3
53,1409,新纖,5.67,109,8.55,0.92,110/3
57,1416,廣豐,4.50,109,-1,0.61,110/3
61,1423,利華,9.21,109,4.46,0.90,110/3
106,1513,中興電,4.91,109,9.54,1.92,110/3
117,1527,鑽全,5.62,109,12.27,1.39,110/3
131,1558,伸興,6.57,109,11.45,1.77,110/3
136,1587,吉茂,7.87,109,14.43,1.38,110/3
140,1598,岱宇,12.19,109,6.95,1.90,110/3
142,1604,聲寶,8.50,109,6.35,1.29,110/3
147,1612,宏泰,4.74,109,12.65,1.46,110/3
149,1615,大山,7.40,109,10.47,1.96,110/3
153,1626,艾美特-1KY,5.17,109,-1,1.01,110/3
154,1701,中化,4.44,109,14.61,0.88,110/3
155,1702,南僑,4.08,109,11.02,1.42,110/3
158,1709,和益,5.14,109,11.56,1.49,110/3
161,1712,興農,4.56,109,14.11,1.66,110/3
164,1717,長興,4.16,109,12.18,1.92,110/3
165,1718,中纖,4.93,109,-1,0.56,110/3
166,1720,生達,4.53,109,10.23,1.70,110/3
171,1726,永記,4.79,109,12.63,1.31,110/3
184,1776,展宇,4.59,109,8.83,1.45,110/3
195,1817,凱撒衛,5.46,109,11.92,1.53,110/3
197,1904,正隆,5.29,109,8.81,1.41,110/3
200,1907,永豐餘,4.34,109,10.16,1.19,110/3
212,2020,美亞,5.41,109,8.82,1.96,110/3
236,2107,厚生,6.67,109,11.42,0.67,110/3
240,2115,六暉-1KY,6.31,109,9.45,1.38,110/3
242,2204,中華,10.65,109,9.02,0.87,110/3
243,2206,三陽工業,5.03,109,12.65,1.35,110/3
255,2247,汎德永業,5.23,109,13.41,1.49,110/3
257,2301,光寶科,5.64,109,10.29,1.98,110/3
265,2316,楠梓電,5.17,109,10.70,0.70,110/3
269,2324,仁寶,6.91,109,7.19,0.93,110/3
274,2331,精英,4.02,109,-1,1.34,110/3
282,2347,聯強,5.65,109,5.83,1.65,110/3
286,2352,佳世達,5.08,109,6.40,1.61,110/3
287,2353,宏碁,5.42,109,7.80,1.35,110/3
291,2357,華碩,7.38,109,6.18,1.21,110/3
312,2385,群光,6.92,109,9.80,1.99,110/3
313,2387,精元,4.31,109,7.26,1.15,110/3
317,2393,億光,4.39,109,11.37,1.25,110/3
332,2417,圓剛,7.97,109,9.30,1.14,110/3
345,2433,互盛電,7.06,109,13.32,1.81,110/3
355,2449,京元電子,4.59,109,12.60,1.66,110/3
356,2450,神腦,4.62,109,14.64,1.41,110/3
357,2451,創見,4.40,109,12.88,1.54,110/3
358,2453,凌群,5.76,109,12.77,1.40,110/3
364,2459,敦吉,5.63,109,11.36,1.37,110/3
366,2461,光群雷,4.14,109,9.13,1.37,110/3
373,2471,資通,6.00,109,13.02,1.57,110/3
374,2472,立隆電,4.36,109,12.72,1.92,110/3
375,2474,可成,7.74,109,6.18,0.78,110/3
377,2477,美隆電,4.46,109,3.86,1.50,110/3
378,2478,大毅,4.50,109,11.83,1.56,110/3
386,2488,漢平,5.57,109,14.57,1.07,110/3
390,2493,揚博,6.64,109,14.15,1.87,110/3
396,2504,國產,5.64,109,11.27,1.52,110/3
397,2505,國揚,10.66,109,8.69,0.97,110/3
404,2520,冠德,8.83,109,4.53,1.26,110/3
406,2527,宏璟,4.22,109,5.41,0.85,110/3
409,2534,宏盛,4.46,109,12.58,0.81,110/3
410,2535,達欣工,7.93,109,8.33,1.24,110/3
416,2542,興富發,4.33,109,7.62,1.58,110/3
418,2545,皇翔,12.23,109,8.16,1.10,110/3
419,2546,根基,7.25,109,7.06,1.57,110/3
421,2548,華固,7.63,109,11.35,1.48,110/3
436,2616,山隆,6.11,109,11.76,0.93,110/3
460,2809,京城銀,4.47,109,5.85,0.92,110/3
461,2812,台中銀,5.80,109,11.12,0.86,110/3
462,2816,旺旺保,4.11,109,9.17,0.72,110/3
463,2820,華票,5.09,109,12.57,0.90,110/3
466,2834,臺企銀,4.58,109,14.55,0.73,110/3
468,2838,聯邦銀,4.98,109,9.73,0.69,110/3
471,2849,安泰銀,4.41,109,13.03,0.94,110/3
472,2850,新產,4.15,109,6.96,1.03,110/3
473,2851,中再保,4.60,109,9.61,1.07,110/3
475,2855,統一證,8.05,109,6.78,1.11,110/3
478,2881,富邦金,4.10,109,6.02,1.09,110/3
479,2882,國泰金,4.17,109,6.64,1.03,110/3
482,2885,元大金,5.06,109,8.75,1.10,110/3
484,2887,台新金,5.43,109,11.07,1.17,110/3
486,2889,國票金,6.25,109,12.03,1.20,110/3
487,2890,永豐金,4.58,109,10.93,1.08,110/3
488,2891,中信金,4.30,109,9.17,1.18,110/3
494,2905,三商,4.26,109,9.55,1.09,110/3
496,2908,特力,5.19,109,12.64,1.53,110/3
501,2915,潤泰全,5.00,109,3.78,0.56,110/3
510,3005,神基,6.66,109,7.42,1.87,110/3
512,3008,大立光,4.60,109,13.03,1.88,110/3
513,3010,華立,4.84,109,8.52,1.51,110/3
517,3015,全漢,6.87,109,11.83,0.60,110/3
523,3022,威強電,4.56,109,8.10,1.00,110/3
529,3028,增你強,5.99,109,8.17,1.33,110/3
533,3032,偉訓,9.87,109,10.54,1.47,110/3
534,3033,威健,4.48,109,8.27,1.62,110/3
537,3036,文曄,5.05,109,8.33,1.18,110/3
539,3038,全台,6.32,109,13.48,1.45,110/3
544,3044,健鼎,5.88,109,10.66,1.80,110/3
548,3048,益登,9.13,109,7.40,1.95,110/3
555,3056,總太,10.88,109,5.71,1.71,110/3
570,3209,全科,6.87,109,8.15,1.67,110/3
572,3231,緯創,7.69,109,10.96,1.19,110/3
584,3376,新日興,7.43,109,13.09,1.19,110/3
608,3543,州巧,4.42,109,10.13,0.84,110/3
618,3596,智易,5.91,109,12.47,1.98,110/3
627,3669,圓展,9.47,109,6.00,1.71,110/3
629,3679,新至陞,12.00,109,8.23,1.25,110/3
634,3702,大聯大,6.16,109,8.69,1.39,110/3
635,3703,欣陸,5.56,109,14.82,0.88,110/3
640,3711,日月光投控,4.11,109,10.23,1.87,110/3
643,4104,佳醫,6.24,109,13.72,1.05,110/3
659,4439,冠星-1KY,4.73,109,11.37,1.75,110/3
679,4722,國精化,4.63,109,11.36,1.60,110/3
691,4915,致伸,5.68,109,11.07,1.76,110/3
695,4930,燦星網,13.75,109,7.46,0.94,110/3
697,4935,茂林-1KY,7.15,109,7.23,1.36,110/3
698,4938,和碩,6.74,109,10.18,1.12,110/3
699,4942,嘉彰,5.47,109,7.06,0.85,110/3
703,4958,臻鼎-1KY,4.59,109,10.18,1.19,110/3
712,4999,鑫禾,7.28,109,11.81,0.90,110/3
715,5215,科嘉-1KY,11.38,109,6.33,1.40,110/3
723,5284,jpp-1KY,4.79,109,12.86,1.20,110/3
728,5469,瀚宇博,4.94,109,6.20,0.88,110/3
731,5515,建國,5.73,109,7.71,0.77,110/3
732,5519,隆大,8.59,109,9.31,1.07,110/3
733,5521,工信,13.33,109,-1,0.78,110/3
734,5522,遠雄,6.97,109,10.50,1.22,110/3
740,5546,永固-1KY,9.72,109,13.22,1.65,110/3
749,6005,群益證,6.81,109,6.70,0.93,110/3
752,6112,聚碩,6.59,109,12.32,1.71,110/3
770,6176,瑞儀,8.33,109,8.14,1.51,110/3
773,6184,大豐電,6.86,109,14.02,1.55,110/3
774,6189,豐藝,6.58,109,10.33,1.76,110/3
776,6192,巨路,4.93,109,8.96,1.35,110/3
778,6197,佳必琪,7.76,109,14.82,1.61,110/3
779,6201,亞弘電,6.98,109,11.59,1.55,110/3
793,6239,力成,5.05,109,9.46,1.58,110/3
796,6257,矽格,4.84,109,10.33,1.86,110/3
797,6269,台郡,4.97,109,11.92,1.49,110/3
819,6451,訊芯-1KY,4.29,109,14.69,1.65,110/3
820,6456,GIS-1KY,4.02,109,7.66,1.11,110/3
837,6591,動力-1KY,5.08,109,7.29,1.20,110/3
842,6641,基士德-1KY,7.61,109,9.35,1.55,110/3
848,6671,三能-1KY,6.23,109,12.87,1.80,110/3
858,6776,展碁國際,4.66,109,12.65,1.99,110/3
867,8039,台虹,5.27,109,12.01,1.33,110/3
877,8112,至上,6.67,109,7.10,1.83,110/3
879,8131,福懋科,5.97,109,11.75,1.43,110/3
880,8150,南茂,4.77,109,7.76,1.47,110/3
881,8163,達方,5.38,109,11.95,1.41,110/3
884,8213,志超,7.54,109,7.67,0.96,110/3
887,8249,菱光,5.08,109,14.30,0.88,110/3
889,8271,宇瞻,4.51,109,9.91,1.51,110/3
919,9905,大華,5.74,109,13.48,1.09,110/3
921,9907,統一實,4.08,109,14.44,1.07,110/3
931,9924,福興,6.36,109,11.39,1.31,110/3
935,9929,秋雨,4.25,109,-1,0.95,110/3
943,9939,宏全,5.37,109,10.11,1.48,110/3
949,9945,潤泰新,7.79,109,9.06,1.27,110/3
