,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.02,108,10.08,1.32,109/2
1,1102,亞泥,7.14,108,10.27,1.03,109/2
3,1104,環泥,5.04,108,11.21,0.75,109/2
5,1109,信大,5.98,108,6.81,0.94,109/2
9,1210,大成,4.95,108,13.72,1.98,109/2
16,1220,台榮,5.17,108,12.75,0.91,109/2
30,1305,華夏,5.36,108,14.80,1.19,109/2
32,1308,亞聚,5.99,108,11.99,1.02,109/2
38,1315,達新,6.84,108,1.87,0.80,109/2
42,1323,永裕,4.75,108,9.77,1.52,109/2
52,1409,新纖,4.82,108,7.55,0.61,109/2
57,1417,嘉裕,5.46,108,6.40,0.61,109/2
62,1434,福懋,8.03,108,12.56,0.93,109/2
64,1436,華友聯,6.84,108,14.22,1.37,109/2
83,1457,宜進,7.35,108,6.07,0.68,109/2
88,1465,偉全,9.62,108,-1,0.93,109/2
119,1530,亞崴,5.02,108,8.35,0.95,109/2
128,1540,喬福,6.83,108,-1,0.94,109/2
130,1558,伸興,6.40,108,12.06,1.85,109/2
133,1582,信錦,5.45,108,9.92,1.94,109/2
134,1583,程泰,5.00,108,13.30,1.40,109/2
145,1611,中電,10.39,108,5.47,0.92,109/2
148,1615,大山,9.15,108,9.50,1.35,109/2
154,1702,南僑,4.68,108,12.17,1.88,109/2
160,1712,興農,6.18,108,13.58,1.29,109/2
170,1725,元禎,5.81,108,14.84,0.79,109/2
171,1726,永記,4.62,108,14.69,1.37,109/2
195,1817,凱撒衛,5.58,108,11.74,1.37,109/2
197,1904,正隆,4.07,108,10.31,1.39,109/2
203,2006,東和鋼鐵,5.01,108,13.28,1.13,109/2
208,2012,春雨,7.41,108,14.21,1.31,109/2
213,2020,美亞,11.71,108,12.34,1.24,109/2
218,2027,大成鋼,5.53,108,-1,1.15,109/2
241,2115,六暉-1KY,6.42,108,6.69,1.49,109/2
255,2301,光寶科,6.93,108,10.20,1.57,109/2
264,2317,鴻海,5.45,108,10.32,0.91,109/2
267,2324,仁寶,6.37,108,12.82,0.81,109/2
269,2328,廣宇,5.59,108,12.18,0.90,109/2
280,2347,聯強,5.95,108,10.21,1.54,109/2
284,2352,佳世達,4.02,108,12.95,1.12,109/2
286,2354,鴻準,4.72,108,11.67,0.79,109/2
288,2356,英業達,5.69,108,11.48,1.48,109/2
289,2357,華碩,5.68,108,12.65,1.07,109/2
294,2363,矽統,14.52,108,-1,0.93,109/2
296,2365,昆盈,4.18,108,13.40,0.77,109/2
314,2392,正崴,5.80,108,9.80,0.99,109/2
328,2414,精技,5.84,108,12.79,1.60,109/2
332,2420,新巨,5.64,108,12.18,1.83,109/2
334,2423,固緯,6.70,108,13.25,1.49,109/2
341,2430,燦坤,5.49,108,12.47,0.66,109/2
343,2433,互盛電,7.76,108,12.34,1.86,109/2
349,2441,超豐,4.61,108,12.46,1.71,109/2
354,2449,京元電子,5.80,108,9.41,1.47,109/2
357,2453,凌群,5.52,108,13.61,1.01,109/2
363,2459,敦吉,7.44,108,9.36,1.04,109/2
370,2467,志聖,8.99,108,14.04,1.93,109/2
374,2474,可成,4.91,108,11.45,1.08,109/2
376,2477,美隆電,6.68,108,14.52,1.61,109/2
385,2488,漢平,7.17,108,12.79,1.33,109/2
389,2493,揚博,7.86,108,12.72,1.61,109/2
390,2495,普安,4.86,108,-1,0.87,109/2
405,2527,宏璟,9.45,108,7.24,0.71,109/2
409,2535,達欣工,5.70,108,7.70,1.01,109/2
410,2536,宏普,4.99,108,8.87,0.67,109/2
412,2538,基泰,4.93,108,-1,0.70,109/2
418,2546,根基,6.11,108,11.61,1.91,109/2
420,2548,華固,8.34,108,5.69,1.52,109/2
422,2601,益航,12.87,108,-1,0.82,109/2
435,2616,山隆,6.06,108,13.03,0.98,109/2
436,2617,台航,4.65,108,11.78,0.72,109/2
455,2739,寒舍,4.02,108,-1,1.84,109/2
458,2809,京城銀,4.09,108,8.89,1.01,109/2
459,2812,台中銀,7.24,108,10.14,0.78,109/2
460,2816,旺旺保,7.24,108,6.93,0.73,109/2
461,2820,華票,4.90,108,14.55,0.82,109/2
462,2823,中壽,5.81,108,6.51,0.66,109/2
463,2832,台產,5.06,108,10.56,0.79,109/2
464,2834,臺企銀,7.02,108,12.78,0.74,109/2
465,2836,高雄銀,5.10,108,13.51,0.68,109/2
466,2838,聯邦銀,7.84,108,9.53,0.56,109/2
468,2845,遠東銀,7.01,108,11.59,0.74,109/2
469,2849,安泰銀,5.23,108,13.04,0.82,109/2
470,2850,新產,5.08,108,6.84,0.95,109/2
471,2851,中再保,4.46,108,8.49,0.98,109/2
472,2852,第一保,7.36,108,12.31,0.61,109/2
473,2855,統一證,7.38,108,11.86,0.85,109/2
476,2881,富邦金,4.67,108,7.23,0.83,109/2
477,2882,國泰金,5.02,108,9.53,0.76,109/2
480,2885,元大金,5.74,108,10.40,0.90,109/2
482,2887,台新金,6.08,108,11.24,0.85,109/2
483,2888,新光金,4.67,108,7.96,0.47,109/2
484,2889,國票金,7.07,108,11.96,0.92,109/2
485,2890,永豐金,6.45,108,10.53,0.84,109/2
486,2891,中信金,5.29,108,9.09,1.05,109/2
487,2892,第一金,6.38,108,14.49,1.24,109/2
491,2904,匯僑,6.65,108,11.92,1.78,109/2
492,2905,三商,8.20,108,6.72,0.98,109/2
499,2915,潤泰全,7.32,108,5.25,0.45,109/2
500,2923,鼎固-1KY,8.38,108,-1,0.95,109/2
501,2929,淘帝-1KY,4.92,108,-1,0.68,109/2
506,3004,豐達科,4.86,108,10.68,1.55,109/2
507,3005,神基,5.79,108,11.54,1.97,109/2
510,3010,華立,5.85,108,8.47,1.16,109/2
514,3015,全漢,4.69,108,14.67,0.67,109/2
526,3028,增你強,5.03,108,14.53,0.88,109/2
529,3031,佰鴻,5.71,108,13.29,0.98,109/2
534,3036,文曄,5.41,108,10.07,0.81,109/2
536,3038,全台,6.33,108,10.53,1.54,109/2
537,3040,遠見,4.26,108,8.87,1.60,109/2
541,3044,健鼎,6.28,108,10.19,1.91,109/2
545,3048,益登,5.46,108,8.88,1.21,109/2
549,3052,夆典,4.11,108,6.63,0.85,109/2
552,3056,總太,8.00,108,10.36,1.78,109/2
565,3209,全科,6.29,108,9.38,1.30,109/2
567,3231,緯創,6.31,108,11.08,1.29,109/2
574,3312,弘憶股,8.60,108,12.46,1.19,109/2
593,3501,維熹,6.38,108,12.93,1.00,109/2
624,3679,新至陞,4.28,108,10.24,1.50,109/2
630,3702,大聯大,5.95,108,10.40,1.21,109/2
633,3705,永信,4.99,108,14.70,1.93,109/2
634,3706,神達,7.63,108,10.23,0.78,109/2
638,4104,佳醫,5.87,108,14.60,1.07,109/2
649,4164,承業醫,4.88,108,14.70,1.15,109/2
654,4438,廣越,6.33,108,14.01,1.95,109/2
655,4439,冠星-1KY,6.28,108,10.34,1.84,109/2
664,4557,永新-1KY,8.20,108,13.68,1.80,109/2
665,4560,強信-1KY,10.13,108,13.87,1.86,109/2
672,4581,光隆精密-1KY,8.08,108,13.56,1.54,109/2
674,4722,國精化,6.49,108,11.61,1.14,109/2
682,4766,南寶,4.74,108,13.25,1.66,109/2
687,4915,致伸,5.47,108,9.18,1.69,109/2
688,4916,事欣科,9.15,108,10.40,1.32,109/2
690,4927,泰鼎-1KY,4.23,108,14.34,1.89,109/2
694,4938,和碩,7.09,108,7.17,1.08,109/2
695,4942,嘉彰,6.40,108,8.14,0.81,109/2
708,4999,鑫禾,5.21,108,11.82,1.09,109/2
714,5243,乙盛-1KY,5.25,108,13.35,1.06,109/2
719,5284,jpp-1KY,5.34,108,14.75,0.86,109/2
728,5515,建國,4.11,108,12.78,0.77,109/2
729,5519,隆大,7.76,108,14.03,0.95,109/2
731,5522,遠雄,7.60,108,12.60,0.96,109/2
735,5534,長虹,7.47,108,8.35,1.46,109/2
736,5538,東明-1KY,4.73,108,12.19,1.45,109/2
742,5876,上海商銀,4.91,108,13.47,1.25,109/2
746,6005,群益證,7.21,108,10.67,0.73,109/2
747,6024,群益期,4.97,108,13.40,1.32,109/2
758,6139,亞翔,5.36,108,10.98,0.85,109/2
769,6176,瑞儀,7.48,108,9.21,1.93,109/2
772,6184,大豐電,7.43,108,12.38,1.51,109/2
773,6189,豐藝,6.87,108,11.86,1.63,109/2
775,6192,巨路,5.00,108,11.28,1.47,109/2
777,6197,佳必琪,7.91,108,14.77,1.66,109/2
784,6214,精誠,5.83,108,11.14,1.66,109/2
789,6226,光鼎,5.07,108,7.97,0.78,109/2
792,6239,力成,5.06,108,9.76,1.61,109/2
795,6257,矽格,5.75,108,9.99,1.46,109/2
801,6282,康舒,4.36,108,6.44,1.34,109/2
813,6442,光聖,4.21,108,-1,1.26,109/2
838,6641,基士德-1KY,7.22,108,10.38,1.94,109/2
844,6671,三能-1KY,7.54,108,11.92,1.62,109/2
846,6674,鋐寶科技,4.95,108,-1,1.17,109/2
866,8112,至上,9.08,108,8.17,1.55,109/2
868,8131,福懋科,6.29,108,11.11,1.44,109/2
869,8150,南茂,6.17,108,8.94,1.08,109/2
870,8163,達方,5.71,108,13.80,1.39,109/2
