,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.36,108,9.70,1.25,109/3
1,1102,亞泥,7.35,108,9.56,0.96,109/3
3,1104,環泥,4.77,108,10.48,0.77,109/3
5,1109,信大,5.98,108,6.89,0.90,109/3
9,1210,大成,4.60,108,13.52,1.99,109/3
16,1220,台榮,5.13,108,12.19,0.89,109/3
23,1234,黑松,5.27,108,14.73,0.72,109/3
32,1308,亞聚,5.47,108,14.06,1.09,109/3
34,1310,台苯,6.12,108,-1,1.38,109/3
38,1315,達新,5.22,108,1.75,0.77,109/3
42,1323,永裕,5.00,108,9.88,1.38,109/3
53,1409,新纖,4.30,108,8.48,0.68,109/3
62,1432,大魯閣,30.42,108,-1,0.90,109/3
63,1434,福懋,8.53,108,13.26,0.92,109/3
65,1436,華友聯,6.70,108,8.13,1.31,109/3
84,1457,宜進,7.02,108,5.05,0.70,109/3
89,1465,偉全,12.15,108,-1,0.75,109/3
107,1514,亞力,5.07,108,14.97,1.60,109/3
120,1530,亞崴,4.75,108,8.85,0.99,109/3
128,1539,巨庭,4.35,108,-1,0.95,109/3
129,1540,喬福,6.71,108,-1,0.96,109/3
131,1558,伸興,6.33,108,11.47,1.76,109/3
134,1582,信錦,5.63,108,9.94,1.77,109/3
143,1604,聲寶,5.88,108,5.53,1.26,109/3
145,1608,華榮,5.74,108,12.11,0.77,109/3
147,1611,中電,9.76,108,4.92,0.95,109/3
150,1615,大山,8.58,108,9.25,1.51,109/3
156,1702,南僑,4.46,108,11.28,1.84,109/3
162,1712,興農,6.31,108,11.32,1.22,109/3
167,1720,生達,4.26,108,13.64,1.65,109/3
172,1726,永記,4.53,108,13.87,1.35,109/3
196,1817,凱撒衛,5.34,108,10.83,1.39,109/3
198,1904,正隆,4.10,108,9.58,1.33,109/3
204,2006,東和鋼鐵,4.22,108,13.28,1.30,109/3
214,2020,美亞,9.95,108,11.20,1.39,109/3
219,2027,大成鋼,4.54,108,-1,1.48,109/3
242,2115,六暉-1KY,6.11,108,7.23,1.57,109/3
257,2301,光寶科,5.70,108,12.52,1.82,109/3
269,2324,仁寶,5.58,108,13.78,0.91,109/3
282,2347,聯強,5.57,108,10.21,1.55,109/3
290,2356,英業達,5.58,108,10.45,1.45,109/3
291,2357,華碩,4.90,108,10.96,1.15,109/3
296,2363,矽統,10.74,108,-1,0.88,109/3
316,2392,正崴,5.58,108,10.25,0.95,109/3
330,2414,精技,5.94,108,11.91,1.52,109/3
334,2420,新巨,6.14,108,10.96,1.60,109/3
343,2430,燦坤,5.12,108,12.53,0.69,109/3
345,2433,互盛電,7.60,108,12.72,1.86,109/3
355,2449,京元電子,4.76,108,11.70,1.68,109/3
358,2453,凌群,5.99,108,11.93,0.92,109/3
364,2459,敦吉,6.62,108,10.15,1.11,109/3
373,2471,資通,5.48,108,12.57,1.66,109/3
375,2474,可成,5.08,108,14.01,1.04,109/3
386,2488,漢平,7.89,108,12.20,1.16,109/3
390,2493,揚博,7.39,108,13.49,1.68,109/3
391,2495,普安,5.15,108,-1,0.82,109/3
404,2520,冠德,4.66,108,7.99,1.21,109/3
406,2527,宏璟,9.70,108,14.84,0.71,109/3
410,2535,達欣工,5.60,108,8.44,1.02,109/3
411,2536,宏普,5.50,108,10.38,0.60,109/3
413,2538,基泰,5.09,108,-1,0.68,109/3
419,2546,根基,6.50,108,10.21,1.66,109/3
421,2548,華固,8.70,108,10.49,1.42,109/3
423,2601,益航,14.01,108,-1,0.75,109/3
434,2614,東森,6.17,108,12.37,1.47,109/3
436,2616,山隆,5.76,108,11.79,0.89,109/3
456,2739,寒舍,4.46,108,-1,1.63,109/3
460,2812,台中銀,7.48,108,10.09,0.78,109/3
461,2816,旺旺保,7.01,108,6.52,0.76,109/3
462,2820,華票,4.90,108,13.24,0.80,109/3
463,2823,中壽,5.19,108,6.66,0.68,109/3
464,2832,台產,5.03,108,10.59,0.78,109/3
465,2834,臺企銀,7.57,108,14.45,0.71,109/3
466,2836,高雄銀,5.29,108,13.39,0.65,109/3
467,2838,聯邦銀,7.69,108,10.20,0.59,109/3
469,2845,遠東銀,7.15,108,12.18,0.74,109/3
470,2849,安泰銀,5.29,108,13.53,0.80,109/3
471,2850,新產,4.90,108,6.86,0.94,109/3
472,2851,中再保,4.18,108,8.48,1.01,109/3
473,2852,第一保,7.50,108,11.85,0.58,109/3
474,2855,統一證,5.88,108,11.03,1.03,109/3
477,2881,富邦金,4.23,108,7.44,0.82,109/3
478,2882,國泰金,4.96,108,7.90,0.73,109/3
479,2883,開發金,6.70,108,11.93,0.71,109/3
481,2885,元大金,5.08,108,10.98,1.02,109/3
483,2887,台新金,6.35,108,10.33,0.81,109/3
484,2888,新光金,4.79,108,7.14,0.44,109/3
485,2889,國票金,6.43,108,12.38,1.00,109/3
486,2890,永豐金,6.31,108,10.28,0.83,109/3
487,2891,中信金,5.19,108,9.44,1.03,109/3
492,2904,匯僑,6.25,108,11.68,1.82,109/3
493,2905,三商,10.05,108,11.18,0.93,109/3
500,2915,潤泰全,7.28,108,5.63,0.43,109/3
501,2923,鼎固-1KY,7.80,108,-1,0.97,109/3
502,2929,淘帝-1KY,12.57,108,-1,0.31,109/3
504,2939,凱羿-1KY,14.78,108,-1,1.41,109/3
508,3005,神基,5.83,108,11.19,1.85,109/3
511,3010,華立,4.39,108,10.05,1.45,109/3
527,3028,增你強,4.47,108,13.46,1.01,109/3
528,3029,零壹,5.37,108,10.08,1.85,109/3
531,3032,偉訓,5.28,108,9.66,1.87,109/3
535,3036,文曄,5.02,108,10.33,0.87,109/3
537,3038,全台,6.78,108,11.06,1.39,109/3
542,3044,健鼎,5.62,108,11.39,1.98,109/3
546,3048,益登,4.47,108,9.27,1.41,109/3
550,3052,夆典,4.20,108,4.62,0.79,109/3
567,3209,全科,5.82,108,9.48,1.34,109/3
569,3231,緯創,6.55,108,9.44,1.23,109/3
576,3312,弘憶股,8.39,108,12.33,1.26,109/3
595,3501,維熹,5.94,108,13.02,1.03,109/3
599,3528,安馳,6.10,108,12.31,1.85,109/3
615,3596,智易,4.96,108,13.58,1.78,109/3
631,3702,大聯大,5.49,108,10.56,1.29,109/3
634,3705,永信,5.13,108,13.62,1.82,109/3
635,3706,神達,7.52,108,11.79,0.85,109/3
640,4104,佳醫,6.07,108,14.09,1.02,109/3
643,4119,旭富,6.42,108,9.87,1.98,109/3
650,4164,承業醫,5.76,108,13.19,0.93,109/3
654,4426,利勤,4.76,108,-1,1.38,109/3
656,4439,冠星-1KY,5.74,108,12.02,1.86,109/3
663,4552,力達-1KY,5.06,108,13.94,0.78,109/3
675,4722,國精化,6.00,108,11.86,1.20,109/3
679,4755,三福化,4.35,108,13.37,1.62,109/3
688,4916,事欣科,9.01,108,-1,1.39,109/3
690,4927,泰鼎-1KY,4.48,108,12.27,1.78,109/3
694,4938,和碩,5.76,108,8.62,1.28,109/3
695,4942,嘉彰,6.90,108,8.22,0.72,109/3
708,4999,鑫禾,4.89,108,11.56,1.13,109/3
726,5515,建國,4.26,108,10.25,0.73,109/3
727,5519,隆大,9.31,108,9.29,0.76,109/3
729,5522,遠雄,7.09,108,12.48,1.00,109/3
733,5534,長虹,7.96,108,9.31,1.34,109/3
734,5538,東明-1KY,4.23,108,13.03,1.53,109/3
740,5876,上海商銀,5.32,108,12.60,1.13,109/3
744,6005,群益證,5.82,108,9.96,0.86,109/3
745,6024,群益期,5.10,108,12.46,1.26,109/3
746,6108,競國,7.69,108,-1,0.96,109/3
766,6176,瑞儀,6.93,108,11.35,1.94,109/3
769,6184,大豐電,7.09,108,12.23,1.51,109/3
770,6189,豐藝,6.56,108,12.78,1.64,109/3
772,6192,巨路,5.06,108,10.96,1.39,109/3
781,6214,精誠,5.98,108,9.74,1.57,109/3
786,6226,光鼎,4.15,108,11.35,0.93,109/3
789,6239,力成,4.55,108,10.81,1.73,109/3
792,6257,矽格,4.44,108,11.99,1.78,109/3
793,6269,台郡,4.21,108,13.02,1.72,109/3
811,6442,光聖,4.56,108,-1,1.15,109/3
837,6641,基士德-1KY,7.13,108,11.17,1.85,109/3
838,6655,科定,4.06,108,14.61,1.54,109/3
843,6671,三能-1KY,7.50,108,10.84,1.54,109/3
850,6754,匯僑設計,7.12,108,14.10,1.39,109/3
857,8039,台虹,4.85,108,14.84,1.48,109/3
867,8112,至上,7.71,108,9.36,1.74,109/3
