,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.99,108,10.21,1.32,109/3
1,1102,亞泥,6.93,108,10.14,1.02,109/3
3,1104,環泥,4.39,108,11.40,0.84,109/3
5,1109,信大,5.39,108,7.64,1.00,109/3
9,1210,大成,4.75,108,13.09,1.93,109/3
16,1220,台榮,4.86,108,12.86,0.94,109/3
32,1308,亞聚,5.66,108,13.60,1.05,109/3
34,1310,台苯,5.67,108,-1,1.49,109/3
38,1315,達新,5.02,108,1.82,0.80,109/3
42,1323,永裕,4.82,108,10.25,1.43,109/3
53,1409,新纖,4.38,108,8.31,0.67,109/3
62,1432,大魯閣,23.26,108,-1,1.17,109/3
63,1434,福懋,8.16,108,13.87,0.97,109/3
65,1436,華友聯,6.17,108,8.82,1.42,109/3
84,1457,宜進,6.62,108,5.35,0.74,109/3
89,1465,偉全,11.54,108,-1,0.78,109/3
120,1530,亞崴,4.93,108,8.53,0.95,109/3
128,1539,巨庭,4.03,108,-1,1.02,109/3
129,1540,喬福,6.62,108,-1,0.98,109/3
131,1558,伸興,6.33,108,11.47,1.76,109/3
134,1582,信錦,5.20,108,10.76,1.91,109/3
142,1604,聲寶,5.59,108,5.82,1.33,109/3
144,1608,華榮,5.30,108,13.11,0.83,109/3
146,1611,中電,10.17,108,4.72,0.91,109/3
149,1615,大山,8.32,108,9.54,1.55,109/3
155,1702,南僑,4.43,108,11.37,1.86,109/3
161,1712,興農,6.19,108,11.54,1.24,109/3
172,1726,永記,4.46,108,14.09,1.37,109/3
196,1817,凱撒衛,5.18,108,11.15,1.43,109/3
204,2006,東和鋼鐵,4.04,108,13.88,1.36,109/3
212,2015,豐興,5.12,108,14.22,1.83,109/3
214,2020,美亞,10.25,108,10.87,1.35,109/3
219,2027,大成鋼,4.27,108,-1,1.57,109/3
242,2115,六暉-1KY,5.88,108,7.52,1.63,109/3
251,2233,宇隆,4.14,108,14.98,1.81,109/3
257,2301,光寶科,6.66,108,10.73,1.56,109/3
266,2317,鴻海,5.10,108,11.02,0.94,109/3
269,2324,仁寶,6.22,108,12.37,0.82,109/3
282,2347,聯強,5.84,108,9.74,1.48,109/3
288,2354,鴻準,4.75,108,13.70,0.74,109/3
290,2356,英業達,5.58,108,10.45,1.45,109/3
291,2357,華碩,5.62,108,9.56,1.01,109/3
296,2363,矽統,11.92,108,-1,0.79,109/3
316,2392,正崴,5.83,108,9.82,0.91,109/3
330,2414,精技,5.92,108,11.96,1.52,109/3
334,2420,新巨,6.04,108,11.14,1.63,109/3
343,2430,燦坤,5.24,108,12.24,0.68,109/3
345,2433,互盛電,7.45,108,12.98,1.89,109/3
351,2441,超豐,4.18,108,13.00,1.82,109/3
356,2449,京元電子,5.08,108,10.96,1.57,109/3
359,2453,凌群,5.80,108,12.32,0.95,109/3
365,2459,敦吉,6.52,108,10.30,1.13,109/3
374,2471,資通,6.02,108,11.46,1.51,109/3
376,2474,可成,5.32,108,13.37,1.00,109/3
387,2488,漢平,7.74,108,12.43,1.18,109/3
391,2493,揚博,7.43,108,13.41,1.67,109/3
392,2495,普安,4.78,108,-1,0.88,109/3
411,2535,達欣工,5.18,108,9.13,1.10,109/3
412,2536,宏普,4.99,108,11.45,0.66,109/3
414,2538,基泰,4.33,108,-1,0.80,109/3
420,2546,根基,6.08,108,10.92,1.78,109/3
422,2548,華固,8.50,108,10.73,1.45,109/3
424,2601,益航,13.86,108,-1,0.76,109/3
435,2614,東森,5.83,108,13.09,1.56,109/3
437,2616,山隆,5.62,108,12.09,0.92,109/3
461,2812,台中銀,7.34,108,10.28,0.79,109/3
462,2816,旺旺保,6.90,108,6.62,0.78,109/3
463,2820,華票,4.80,108,13.51,0.82,109/3
464,2823,中壽,5.30,108,6.53,0.67,109/3
465,2832,台產,4.98,108,10.69,0.79,109/3
467,2836,高雄銀,4.95,108,14.31,0.69,109/3
468,2838,聯邦銀,7.69,108,10.20,0.59,109/3
470,2845,遠東銀,6.92,108,12.59,0.76,109/3
472,2850,新產,4.62,108,7.28,1.00,109/3
474,2852,第一保,7.19,108,12.36,0.61,109/3
475,2855,統一證,7.59,108,8.54,0.80,109/3
478,2881,富邦金,4.51,108,6.98,0.77,109/3
479,2882,國泰金,4.95,108,7.92,0.73,109/3
480,2883,開發金,6.73,108,11.89,0.70,109/3
482,2885,元大金,5.50,108,10.16,0.94,109/3
484,2887,台新金,5.99,108,10.94,0.86,109/3
485,2888,新光金,4.54,108,7.54,0.47,109/3
486,2889,國票金,6.83,108,11.65,0.94,109/3
487,2890,永豐金,6.31,108,10.28,0.83,109/3
488,2891,中信金,5.22,108,9.39,1.03,109/3
493,2904,匯僑,6.46,108,11.31,1.77,109/3
494,2905,三商,9.32,108,12.05,1.01,109/3
501,2915,潤泰全,7.18,108,5.70,0.43,109/3
502,2923,鼎固-1KY,8.37,108,-1,0.90,109/3
503,2929,淘帝-1KY,5.43,108,-1,0.71,109/3
509,3005,神基,5.82,108,11.22,1.85,109/3
512,3010,華立,4.27,108,10.35,1.49,109/3
528,3028,增你強,4.61,108,13.07,0.98,109/3
529,3029,零壹,5.10,108,10.62,1.95,109/3
536,3036,文曄,5.21,108,9.95,0.84,109/3
538,3038,全台,6.58,108,11.41,1.44,109/3
543,3044,健鼎,5.92,108,10.81,1.88,109/3
547,3048,益登,4.36,108,9.52,1.45,109/3
567,3209,全科,5.49,108,10.04,1.41,109/3
569,3231,緯創,6.83,108,9.05,1.18,109/3
576,3312,弘憶股,8.30,108,12.46,1.27,109/3
595,3501,維熹,6.26,108,12.35,0.98,109/3
599,3528,安馳,5.92,108,12.67,1.91,109/3
615,3596,智易,4.86,108,13.87,1.82,109/3
632,3702,大聯大,5.63,108,10.30,1.26,109/3
635,3705,永信,4.80,108,14.56,1.94,109/3
636,3706,神達,7.46,108,11.90,0.86,109/3
640,4104,佳醫,5.75,108,14.87,1.08,109/3
654,4426,利勤,4.03,108,-1,1.63,109/3
675,4722,國精化,6.29,108,11.30,1.14,109/3
688,4915,致伸,5.14,108,9.77,1.66,109/3
689,4916,事欣科,7.97,108,-1,1.57,109/3
695,4938,和碩,6.89,108,7.21,1.07,109/3
696,4942,嘉彰,6.39,108,8.87,0.78,109/3
709,4999,鑫禾,5.22,108,10.83,1.06,109/3
719,5283,禾聯碩,7.56,108,8.64,1.97,109/3
729,5519,隆大,8.46,108,10.22,0.84,109/3
731,5522,遠雄,6.92,108,12.79,1.03,109/3
735,5534,長虹,7.59,108,9.76,1.41,109/3
736,5538,東明-1KY,4.46,108,12.35,1.45,109/3
742,5876,上海商銀,5.26,108,12.75,1.14,109/3
746,6005,群益證,6.67,108,8.70,0.75,109/3
747,6024,群益期,5.03,108,12.64,1.28,109/3
748,6108,競國,7.71,108,-1,0.96,109/3
768,6176,瑞儀,6.90,108,11.39,1.95,109/3
771,6184,大豐電,6.96,108,12.46,1.54,109/3
772,6189,豐藝,6.43,108,13.03,1.68,109/3
774,6192,巨路,4.84,108,11.46,1.46,109/3
777,6201,亞弘電,6.93,108,13.45,1.34,109/3
783,6214,精誠,5.92,108,9.85,1.58,109/3
788,6226,光鼎,4.85,108,9.69,0.79,109/3
791,6239,力成,4.89,108,10.04,1.60,109/3
794,6257,矽格,4.87,108,10.93,1.63,109/3
795,6269,台郡,4.14,108,13.25,1.75,109/3
812,6442,光聖,4.30,108,-1,1.21,109/3
837,6641,基士德-1KY,6.85,108,11.62,1.92,109/3
843,6671,三能-1KY,7.58,108,10.73,1.53,109/3
865,8112,至上,8.28,108,8.72,1.62,109/3
867,8131,福懋科,5.95,108,11.75,1.50,109/3
868,8150,南茂,5.65,108,10.48,1.15,109/3
869,8163,達方,5.31,108,14.07,1.44,109/3
872,8213,志超,5.59,108,6.64,1.01,109/3
877,8271,宇瞻,6.79,108,11.28,1.37,109/3
879,8367,建新國際,4.07,108,10.51,1.06,109/3
892,8466,美吉吉-1KY,6.46,108,12.14,1.63,109/3
907,9905,大華,4.29,108,12.20,1.00,109/3
919,9924,福興,5.67,108,10.61,1.54,109/3
932,9939,宏全,5.07,108,10.64,1.38,109/3
938,9945,潤泰新,14.27,108,9.10,0.66,109/3
939,9946,三發地產,9.38,108,10.06,0.78,109/3
