,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.71,109,12.33,1.42,110/2
1,1102,亞泥,7.61,109,9.00,1.07,110/2
2,1103,嘉泥,6.97,109,8.38,0.50,110/2
3,1104,環泥,5.33,109,10.38,0.70,110/2
5,1109,信大,6.99,109,6.48,0.93,110/2
15,1219,福壽,4.68,109,12.34,1.46,110/2
16,1220,台榮,6.60,109,11.48,1.08,110/2
33,1309,台達化,8.23,109,5.06,1.65,110/2
36,1313,聯成,4.09,109,6.63,1.18,110/2
38,1315,達新,13.22,109,-1,0.68,110/2
42,1323,永裕,4.55,109,11.73,1.46,110/2
44,1325,恆大,29.89,109,2.23,1.14,110/2
47,1338,廣華-1KY,7.80,109,8.93,0.58,110/2
52,1402,遠東新,4.62,109,14.77,0.77,110/2
53,1409,新纖,5.88,109,9.44,0.94,110/2
57,1416,廣豐,4.59,109,-1,0.58,110/2
61,1423,利華,10.59,109,3.86,0.71,110/2
84,1457,宜進,8.82,109,11.89,0.84,110/2
91,1467,南緯,4.95,109,7.11,1.05,110/2
105,1513,中興電,4.76,109,10.35,1.88,110/2
106,1514,亞力,5.30,109,14.90,1.41,110/2
116,1527,鑽全,5.60,109,12.24,1.33,110/2
129,1541,錩泰,7.06,109,10.07,1.86,110/2
130,1558,伸興,6.62,109,8.13,1.58,110/2
133,1582,信錦,7.13,109,14.02,1.45,110/2
135,1587,吉茂,7.65,109,13.08,1.38,110/2
139,1598,岱宇,12.29,109,5.36,1.95,110/2
141,1604,聲寶,8.31,109,5.89,1.36,110/2
146,1612,宏泰,5.23,109,9.41,1.34,110/2
148,1615,大山,7.56,109,8.16,1.74,110/2
151,1626,艾美特-1KY,4.95,109,-1,0.93,110/2
152,1701,中化,4.52,109,14.64,0.89,110/2
156,1709,和益,5.97,109,11.10,1.24,110/2
159,1712,興農,5.39,109,12.55,1.45,110/2
162,1717,長興,4.21,109,12.34,1.82,110/2
163,1718,中纖,4.78,109,8.16,0.58,110/2
164,1720,生達,4.77,109,10.39,1.67,110/2
169,1725,元禎,4.04,109,13.65,1.20,110/2
170,1726,永記,4.85,109,12.43,1.25,110/2
183,1776,展宇,4.49,109,8.59,1.40,110/2
194,1817,凱撒衛,5.75,109,10.24,1.39,110/2
196,1904,正隆,5.41,109,8.35,1.33,110/2
199,1907,永豐餘,4.87,109,7.80,1.09,110/2
210,2015,豐興,4.70,109,13.69,1.97,110/2
212,2020,美亞,5.72,109,8.61,1.88,110/2
236,2107,厚生,6.61,109,9.19,0.66,110/2
240,2115,六暉-1KY,6.22,109,9.05,1.26,110/2
242,2204,中華,10.12,109,8.93,0.94,110/2
243,2206,三陽工業,4.95,109,10.88,1.30,110/2
255,2247,汎德永業,5.23,109,13.54,1.42,110/2
257,2301,光寶科,5.38,109,11.05,1.99,110/2
263,2313,華通,4.04,109,10.33,1.54,110/2
265,2316,楠梓電,5.45,109,11.46,0.65,110/2
268,2323,中環,8.05,109,-1,0.55,110/2
269,2324,仁寶,6.64,109,8.86,1.01,110/2
274,2331,精英,4.28,109,-1,1.27,110/2
278,2340,台亞,4.56,109,13.86,1.51,110/2
282,2347,聯強,6.45,109,8.18,1.57,110/2
286,2352,佳世達,5.02,109,6.05,1.54,110/2
287,2353,宏碁,6.11,109,7.44,1.23,110/2
291,2357,華碩,7.69,109,6.05,1.23,110/2
296,2363,矽統,6.77,109,-1,0.77,110/2
313,2387,精元,4.76,109,5.56,1.02,110/2
316,2392,正崴,6.65,109,9.84,0.82,110/2
317,2393,億光,4.99,109,10.80,1.08,110/2
330,2414,精技,5.04,109,12.06,1.88,110/2
332,2417,圓剛,7.38,109,3.90,1.23,110/2
334,2420,新巨,6.04,109,12.79,1.86,110/2
345,2433,互盛電,7.19,109,12.95,1.63,110/2
355,2449,京元電子,5.29,109,12.60,1.57,110/2
356,2450,神腦,4.80,109,14.74,1.39,110/2
358,2453,凌群,6.68,109,11.82,1.14,110/2
364,2459,敦吉,6.31,109,10.44,1.28,110/2
366,2461,光群雷,4.91,109,8.89,1.13,110/2
373,2471,資通,6.79,109,12.01,1.37,110/2
374,2472,立隆電,4.94,109,11.92,1.65,110/2
375,2474,可成,7.38,109,7.02,0.83,110/2
377,2477,美隆電,5.66,109,3.06,1.12,110/2
378,2478,大毅,5.01,109,12.03,1.36,110/2
386,2488,漢平,5.59,109,11.14,1.02,110/2
389,2492,華新科,4.17,109,8.36,1.71,110/2
390,2493,揚博,6.61,109,14.77,1.93,110/2
392,2496,卓越,9.14,109,14.63,1.25,110/2
