,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.32,108,9.58,1.20,108/4
1,1102,亞泥,7.14,108,8.09,0.97,108/4
2,1103,嘉泥,6.29,108,7.91,0.45,108/4
3,1104,環泥,6.01,108,9.57,0.61,108/4
5,1109,信大,4.86,107,5.83,0.82,108/4
7,1201,味全,6.58,108,7.57,1.47,108/4
9,1210,大成,5.92,108,12.72,1.59,108/4
16,1220,台榮,5.85,108,14.44,0.79,108/4
20,1231,聯華食,5.36,108,13.05,1.88,108/4
23,1234,黑松,5.51,108,14.62,0.69,108/4
27,1301,台塑,5.47,108,13.72,1.47,108/4
29,1304,台聚,4.69,108,8.95,0.61,108/4
30,1305,華夏,6.51,108,12.58,0.98,108/4
32,1308,亞聚,7.41,108,10.03,0.80,108/4
33,1309,台達化,7.04,108,7.16,0.66,108/4
34,1310,台苯,5.10,108,8.80,1.11,108/4
37,1314,中石化,4.05,108,12.15,0.31,108/4
38,1315,達新,7.63,108,13.11,1.09,108/4
39,1316,上曜,20.19,107,-1,0.92,108/4
40,1319,東陽,5.38,108,9.96,0.90,108/4
42,1323,永裕,5.16,108,9.66,1.38,108/4
45,1326,台化,5.36,108,13.96,1.16,108/4
47,1338,廣華-1KY,7.43,108,9.85,0.62,108/4
48,1339,昭輝,5.05,108,7.80,0.84,108/4
49,1340,勝悅-1KY,13.16,107,-1,0.23,108/3
51,1402,遠東新,6.29,108,11.87,0.62,108/4
52,1409,新纖,5.47,108,9.05,0.54,108/4
56,1416,廣豐,12.17,107,-1,0.47,108/4
57,1417,嘉裕,6.41,108,4.67,0.47,108/4
62,1434,福懋,7.74,108,10.49,0.85,108/4
65,1437,勤益控,5.46,108,4.65,0.63,108/4
67,1439,中和,15.27,108,3.13,1.07,108/4
69,1441,大東,54.19,107,-1,0.56,108/4
77,1451,年興,4.08,108,-1,0.40,108/4
78,1452,宏益,7.25,108,12.44,0.88,108/4
83,1457,宜進,8.47,108,11.46,0.64,108/4
87,1464,得力,8.00,107,12.84,1.31,108/4
88,1465,偉全,10.87,108,4.31,0.75,108/4
101,1504,東元,4.14,108,14.40,0.82,108/4
106,1514,亞力,6.88,108,12.12,1.18,108/4
112,1522,堤維西,6.11,108,10.27,1.07,108/4
113,1524,耿鼎,4.53,108,10.51,0.68,108/4
114,1525,江申,4.65,108,10.89,0.77,108/4
115,1526,日馳,4.44,108,13.43,1.08,108/4
116,1527,鑽全,9.93,107,9.73,1.44,108/4
127,1539,巨庭,5.54,108,13.50,0.72,108/4
128,1540,喬福,6.58,108,11.26,0.90,108/4
130,1558,伸興,7.30,108,10.80,1.53,108/4
131,1560,中砂,6.49,107,14.15,1.77,108/4
133,1582,信錦,6.49,108,9.11,1.56,108/4
141,1604,聲寶,8.15,108,9.20,1.05,108/4
142,1605,華新,4.22,108,12.47,0.51,108/4
143,1608,華榮,7.57,108,4.66,0.54,108/4
144,1609,大亞,7.95,107,10.23,0.73,108/4
145,1611,中電,10.62,108,5.31,0.83,108/4
148,1615,大山,7.26,107,8.53,1.15,108/4
152,1626,艾美特-1KY,4.77,108,11.39,0.96,108/4
154,1702,南僑,4.73,108,10.83,1.71,108/4
160,1712,興農,7.10,108,11.37,1.09,108/4
163,1717,長興,5.86,108,12.01,1.38,108/4
164,1718,中纖,12.98,107,-1,0.34,108/4
170,1725,元禎,6.14,108,12.34,0.67,108/4
195,1817,凱撒衛,6.09,108,11.25,1.20,108/4
198,1904,正隆,5.76,108,10.02,0.97,108/4
199,1905,華紙,4.94,107,-1,0.52,108/4
200,1906,寶隆,4.31,108,14.50,0.45,108/4
201,1907,永豐餘,5.93,108,8.55,0.50,108/4
204,2006,東和鋼鐵,6.19,108,13.97,0.90,108/4
209,2012,春雨,7.10,108,10.56,1.21,108/4
212,2015,豐興,6.10,108,14.60,1.56,108/4
213,2017,官田鋼,6.33,107,-1,0.56,108/4
214,2020,美亞,9.27,107,7.70,1.07,108/4
222,2030,彰源,5.08,108,10.48,0.71,108/4
226,2034,允強,6.79,108,14.44,1.21,108/4
238,2107,厚生,5.03,108,10.32,0.51,108/4
239,2108,南帝,6.21,108,10.00,1.70,108/4
242,2115,六暉-1KY,7.45,108,12.90,1.36,108/4
244,2204,中華,6.14,107,-1,0.40,108/4
245,2206,三陽工業,5.14,108,7.18,1.14,108/4
249,2228,劍麟,6.16,108,9.38,1.56,108/4
251,2233,宇隆,7.63,107,10.34,1.21,108/4
253,2239,英利-1KY,4.26,108,10.75,0.64,108/4
255,2301,光寶科,7.59,108,10.46,1.35,108/4
264,2317,鴻海,5.33,107,9.01,0.84,108/4
267,2324,仁寶,6.63,108,11.31,0.74,108/4
269,2328,廣宇,5.54,108,9.07,0.85,108/4
275,2338,光罩,4.04,108,12.21,1.76,108/4
276,2340,台亞,5.14,108,12.16,1.01,108/4
280,2347,聯強,6.98,108,9.11,1.25,108/4
284,2352,佳世達,5.28,107,8.85,0.93,108/4
286,2354,鴻準,5.99,107,10.60,0.70,108/4
287,2355,敬鵬,4.32,108,13.95,0.58,108/4
289,2357,華碩,7.16,108,11.96,0.82,108/4
291,2359,所羅門,4.78,108,9.01,0.63,108/4
294,2363,矽統,20.81,108,-1,0.60,108/4
296,2365,昆盈,5.46,108,11.28,0.53,108/4
302,2374,佳能,4.55,107,-1,0.48,108/4
314,2392,正崴,4.29,107,8.54,0.76,108/4
315,2393,億光,5.13,108,14.68,0.72,108/4
325,2409,友達,6.76,107,-1,0.40,108/4
328,2414,精技,7.01,108,11.76,1.30,108/4
332,2420,新巨,6.69,108,9.37,1.48,108/4
334,2423,固緯,6.70,108,10.42,1.39,108/4
339,2428,興勤,5.42,108,8.90,1.56,108/4
341,2430,燦坤,7.09,108,11.10,0.50,108/4
343,2433,互盛電,7.62,108,11.76,1.73,108/4
345,2436,偉詮電,6.24,108,12.93,1.42,108/4
349,2441,超豐,5.62,108,12.28,1.40,108/4
350,2442,新美齊,21.54,107,9.87,0.54,108/4
354,2449,京元電子,5.45,108,13.27,1.54,108/4
357,2453,凌群,6.58,108,11.78,0.85,108/4
363,2459,敦吉,7.70,108,9.27,0.94,108/4
367,2464,盟立,7.89,108,9.08,1.52,108/4
370,2467,志聖,9.73,108,12.30,1.53,108/4
372,2471,資通,7.42,108,11.33,1.22,108/4
373,2472,立隆電,4.72,108,9.49,1.22,108/4
374,2474,可成,5.88,107,13.94,1.06,108/4
375,2476,鉅祥,6.84,108,10.61,0.76,108/4
376,2477,美隆電,7.62,108,9.91,1.28,108/4
379,2481,強茂,5.22,108,12.64,1.07,108/4
381,2483,百容,5.83,108,11.99,0.79,108/4
385,2488,漢平,8.24,108,7.97,1.08,108/4
389,2493,揚博,9.17,108,13.63,1.33,108/4
403,2520,冠德,6.36,108,9.08,0.92,108/4
405,2527,宏璟,9.57,108,6.62,0.61,108/4
409,2535,達欣工,7.06,108,9.48,0.85,108/4
410,2536,宏普,4.93,107,11.09,0.57,108/4
412,2538,基泰,6.63,107,-1,0.59,108/4
418,2546,根基,8.76,108,9.04,1.32,108/4
420,2548,華固,9.03,108,7.32,1.38,108/4
425,2606,裕民,7.01,108,14.11,0.85,108/4
427,2608,嘉里大榮,4.14,107,13.00,1.86,108/4
430,2611,志信,7.13,107,-1,0.42,108/4
433,2614,東森,9.43,107,-1,0.97,108/3
434,2615,萬海,5.35,108,9.29,0.92,108/4
435,2616,山隆,6.23,108,13.50,0.98,108/4
436,2617,台航,9.03,107,10.00,0.59,108/4
440,2634,漢翔,4.28,108,13.97,1.78,108/4
441,2636,台驊投控,6.34,108,9.53,0.99,108/4
442,2637,慧洋-1KY,6.54,108,7.19,0.54,108/4
445,2702,華園,8.51,107,-1,1.01,108/4
453,2727,王品,7.38,108,12.90,1.35,108/4
458,2809,京城銀,5.10,108,9.77,0.81,108/4
459,2812,台中銀,7.58,108,9.09,0.76,108/4
460,2816,旺旺保,7.34,108,5.70,0.74,108/4
462,2823,中壽,6.65,108,5.92,0.56,108/4
463,2832,台產,5.32,108,9.69,0.75,108/4
464,2834,臺企銀,7.11,108,10.47,0.73,108/4
465,2836,高雄銀,5.61,108,12.63,0.64,108/4
466,2838,聯邦銀,7.96,108,9.22,0.55,108/4
468,2845,遠東銀,7.33,108,9.35,0.72,108/4
469,2849,安泰銀,7.41,107,12.74,0.78,108/4
470,2850,新產,5.35,108,6.81,0.91,108/4
471,2851,中再保,5.19,108,9.28,0.85,108/4
472,2852,第一保,7.38,108,6.74,0.57,108/4
473,2855,統一證,9.34,108,7.43,0.66,108/4
475,2880,華南金,5.96,107,13.97,1.18,108/4
476,2881,富邦金,5.27,107,7.46,0.72,108/4
477,2882,國泰金,4.20,107,8.37,0.68,108/4
479,2884,玉山金,6.36,108,14.45,1.68,108/4
480,2885,元大金,6.69,108,8.97,0.79,108/4
481,2886,兆豐金,5.99,107,13.33,1.19,108/4
482,2887,台新金,6.10,107,9.37,0.76,108/4
483,2888,新光金,5.06,108,6.03,0.51,108/4
484,2889,國票金,7.88,108,11.30,0.83,108/4
485,2890,永豐金,6.22,108,10.14,0.85,108/4
486,2891,中信金,5.57,107,8.39,0.94,108/4
487,2892,第一金,5.51,107,12.87,1.13,108/4
491,2904,匯僑,7.75,108,10.92,1.47,108/4
492,2905,三商,9.71,108,4.59,0.89,108/4
499,2915,潤泰全,7.37,108,4.14,0.50,108/4
500,2923,鼎固-1KY,10.25,108,4.61,0.69,108/4
501,2929,淘帝-1KY,7.33,107,5.27,1.06,108/4
506,3004,豐達科,4.71,108,8.51,1.56,108/4
507,3005,神基,6.53,108,11.75,1.67,108/4
510,3010,華立,6.78,108,7.96,0.98,108/4
513,3014,聯陽,7.89,108,12.48,1.67,108/4
520,3022,威強電,4.64,107,8.51,0.85,108/4
527,3029,零壹,6.69,108,10.60,1.54,108/4
529,3031,佰鴻,5.97,108,10.08,0.87,108/4
530,3032,偉訓,8.05,108,9.94,1.26,108/4
534,3036,文曄,7.81,108,8.30,0.90,108/4
536,3038,全台,7.36,108,9.42,1.28,108/4
541,3044,健鼎,5.92,107,8.68,1.53,108/4
543,3046,建碁,4.03,107,-1,0.92,108/4
545,3048,益登,6.56,108,9.24,0.99,108/4
549,3052,夆典,4.98,108,11.55,0.70,108/4
552,3056,總太,10.24,108,13.02,1.28,108/4
558,3090,日電貿,7.54,108,13.98,1.98,108/4
565,3209,全科,7.16,108,11.34,1.14,108/4
567,3231,緯創,7.97,108,10.50,0.96,108/4
571,3305,昇貿,5.46,108,12.80,0.61,108/4
574,3312,弘憶股,8.76,108,10.46,1.15,108/4
593,3501,維熹,7.03,108,9.69,0.86,108/4
597,3528,安馳,6.86,108,13.16,1.64,108/4
608,3583,辛耘,4.64,108,10.72,1.32,108/4
612,3596,智易,6.39,108,11.68,1.41,108/4
614,3607,谷崧,5.18,107,-1,0.37,108/4
615,3617,碩天,6.71,108,12.75,1.44,108/4
620,3665,貿聯-1KY,5.14,108,12.38,1.87,108/4
623,3679,新至陞,5.54,107,10.00,0.86,108/4
629,3702,大聯大,7.43,107,10.60,1.08,108/4
633,3706,神達,7.56,108,10.94,0.78,108/4
634,3708,上緯投控,6.33,108,7.05,1.14,108/4
636,3712,永崴投控,20.58,107,-1,0.45,108/4
637,4104,佳醫,6.41,108,12.81,0.95,108/4
648,4164,承業醫,5.70,108,12.49,0.96,108/4
652,4426,利勤,4.08,108,13.01,1.42,108/4
653,4438,廣越,6.49,108,11.87,1.72,108/4
654,4439,冠星-1KY,6.37,108,10.19,1.69,108/4
657,4536,拓凱,6.05,108,10.40,1.71,108/4
658,4540,全球傳動,8.09,107,-1,1.38,108/4
661,4552,力達-1KY,5.61,108,9.41,0.69,108/4
663,4557,永新-1KY,7.94,108,12.70,1.66,108/4
664,4560,強信-1KY,7.48,107,10.72,1.84,108/4
665,4562,穎漢,8.82,107,-1,1.05,108/4
666,4564,元翎,7.21,108,11.21,1.24,108/4
667,4566,時碩工業,4.71,108,10.69,1.07,108/4
668,4571,鈞興-1KY,6.45,108,11.03,1.47,108/4
669,4572,駐龍,6.12,108,13.20,1.47,108/4
