,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.28,109,13.17,1.62,109/4
1,1102,亞泥,6.80,109,11.92,1.19,109/4
2,1103,嘉泥,5.47,109,9.34,0.68,109/4
3,1104,環泥,4.06,109,14.19,0.95,109/4
5,1109,信大,5.20,109,9.81,1.32,109/4
38,1315,達新,10.62,109,1.85,0.83,109/4
42,1323,永裕,4.42,109,11.21,1.48,109/4
53,1409,新纖,5.19,109,11.84,1.08,109/4
57,1416,廣豐,4.07,109,-1,0.64,109/4
61,1423,利華,8.09,109,8.69,1.03,109/4
62,1432,大魯閣,23.88,108,-1,1.57,109/4
68,1439,中和,19.16,108,-1,1.08,109/4
84,1457,宜進,7.03,109,7.39,1.03,109/4
88,1464,得力,8.36,108,-1,1.47,109/4
120,1530,亞崴,6.39,109,9.99,1.21,109/4
134,1582,信錦,5.49,109,11.65,1.91,109/4
135,1583,程泰,4.59,109,14.90,1.49,109/4
136,1587,吉茂,6.09,109,12.35,1.66,109/4
143,1604,聲寶,7.73,109,6.67,1.54,109/4
144,1605,華新,4.03,109,10.80,0.85,109/4
155,1701,中化,4.15,109,12.82,1.09,109/4
162,1712,興農,5.68,109,13.47,1.36,109/4
168,1721,三晃,4.26,109,4.14,0.87,109/4
173,1726,永記,4.74,109,14.39,1.36,109/4
197,1817,凱撒衛,5.15,109,12.72,1.64,109/4
199,1904,正隆,4.10,109,13.07,1.92,109/4
239,2107,厚生,5.46,109,10.44,0.84,109/4
243,2115,六暉-1KY,4.65,109,8.18,1.79,109/4
245,2204,中華,9.78,109,12.09,0.94,109/4
271,2324,仁寶,5.76,109,12.93,1.13,109/4
284,2347,聯強,5.77,109,11.70,1.75,109/4
292,2356,英業達,6.74,109,13.07,1.70,109/4
293,2357,華碩,6.91,109,10.53,1.39,109/4
298,2363,矽統,7.66,109,-1,0.75,109/4
318,2392,正崴,5.26,109,11.71,0.97,109/4
332,2414,精技,6.25,109,12.80,1.68,109/4
336,2420,新巨,6.49,109,13.55,1.87,109/4
345,2430,燦坤,5.75,109,14.57,0.94,109/4
347,2433,互盛電,6.62,109,13.84,1.88,109/4
357,2449,京元電子,4.52,109,14.90,1.85,109/4
366,2459,敦吉,5.78,109,13.44,1.34,109/4
375,2471,資通,4.92,109,14.73,1.88,109/4
377,2474,可成,4.83,108,7.46,1.00,109/4
392,2493,揚博,6.19,109,14.96,1.96,109/4
398,2504,國產,5.24,109,13.62,1.67,109/4
406,2520,冠德,7.80,109,6.41,1.41,109/4
412,2535,達欣工,6.89,109,10.07,1.44,109/4
413,2536,宏普,5.24,108,12.45,0.63,109/4
415,2538,基泰,4.59,108,-1,0.76,109/4
420,2545,皇翔,10.25,109,8.24,1.26,109/4
421,2546,根基,7.02,109,8.68,1.77,109/4
423,2548,華固,7.31,109,9.52,1.52,109/4
425,2601,益航,8.44,108,-1,1.23,109/4
438,2616,山隆,5.70,109,14.14,1.03,109/4
461,2809,京城銀,4.44,109,8.26,0.97,109/4
462,2812,台中銀,5.85,109,12.16,0.85,109/4
464,2820,華票,5.37,109,13.73,0.85,109/4
465,2823,中壽,4.62,108,7.90,0.68,109/4
466,2832,台產,4.66,109,12.42,0.89,109/4
469,2838,聯邦銀,5.45,109,11.00,0.63,109/4
472,2849,安泰銀,4.85,108,13.56,0.85,109/4
473,2850,新產,4.79,109,7.89,0.97,109/4
474,2851,中再保,5.45,109,9.28,1.05,109/4
476,2855,統一證,6.83,109,10.78,1.32,109/4
481,2883,開發金,5.11,108,13.82,0.86,109/4
483,2885,元大金,4.67,109,12.91,1.23,109/4
485,2887,台新金,5.76,108,11.21,0.88,109/4
488,2890,永豐金,5.26,109,12.20,0.96,109/4
489,2891,中信金,4.37,108,10.70,1.13,109/4
495,2905,三商,4.24,109,14.48,1.03,109/4
502,2915,潤泰全,5.96,109,5.70,0.43,109/4
512,3010,華立,4.92,109,10.12,1.46,109/4
516,3015,全漢,5.67,109,14.82,0.89,109/4
528,3028,增你強,6.57,109,13.08,1.29,109/4
533,3033,威健,5.94,109,11.87,1.37,109/4
536,3036,文曄,4.05,108,12.55,1.03,109/4
538,3038,全台,5.45,109,14.01,1.69,109/4
539,3040,遠見,11.29,109,7.97,1.90,109/4
551,3052,夆典,5.52,109,9.12,0.94,109/4
554,3056,總太,7.54,109,8.16,1.60,109/4
568,3209,全科,6.83,109,12.01,1.74,109/4
570,3231,緯創,6.67,109,10.58,1.28,109/4
577,3312,弘憶股,4.69,109,13.48,1.79,109/4
606,3543,州巧,4.06,109,-1,0.92,109/4
632,3702,大聯大,4.90,108,11.34,1.41,109/4
641,4104,佳醫,5.91,109,14.62,1.10,109/4
653,4306,炎洲,5.54,109,12.16,1.04,109/4
655,4426,利勤,4.23,108,-1,1.57,109/4
676,4722,國精化,5.37,109,12.93,1.43,109/4
686,4906,正文,5.69,109,9.18,1.34,109/4
691,4927,泰鼎-1KY,4.42,109,10.76,1.69,109/4
692,4930,燦星網,12.05,109,13.03,1.02,109/4
694,4935,茂林-1KY,5.12,109,10.39,1.94,109/4
695,4938,和碩,6.06,109,9.79,1.22,109/4
696,4942,嘉彰,5.22,109,10.06,0.91,109/4
700,4958,臻鼎-1KY,4.31,109,12.19,1.26,109/4
709,4999,鑫禾,5.14,109,10.32,1.23,109/4
727,5515,建國,5.48,109,10.07,0.85,109/4
728,5519,隆大,7.27,109,11.96,1.24,109/4
730,5522,遠雄,7.83,109,11.71,1.08,109/4
734,5534,長虹,6.00,109,9.25,1.33,109/4
736,5546,永固-1KY,7.56,109,8.60,1.99,109/4
744,5907,大洋-1KY,9.48,108,-1,0.53,109/4
745,6005,群益證,5.96,109,11.25,1.12,109/4
746,6024,群益期,6.71,109,14.46,1.42,109/4
748,6112,聚碩,5.90,109,14.50,1.87,109/4
770,6184,大豐電,6.67,109,13.31,1.57,109/4
771,6189,豐藝,6.80,109,13.76,1.90,109/4
773,6192,巨路,4.32,109,11.29,1.61,109/4
782,6214,精誠,5.48,108,13.57,1.67,109/4
790,6239,力成,4.46,109,12.99,1.88,109/4
793,6257,矽格,5.56,109,12.64,1.77,109/4
839,6641,基士德-1KY,6.22,109,11.04,1.89,109/4
845,6671,三能-1KY,6.07,109,13.51,1.80,109/4
852,6754,匯僑設計,5.91,109,14.66,1.60,109/4
861,8039,台虹,4.53,109,14.92,1.55,109/4
873,8131,福懋科,5.26,109,13.80,1.64,109/4
878,8213,志超,4.82,108,7.20,1.10,109/4
913,9905,大華,5.55,109,14.78,1.13,109/4
925,9924,福興,5.38,109,11.05,1.56,109/4
938,9939,宏全,4.41,109,14.21,1.80,109/4
944,9945,潤泰新,9.24,109,9.47,0.71,109/4
