,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.73,109,12.44,1.50,110/1
1,1102,亞泥,6.72,109,10.33,1.18,110/1
2,1103,嘉泥,6.02,109,8.10,0.60,110/1
3,1104,環泥,4.69,109,10.71,0.81,110/1
5,1109,信大,5.68,109,7.54,1.16,110/1
15,1219,福壽,4.26,109,12.98,1.63,110/1
16,1220,台榮,5.85,109,13.26,1.24,110/1
38,1315,達新,11.49,109,1.71,0.77,110/1
42,1323,永裕,4.67,109,11.05,1.46,110/1
47,1338,廣華-1KY,5.34,109,13.02,0.85,110/1
53,1409,新纖,4.98,109,10.14,1.16,110/1
57,1416,廣豐,4.50,109,-1,0.58,110/1
61,1423,利華,8.14,109,7.29,1.01,110/1
84,1457,宜進,7.96,109,5.56,0.89,110/1
91,1467,南緯,4.27,109,12.71,1.21,110/1
128,1539,巨庭,4.41,108,-1,0.94,110/1
131,1558,伸興,5.74,109,9.61,1.89,110/1
134,1582,信錦,6.06,109,10.65,1.70,110/1
136,1587,吉茂,6.59,109,10.36,1.63,110/1
142,1604,聲寶,8.12,109,6.15,1.44,110/1
147,1612,宏泰,4.81,109,10.57,1.42,110/1
158,1709,和益,5.54,109,14.43,1.39,110/1
161,1712,興農,5.63,109,10.27,1.44,110/1
163,1714,和桐,5.74,109,6.46,0.97,110/1
165,1718,中纖,4.57,109,9.20,0.61,110/1
166,1720,生達,4.47,109,11.75,1.70,110/1
167,1721,三晃,5.00,109,3.72,0.76,110/1
171,1725,元禎,4.67,109,12.84,1.09,110/1
172,1726,永記,4.63,109,13.13,1.35,110/1
175,1731,美吾華,5.04,109,14.60,1.34,110/1
196,1817,凱撒衛,5.07,109,11.88,1.60,110/1
210,2013,中鋼構,6.22,109,13.51,1.74,110/1
238,2107,厚生,5.89,109,10.10,0.75,110/1
242,2115,六暉-1KY,5.05,109,6.82,1.59,110/1
244,2204,中華,9.11,109,10.76,0.98,110/1
245,2206,三陽工業,4.29,109,12.63,1.57,110/1
257,2247,汎德永業,4.85,109,14.57,1.57,110/1
259,2301,光寶科,5.91,109,10.51,1.89,110/1
267,2316,楠梓電,4.88,109,12.65,0.74,110/1
270,2323,中環,6.90,109,9.67,0.63,110/1
271,2324,仁寶,7.24,109,8.47,0.94,110/1
284,2347,聯強,6.27,109,9.87,1.69,110/1
288,2352,佳世達,4.62,109,9.30,1.64,110/1
