,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.87,108,10.62,1.28,109/1
1,1102,亞泥,6.64,108,9.96,1.07,109/1
2,1103,嘉泥,5.92,108,11.34,0.51,109/1
3,1104,環泥,5.54,108,11.50,0.67,109/1
5,1109,信大,6.09,108,6.66,0.90,109/1
16,1220,台榮,5.53,108,14.47,0.83,109/1
20,1231,聯華食,4.98,108,14.39,1.97,109/1
29,1304,台聚,4.07,108,10.60,0.71,109/1
30,1305,華夏,5.10,108,13.42,1.21,109/1
32,1308,亞聚,5.99,108,12.23,1.04,109/1
39,1316,上曜,16.95,107,-1,1.13,109/1
40,1319,東陽,4.63,108,12.37,1.04,109/1
42,1323,永裕,4.78,108,10.08,1.56,109/1
48,1339,昭輝,4.37,108,10.04,0.96,109/1
49,1340,勝悅-1KY,11.59,107,-1,0.28,109/1
51,1402,遠東新,5.40,108,14.55,0.73,109/1
52,1409,新纖,4.95,108,11.44,0.65,109/1
57,1417,嘉裕,5.95,108,5.28,0.55,109/1
62,1434,福懋,6.93,108,11.86,1.06,109/1
65,1437,勤益控,5.18,108,5.51,0.68,109/1
67,1439,中和,13.62,108,3.51,1.20,109/1
69,1441,大東,46.61,107,-1,0.72,109/1
72,1444,力麗,5.49,107,-1,0.72,109/1
83,1457,宜進,8.26,108,-1,0.67,109/1
88,1465,偉全,9.77,108,-1,0.83,109/1
106,1514,亞力,5.59,108,13.93,1.41,109/1
112,1522,堤維西,5.86,108,13.58,1.12,109/1
113,1524,耿鼎,4.52,108,11.20,0.69,109/1
119,1530,亞崴,4.69,108,7.88,0.97,109/1
130,1558,伸興,6.52,108,11.47,1.69,109/1
133,1582,信錦,5.43,108,11.47,1.84,109/1
134,1583,程泰,4.89,108,13.74,1.43,109/1
141,1604,聲寶,7.33,108,10.02,1.18,109/1
143,1608,華榮,7.02,108,-1,0.69,109/1
145,1611,中電,8.70,108,6.73,1.03,109/1
148,1615,大山,8.89,108,10.56,1.41,109/1
164,1718,中纖,11.68,107,-1,0.39,109/1
195,1817,凱撒衛,5.46,108,13.03,1.32,109/1
197,1904,正隆,5.01,108,9.58,1.09,109/1
198,1905,華紙,4.16,107,-1,0.63,109/1
200,1907,永豐餘,5.19,108,7.99,0.62,109/1
203,2006,東和鋼鐵,5.54,108,14.32,1.00,109/1
237,2107,厚生,4.34,108,8.50,0.61,109/1
243,2204,中華,4.61,107,-1,0.52,109/1
