,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.48,109,11.06,1.36,109/4
1,1102,亞泥,7.55,109,10.73,1.07,109/4
2,1103,嘉泥,6.57,109,7.77,0.57,109/4
3,1104,環泥,4.87,109,11.83,0.79,109/4
4,1108,幸福,5.43,109,13.30,1.12,109/4
5,1109,信大,6.44,109,7.93,1.06,109/4
16,1220,台榮,7.07,109,13.87,1.06,109/4
32,1308,亞聚,5.52,109,13.34,1.22,109/4
36,1313,聯成,4.62,109,13.12,1.12,109/4
38,1315,達新,10.54,109,1.87,0.83,109/4
42,1323,永裕,4.60,109,10.76,1.42,109/4
53,1409,新纖,6.06,109,10.14,0.93,109/4
57,1416,廣豐,4.48,109,-1,0.58,109/4
61,1423,利華,8.37,109,8.40,0.99,109/4
62,1432,大魯閣,26.40,108,-1,1.42,109/4
68,1439,中和,19.96,108,-1,1.03,109/4
84,1457,宜進,8.40,109,6.18,0.86,109/4
88,1464,得力,8.60,108,-1,1.43,109/4
120,1530,亞崴,6.61,109,9.66,1.17,109/4
135,1583,程泰,4.69,109,14.58,1.45,109/4
136,1587,吉茂,6.04,109,12.44,1.67,109/4
143,1604,聲寶,8.26,109,6.24,1.44,109/4
144,1605,華新,4.68,109,9.30,0.74,109/4
148,1612,宏泰,5.01,109,14.60,1.43,109/4
150,1615,大山,6.49,108,11.54,1.87,109/4
155,1701,中化,4.32,109,12.31,1.04,109/4
156,1702,南僑,4.22,109,12.36,1.77,109/4
159,1709,和益,7.04,109,14.70,1.13,109/4
162,1712,興農,5.46,109,14.00,1.42,109/4
166,1718,中纖,5.07,109,13.51,0.55,109/4
168,1721,三晃,4.67,109,3.77,0.80,109/4
173,1726,永記,4.79,109,14.23,1.35,109/4
176,1731,美吾華,5.33,109,14.53,1.33,109/4
197,1817,凱撒衛,5.63,109,11.66,1.50,109/4
199,1904,正隆,4.86,109,11.01,1.61,109/4
202,1907,永豐餘,4.75,109,10.06,1.17,109/4
211,2013,中鋼構,6.57,109,13.08,1.71,109/4
215,2020,美亞,8.37,108,12.56,1.57,109/4
239,2107,厚生,6.07,109,9.39,0.76,109/4
243,2115,六暉-1KY,4.73,109,8.04,1.76,109/4
245,2204,中華,10.59,109,11.17,0.87,109/4
246,2206,三陽工業,4.17,109,12.82,1.68,109/4
266,2316,楠梓電,4.66,109,14.12,0.79,109/4
270,2324,仁寶,5.90,109,12.60,1.11,109/4
283,2347,聯強,5.91,109,11.41,1.71,109/4
291,2356,英業達,6.86,109,12.83,1.67,109/4
292,2357,華碩,7.00,109,10.39,1.37,109/4
297,2363,矽統,8.31,109,-1,0.69,109/4
317,2392,正崴,5.13,109,12.00,0.99,109/4
331,2414,精技,6.39,109,12.51,1.64,109/4
335,2420,新巨,6.71,109,13.10,1.80,109/4
344,2430,燦坤,5.95,109,14.08,0.91,109/4
346,2433,互盛電,6.61,109,13.87,1.88,109/4
356,2449,京元電子,4.69,109,14.36,1.78,109/4
359,2453,凌群,6.04,109,14.62,1.32,109/4
365,2459,敦吉,5.96,109,13.04,1.30,109/4
374,2471,資通,4.90,109,14.78,1.88,109/4
376,2474,可成,4.85,108,7.43,0.99,109/4
391,2493,揚博,6.23,109,14.85,1.95,109/4
397,2504,國產,5.69,109,12.55,1.54,109/4
405,2520,冠德,8.46,109,5.91,1.30,109/4
407,2527,宏璟,6.56,109,14.33,0.70,109/4
411,2535,達欣工,7.37,109,9.41,1.34,109/4
412,2536,宏普,5.26,108,12.39,0.62,109/4
414,2538,基泰,4.95,108,-1,0.70,109/4
419,2545,皇翔,10.34,109,8.16,1.25,109/4
420,2546,根基,7.13,109,8.54,1.74,109/4
422,2548,華固,7.53,109,9.25,1.48,109/4
424,2601,益航,12.32,108,-1,0.84,109/4
437,2616,山隆,6.32,109,12.75,0.93,109/4
460,2809,京城銀,4.49,109,8.17,0.96,109/4
461,2812,台中銀,6.03,109,11.80,0.83,109/4
463,2820,華票,5.58,109,13.22,0.82,109/4
464,2823,中壽,4.72,108,7.74,0.67,109/4
465,2832,台產,4.82,109,12.00,0.86,109/4
467,2836,高雄銀,4.62,109,14.65,0.69,109/4
468,2838,聯邦銀,5.70,109,10.52,0.60,109/4
470,2845,遠東銀,4.88,109,14.59,0.75,109/4
471,2849,安泰銀,4.72,108,13.92,0.88,109/4
472,2850,新產,4.91,109,7.69,0.95,109/4
473,2851,中再保,5.47,109,9.24,1.05,109/4
475,2855,統一證,7.77,109,9.48,1.16,109/4
479,2882,國泰金,4.17,108,9.47,0.79,109/4
480,2883,開發金,5.74,108,12.29,0.77,109/4
482,2885,元大金,5.31,109,11.36,1.08,109/4
484,2887,台新金,5.97,108,10.81,0.84,109/4
485,2888,新光金,4.43,109,8.35,0.50,109/4
487,2890,永豐金,5.53,109,11.61,0.91,109/4
488,2891,中信金,4.55,108,10.28,1.09,109/4
493,2904,匯僑,6.68,109,12.97,1.99,109/4
494,2905,三商,9.43,108,13.01,0.93,109/4
501,2915,潤泰全,6.31,109,5.38,0.40,109/4
511,3010,華立,4.80,109,10.37,1.50,109/4
515,3015,全漢,5.80,109,14.48,0.87,109/4
527,3028,增你強,6.54,109,13.14,1.29,109/4
532,3033,威健,6.19,109,11.39,1.31,109/4
535,3036,文曄,4.45,108,11.42,0.94,109/4
537,3038,全台,5.90,109,12.96,1.56,109/4
538,3040,遠見,11.22,109,8.01,1.91,109/4
550,3052,夆典,5.99,109,8.40,0.87,109/4
553,3056,總太,7.70,109,7.98,1.57,109/4
567,3209,全科,6.73,109,12.17,1.76,109/4
569,3231,緯創,6.58,109,10.72,1.30,109/4
576,3312,弘憶股,4.48,109,14.11,1.88,109/4
595,3501,維熹,4.68,109,14.87,1.06,109/4
599,3528,安馳,6.34,109,14.39,1.98,109/4
631,3702,大聯大,4.84,108,11.48,1.42,109/4
632,3703,欣陸,5.46,109,13.72,0.89,109/4
634,3705,永信,4.53,109,14.87,1.84,109/4
640,4104,佳醫,6.00,109,14.40,1.08,109/4
652,4306,炎洲,6.46,109,10.42,0.89,109/4
654,4426,利勤,4.75,108,-1,1.40,109/4
675,4722,國精化,5.48,109,12.67,1.40,109/4
685,4906,正文,5.97,109,8.75,1.28,109/4
690,4927,泰鼎-1KY,4.51,109,10.54,1.66,109/4
693,4935,茂林-1KY,5.16,109,10.29,1.92,109/4
