,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.34,108,9.73,1.25,109/3
1,1102,亞泥,7.33,108,9.58,0.97,109/3
3,1104,環泥,4.81,108,10.40,0.76,109/3
5,1109,信大,5.90,108,6.99,0.91,109/3
16,1220,台榮,5.17,108,12.08,0.89,109/3
23,1234,黑松,5.27,108,14.73,0.72,109/3
32,1308,亞聚,5.47,108,14.06,1.09,109/3
34,1310,台苯,6.13,108,-1,1.38,109/3
38,1315,達新,5.20,108,1.76,0.78,109/3
42,1323,永裕,5.00,108,9.88,1.38,109/3
53,1409,新纖,4.23,108,8.61,0.69,109/3
62,1432,大魯閣,30.19,108,-1,0.90,109/3
63,1434,福懋,8.46,108,13.37,0.93,109/3
65,1436,華友聯,6.54,108,8.32,1.34,109/3
84,1457,宜進,6.85,108,5.18,0.72,109/3
89,1465,偉全,12.15,108,-1,0.75,109/3
120,1530,亞崴,4.75,108,8.85,0.99,109/3
128,1539,巨庭,4.34,108,-1,0.95,109/3
129,1540,喬福,6.73,108,-1,0.96,109/3
131,1558,伸興,6.26,108,11.59,1.78,109/3
134,1582,信錦,5.57,108,10.05,1.79,109/3
143,1604,聲寶,5.87,108,5.54,1.27,109/3
145,1608,華榮,5.87,108,11.84,0.75,109/3
147,1611,中電,9.84,108,4.88,0.95,109/3
150,1615,大山,8.55,108,9.29,1.51,109/3
156,1702,南僑,4.41,108,11.44,1.87,109/3
162,1712,興農,6.27,108,11.40,1.23,109/3
167,1720,生達,4.21,108,13.80,1.67,109/3
172,1726,永記,4.51,108,13.93,1.36,109/3
196,1817,凱撒衛,5.29,108,10.93,1.40,109/3
198,1904,正隆,4.09,108,9.59,1.34,109/3
204,2006,東和鋼鐵,4.18,108,13.40,1.32,109/3
214,2020,美亞,9.92,108,11.23,1.39,109/3
219,2027,大成鋼,4.71,108,-1,1.43,109/3
242,2115,六暉-1KY,6.15,108,7.18,1.56,109/3
257,2301,光寶科,5.72,108,12.48,1.81,109/3
269,2324,仁寶,5.48,108,14.04,0.93,109/3
282,2347,聯強,5.56,108,10.24,1.56,109/3
290,2356,英業達,5.62,108,10.38,1.44,109/3
291,2357,華碩,4.85,108,11.07,1.17,109/3
296,2363,矽統,11.23,108,-1,0.84,109/3
298,2365,昆盈,4.04,108,10.00,0.77,109/3
299,2367,燿華,4.01,108,-1,1.24,109/3
316,2392,正崴,5.61,108,10.19,0.95,109/3
330,2414,精技,5.89,108,12.00,1.53,109/3
334,2420,新巨,6.12,108,11.01,1.61,109/3
343,2430,燦坤,5.09,108,12.60,0.70,109/3
345,2433,互盛電,7.58,108,12.75,1.86,109/3
355,2449,京元電子,4.68,108,11.92,1.71,109/3
358,2453,凌群,5.99,108,11.93,0.92,109/3
364,2459,敦吉,6.49,108,10.36,1.13,109/3
373,2471,資通,5.46,108,12.62,1.66,109/3
