,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.96,108,10.26,1.32,109/3
1,1102,亞泥,6.94,108,10.13,1.02,109/3
3,1104,環泥,4.40,108,11.38,0.84,109/3
5,1109,信大,5.54,108,7.43,0.97,109/3
16,1220,台榮,4.88,108,12.81,0.94,109/3
34,1310,台苯,5.68,108,-1,1.49,109/3
38,1315,達新,5.11,108,1.79,0.79,109/3
42,1323,永裕,4.83,108,10.22,1.43,109/3
62,1432,大魯閣,30.65,108,-1,0.89,109/3
63,1434,福懋,8.25,108,13.71,0.96,109/3
65,1436,華友聯,6.52,108,8.36,1.35,109/3
84,1457,宜進,6.62,108,5.35,0.74,109/3
89,1465,偉全,11.36,108,-1,0.80,109/3
120,1530,亞崴,4.65,108,9.03,1.01,109/3
128,1539,巨庭,4.20,108,-1,0.98,109/3
129,1540,喬福,6.39,108,-1,1.01,109/3
131,1558,伸興,6.24,108,11.63,1.78,109/3
134,1582,信錦,5.18,108,10.80,1.92,109/3
143,1604,聲寶,5.80,108,5.61,1.28,109/3
145,1608,華榮,4.73,108,14.68,0.93,109/3
147,1611,中電,8.57,108,5.60,1.08,109/3
150,1615,大山,8.11,108,9.78,1.59,109/3
156,1702,南僑,4.29,108,11.74,1.92,109/3
162,1712,興農,5.99,108,11.92,1.28,109/3
167,1720,生達,4.03,108,14.44,1.75,109/3
173,1726,永記,4.52,108,13.91,1.36,109/3
197,1817,凱撒衛,5.10,108,11.32,1.45,109/3
215,2020,美亞,9.34,108,11.93,1.48,109/3
243,2115,六暉-1KY,5.86,108,7.55,1.64,109/3
258,2301,光寶科,5.95,108,12.01,1.75,109/3
270,2324,仁寶,5.50,108,13.97,0.92,109/3
283,2347,聯強,5.47,108,10.40,1.58,109/3
291,2356,英業達,5.47,108,10.65,1.48,109/3
292,2357,華碩,4.94,108,10.88,1.15,109/3
297,2363,矽統,10.12,108,-1,0.94,109/3
317,2392,正崴,5.18,108,11.04,1.03,109/3
331,2414,精技,5.77,108,12.26,1.56,109/3
335,2420,新巨,5.87,108,11.48,1.68,109/3
344,2430,燦坤,4.82,108,13.30,0.74,109/3
346,2433,互盛電,7.44,108,13.00,1.90,109/3
352,2441,超豐,4.01,108,13.57,1.90,109/3
356,2449,京元電子,5.01,108,11.13,1.60,109/3
359,2453,凌群,5.52,108,12.93,0.99,109/3
365,2459,敦吉,6.47,108,10.39,1.14,109/3
374,2471,資通,5.20,108,13.25,1.75,109/3
376,2474,可成,4.81,108,14.79,1.10,109/3
387,2488,漢平,7.47,108,12.89,1.23,109/3
391,2493,揚博,6.95,108,14.32,1.79,109/3
392,2495,普安,4.84,108,-1,0.87,109/3
405,2520,冠德,4.49,108,8.29,1.26,109/3
411,2535,達欣工,5.11,108,9.25,1.12,109/3
412,2536,宏普,5.32,108,10.74,0.62,109/3
414,2538,基泰,4.72,108,-1,0.73,109/3
420,2546,根基,6.13,108,10.82,1.76,109/3
422,2548,華固,8.50,108,10.73,1.45,109/3
424,2601,益航,12.15,108,-1,0.86,109/3
435,2614,東森,5.92,108,12.90,1.54,109/3
437,2616,山隆,5.63,108,12.06,0.91,109/3
457,2739,寒舍,4.24,108,-1,1.71,109/3
461,2812,台中銀,7.27,108,10.38,0.80,109/3
462,2816,旺旺保,6.51,108,7.02,0.82,109/3
463,2820,華票,4.80,108,13.51,0.82,109/3
464,2823,中壽,5.24,108,6.60,0.67,109/3
465,2832,台產,4.91,108,10.82,0.80,109/3
467,2836,高雄銀,4.79,108,14.79,0.72,109/3
468,2838,聯邦銀,7.34,108,10.69,0.62,109/3
470,2845,遠東銀,6.85,108,12.71,0.77,109/3
472,2850,新產,4.70,108,7.16,0.99,109/3
474,2852,第一保,7.30,108,12.18,0.60,109/3
475,2855,統一證,5.43,108,11.95,1.12,109/3
478,2881,富邦金,4.22,108,7.46,0.83,109/3
479,2882,國泰金,4.69,108,8.35,0.77,109/3
480,2883,開發金,6.18,108,12.95,0.77,109/3
482,2885,元大金,4.79,108,11.65,1.08,109/3
484,2887,台新金,5.99,108,10.94,0.86,109/3
485,2888,新光金,4.46,108,7.67,0.47,109/3
486,2889,國票金,6.14,108,12.96,1.04,109/3
487,2890,永豐金,6.01,108,10.79,0.87,109/3
488,2891,中信金,5.01,108,9.78,1.07,109/3
493,2904,匯僑,6.10,108,11.97,1.87,109/3
494,2905,三商,9.64,108,11.66,0.97,109/3
501,2915,潤泰全,7.05,108,5.81,0.44,109/3
502,2923,鼎固-1KY,7.89,108,-1,0.96,109/3
503,2929,淘帝-1KY,11.59,108,-1,0.33,109/3
505,2939,凱羿-1KY,15.08,108,-1,1.39,109/3
509,3005,神基,5.69,108,11.48,1.89,109/3
512,3010,華立,4.35,108,10.15,1.46,109/3
528,3028,增你強,4.48,108,13.43,1.01,109/3
529,3029,零壹,5.25,108,10.31,1.89,109/3
536,3036,文曄,5.01,108,10.35,0.87,109/3
538,3038,全台,6.47,108,11.59,1.46,109/3
543,3044,健鼎,5.82,108,10.99,1.91,109/3
547,3048,益登,4.15,108,10.00,1.52,109/3
551,3052,夆典,4.03,108,4.81,0.83,109/3
568,3209,全科,5.55,108,9.94,1.40,109/3
570,3231,緯創,6.58,108,9.39,1.23,109/3
577,3312,弘憶股,8.33,108,12.41,1.27,109/3
596,3501,維熹,5.67,108,13.63,1.08,109/3
600,3528,安馳,5.89,108,12.75,1.92,109/3
616,3596,智易,4.87,108,13.83,1.81,109/3
632,3702,大聯大,5.47,108,10.59,1.29,109/3
635,3705,永信,4.97,108,14.06,1.88,109/3
636,3706,神達,7.30,108,12.16,0.88,109/3
641,4104,佳醫,5.88,108,14.53,1.05,109/3
651,4164,承業醫,5.22,108,14.58,1.03,109/3
655,4426,利勤,4.46,108,-1,1.47,109/3
664,4552,力達-1KY,4.85,108,14.54,0.82,109/3
676,4722,國精化,5.66,108,12.57,1.27,109/3
689,4915,致伸,4.97,108,10.09,1.72,109/3
690,4916,事欣科,8.47,108,-1,1.48,109/3
692,4927,泰鼎-1KY,4.35,108,12.62,1.83,109/3
696,4938,和碩,6.69,108,7.43,1.10,109/3
697,4942,嘉彰,6.58,108,8.62,0.76,109/3
710,4999,鑫禾,4.84,108,11.67,1.14,109/3
729,5519,隆大,8.88,108,9.74,0.80,109/3
731,5522,遠雄,6.29,108,14.07,1.13,109/3
735,5534,長虹,7.79,108,9.52,1.37,109/3
742,5876,上海商銀,4.83,108,13.87,1.24,109/3
746,6005,群益證,5.42,108,10.69,0.93,109/3
747,6024,群益期,4.90,108,12.96,1.31,109/3
748,6108,競國,7.11,108,-1,1.04,109/3
768,6176,瑞儀,6.90,108,11.39,1.95,109/3
771,6184,大豐電,6.98,108,12.43,1.53,109/3
772,6189,豐藝,6.42,108,13.05,1.68,109/3
774,6192,巨路,4.85,108,11.43,1.45,109/3
777,6201,亞弘電,6.23,108,14.96,1.49,109/3
783,6214,精誠,5.71,108,10.20,1.64,109/3
791,6239,力成,4.64,108,10.58,1.69,109/3
793,6257,矽格,4.66,108,11.43,1.70,109/3
794,6269,台郡,4.06,108,13.52,1.79,109/3
811,6442,光聖,4.47,108,-1,1.17,109/3
836,6641,基士德-1KY,6.98,108,11.41,1.89,109/3
837,6655,科定,4.17,108,14.24,1.50,109/3
842,6671,三能-1KY,7.54,108,10.79,1.53,109/3
849,6754,匯僑設計,7.05,108,14.23,1.40,109/3
866,8112,至上,7.67,108,9.41,1.75,109/3
868,8131,福懋科,5.80,108,12.05,1.54,109/3
869,8150,南茂,5.05,108,11.73,1.29,109/3
870,8163,達方,5.13,108,14.55,1.49,109/3
873,8213,志超,5.62,108,6.61,1.00,109/3
878,8271,宇瞻,6.12,108,12.52,1.52,109/3
893,8466,美吉吉-1KY,6.49,108,12.08,1.62,109/3
908,9905,大華,4.33,108,12.09,0.99,109/3
920,9924,福興,5.75,108,10.46,1.52,109/3
933,9939,宏全,4.99,108,10.80,1.40,109/3
939,9945,潤泰新,14.76,108,8.80,0.63,109/3
940,9946,三發地產,10.58,108,8.91,0.69,109/3
