,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.33,108,9.66,1.26,109/2
1,1102,亞泥,7.37,108,9.95,1.00,109/2
3,1104,環泥,4.77,108,11.84,0.79,109/2
5,1109,信大,5.61,108,7.26,1.00,109/2
16,1220,台榮,5.13,108,12.86,0.92,109/2
32,1308,亞聚,6.18,108,11.63,0.99,109/2
38,1315,達新,6.91,108,1.85,0.79,109/2
42,1323,永裕,4.87,108,9.52,1.48,109/2
52,1409,新纖,4.98,108,7.32,0.59,109/2
57,1417,嘉裕,4.55,108,7.69,0.73,109/2
62,1434,福懋,7.97,108,12.64,0.93,109/2
64,1436,華友聯,6.54,108,14.86,1.43,109/2
83,1457,宜進,7.33,108,6.09,0.68,109/2
88,1465,偉全,11.36,108,-1,0.79,109/2
119,1530,亞崴,5.07,108,8.27,0.94,109/2
128,1540,喬福,6.92,108,-1,0.92,109/2
130,1558,伸興,6.49,108,11.89,1.83,109/2
134,1583,程泰,5.00,108,13.30,1.40,109/2
145,1611,中電,10.91,108,5.21,0.88,109/2
148,1615,大山,9.22,108,9.43,1.34,109/2
154,1702,南僑,4.70,108,12.12,1.88,109/2
160,1712,興農,6.62,108,12.68,1.20,109/2
171,1726,永記,4.58,108,14.84,1.38,109/2
195,1817,凱撒衛,5.65,108,11.59,1.35,109/2
203,2006,東和鋼鐵,4.75,108,14.01,1.19,109/2
208,2012,春雨,7.34,108,14.34,1.32,109/2
213,2020,美亞,11.46,108,12.62,1.27,109/2
218,2027,大成鋼,5.45,108,-1,1.17,109/2
237,2107,厚生,4.08,108,9.01,0.66,109/2
241,2115,六暉-1KY,6.47,108,6.63,1.47,109/2
255,2301,光寶科,6.99,108,10.10,1.55,109/2
264,2317,鴻海,5.34,108,10.55,0.93,109/2
266,2324,仁寶,6.42,108,12.72,0.80,109/2
268,2328,廣宇,5.81,108,11.70,0.87,109/2
279,2347,聯強,6.40,108,9.49,1.44,109/2
285,2354,鴻準,4.81,108,11.45,0.77,109/2
287,2356,英業達,5.91,108,11.06,1.43,109/2
288,2357,華碩,5.51,108,13.03,1.10,109/2
293,2363,矽統,13.54,108,-1,0.96,109/2
295,2365,昆盈,4.18,108,13.40,0.77,109/2
313,2392,正崴,6.16,108,9.23,0.94,109/2
327,2414,精技,6.04,108,12.36,1.55,109/2
331,2420,新巨,6.31,108,10.89,1.63,109/2
333,2423,固緯,6.85,108,12.96,1.46,109/2
340,2430,燦坤,5.49,108,12.47,0.66,109/2
342,2433,互盛電,7.83,108,12.23,1.84,109/2
348,2441,超豐,4.54,108,12.68,1.74,109/2
353,2449,京元電子,5.85,108,9.32,1.46,109/2
356,2453,凌群,5.90,108,12.74,0.94,109/2
362,2459,敦吉,7.02,108,9.93,1.10,109/2
369,2467,志聖,8.71,108,14.49,1.99,109/2
373,2474,可成,5.56,108,10.13,0.96,109/2
375,2477,美隆電,6.88,108,14.09,1.56,109/2
384,2488,漢平,8.06,108,11.37,1.18,109/2
388,2493,揚博,7.31,108,13.68,1.74,109/2
389,2495,普安,5.00,108,-1,0.84,109/2
403,2527,宏璟,9.65,108,7.09,0.70,109/2
407,2535,達欣工,5.57,108,7.87,1.04,109/2
408,2536,宏普,4.99,108,8.87,0.67,109/2
410,2538,基泰,5.04,108,-1,0.68,109/2
411,2539,櫻花建,9.47,108,9.93,1.99,109/2
416,2546,根基,6.25,108,11.35,1.87,109/2
418,2548,華固,8.76,108,5.42,1.44,109/2
420,2601,益航,13.09,108,-1,0.81,109/2
433,2616,山隆,6.03,108,13.09,0.98,109/2
434,2617,台航,4.78,108,11.47,0.70,109/2
457,2812,台中銀,7.34,108,10.00,0.77,109/2
458,2816,旺旺保,7.19,108,6.98,0.74,109/2
459,2820,華票,4.91,108,14.50,0.82,109/2
460,2823,中壽,6.05,108,6.26,0.63,109/2
461,2832,台產,5.05,108,10.59,0.79,109/2
462,2834,臺企銀,7.16,108,12.53,0.72,109/2
463,2836,高雄銀,5.07,108,13.58,0.68,109/2
464,2838,聯邦銀,7.84,108,9.53,0.56,109/2
466,2845,遠東銀,7.15,108,11.37,0.73,109/2
467,2849,安泰銀,5.03,108,13.55,0.85,109/2
468,2850,新產,5.03,108,6.91,0.96,109/2
469,2851,中再保,4.37,108,8.66,1.00,109/2
470,2852,第一保,7.38,108,12.26,0.60,109/2
471,2855,統一證,8.00,108,10.95,0.79,109/2
474,2881,富邦金,4.83,108,7.00,0.80,109/2
475,2882,國泰金,5.18,108,9.23,0.73,109/2
478,2885,元大金,5.77,108,10.34,0.90,109/2
480,2887,台新金,6.15,108,11.11,0.84,109/2
481,2888,新光金,4.81,108,7.71,0.45,109/2
482,2889,國票金,7.01,108,12.06,0.93,109/2
483,2890,永豐金,6.45,108,10.53,0.84,109/2
484,2891,中信金,5.51,108,8.73,1.00,109/2
485,2892,第一金,6.51,108,14.21,1.22,109/2
489,2904,匯僑,6.83,108,11.61,1.73,109/2
490,2905,三商,9.17,108,6.01,0.88,109/2
497,2915,潤泰全,7.73,108,4.98,0.43,109/2
498,2923,鼎固-1KY,9.25,108,-1,0.86,109/2
499,2929,淘帝-1KY,5.18,108,-1,0.65,109/2
504,3004,豐達科,5.34,108,9.73,1.41,109/2
505,3005,神基,5.99,108,11.16,1.91,109/2
508,3010,華立,5.78,108,8.57,1.17,109/2
512,3015,全漢,4.67,108,14.71,0.67,109/2
524,3028,增你強,4.89,108,14.93,0.90,109/2
525,3029,零壹,5.43,108,11.54,1.91,109/2
527,3031,佰鴻,6.10,108,12.45,0.92,109/2
532,3036,文曄,5.56,108,9.79,0.79,109/2
534,3038,全台,7.02,108,9.50,1.39,109/2
535,3040,遠見,4.40,108,8.59,1.55,109/2
539,3044,健鼎,6.28,108,10.19,1.91,109/2
543,3048,益登,5.76,108,8.42,1.15,109/2
547,3052,夆典,4.62,108,5.91,0.76,109/2
550,3056,總太,7.78,108,10.65,1.83,109/2
563,3209,全科,6.53,108,9.03,1.25,109/2
565,3231,緯創,7.07,108,9.88,1.15,109/2
572,3312,弘憶股,9.06,108,11.83,1.13,109/2
591,3501,維熹,6.54,108,12.60,0.98,109/2
595,3528,安馳,6.20,108,13.26,1.90,109/2
628,3702,大聯大,6.05,108,10.23,1.19,109/2
631,3705,永信,5.05,108,14.53,1.91,109/2
632,3706,神達,7.75,108,10.07,0.77,109/2
