,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.18,108,9.95,1.28,109/3
1,1102,亞泥,7.02,108,10.01,1.01,109/3
3,1104,環泥,4.67,108,10.70,0.79,109/3
5,1109,信大,5.66,108,7.28,0.95,109/3
16,1220,台榮,4.86,108,12.86,0.94,109/3
34,1310,台苯,5.45,108,-1,1.55,109/3
38,1315,達新,5.01,108,1.83,0.81,109/3
42,1323,永裕,4.86,108,10.15,1.42,109/3
62,1432,大魯閣,27.21,108,-1,1.00,109/3
63,1434,福懋,8.28,108,13.67,0.95,109/3
65,1436,華友聯,6.53,108,8.34,1.34,109/3
84,1457,宜進,6.58,108,5.39,0.74,109/3
89,1465,偉全,11.86,108,-1,0.76,109/3
120,1530,亞崴,4.56,108,9.22,1.03,109/3
128,1539,巨庭,4.30,108,-1,0.96,109/3
129,1540,喬福,6.58,108,-1,0.98,109/3
131,1558,伸興,5.85,108,12.42,1.90,109/3
134,1582,信錦,5.35,108,10.46,1.86,109/3
143,1604,聲寶,5.66,108,5.75,1.31,109/3
145,1608,華榮,4.89,108,14.21,0.90,109/3
147,1611,中電,9.13,108,5.26,1.02,109/3
150,1615,大山,8.08,108,9.82,1.60,109/3
156,1702,南僑,4.32,108,11.66,1.91,109/3
162,1712,興農,6.16,108,11.59,1.25,109/3
167,1720,生達,4.06,108,14.32,1.73,109/3
173,1726,永記,4.45,108,14.13,1.38,109/3
197,1817,凱撒衛,5.08,108,11.37,1.46,109/3
215,2020,美亞,9.51,108,11.72,1.45,109/3
220,2027,大成鋼,4.07,108,-1,1.65,109/3
243,2115,六暉-1KY,5.72,108,7.73,1.68,109/3
258,2301,光寶科,5.23,108,13.66,1.99,109/3
270,2324,仁寶,5.50,108,13.97,0.92,109/3
283,2347,聯強,5.43,108,10.47,1.59,109/3
291,2356,英業達,5.46,108,10.67,1.48,109/3
292,2357,華碩,4.83,108,11.13,1.17,109/3
297,2363,矽統,10.24,108,-1,0.92,109/3
317,2392,正崴,5.26,108,10.88,1.01,109/3
331,2414,精技,5.70,108,12.41,1.58,109/3
335,2420,新巨,5.92,108,11.38,1.67,109/3
344,2430,燦坤,4.94,108,12.98,0.72,109/3
