,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.12,108,9.85,1.23,108/4
1,1102,亞泥,7.21,108,8.02,0.96,108/4
2,1103,嘉泥,6.17,108,8.06,0.46,108/4
3,1104,環泥,5.92,108,9.71,0.61,108/4
5,1109,信大,4.86,107,5.83,0.82,108/4
7,1201,味全,6.33,108,7.87,1.53,108/4
9,1210,大成,5.60,108,13.46,1.69,108/4
16,1220,台榮,5.77,108,14.65,0.80,108/4
20,1231,聯華食,5.21,108,13.43,1.93,108/4
23,1234,黑松,5.56,108,14.50,0.69,108/4
27,1301,台塑,5.47,108,13.72,1.47,108/4
29,1304,台聚,4.24,108,9.92,0.68,108/4
30,1305,華夏,6.13,108,13.36,1.04,108/4
32,1308,亞聚,6.96,108,10.68,0.86,108/4
33,1309,台達化,6.56,108,7.69,0.71,108/4
34,1310,台苯,4.78,108,9.40,1.18,108/4
38,1315,達新,7.86,108,12.73,1.06,108/4
39,1316,上曜,19.25,107,-1,0.97,108/4
40,1319,東陽,5.31,108,10.09,0.91,108/4
42,1323,永裕,5.00,108,9.97,1.43,108/4
45,1326,台化,5.53,108,13.52,1.13,108/4
47,1338,廣華-1KY,7.25,108,10.10,0.63,108/4
48,1339,昭輝,4.97,108,7.92,0.86,108/4
49,1340,勝悅-1KY,12.88,107,-1,0.23,108/3
51,1402,遠東新,6.28,108,11.89,0.63,108/4
52,1409,新纖,5.39,108,9.19,0.55,108/4
56,1416,廣豐,11.71,107,-1,0.49,108/4
57,1417,嘉裕,6.28,108,4.77,0.48,108/4
62,1434,福懋,8.03,108,10.11,0.82,108/4
65,1437,勤益控,5.47,108,4.64,0.63,108/4
67,1439,中和,13.57,108,3.52,1.21,108/4
69,1441,大東,46.68,107,-1,0.65,108/4
78,1452,宏益,7.19,108,12.56,0.89,108/4
83,1457,宜進,8.85,108,10.97,0.61,108/4
87,1464,得力,7.81,107,13.15,1.34,108/4
88,1465,偉全,9.87,108,4.75,0.82,108/4
106,1514,亞力,6.54,108,12.74,1.24,108/4
112,1522,堤維西,5.91,108,10.63,1.11,108/4
113,1524,耿鼎,4.83,108,9.86,0.63,108/4
114,1525,江申,4.87,108,10.41,0.73,108/4
115,1526,日馳,4.49,108,13.28,1.07,108/4
116,1527,鑽全,9.99,107,9.67,1.43,108/4
127,1539,巨庭,5.44,108,13.74,0.73,108/4
128,1540,喬福,6.60,108,11.22,0.90,108/4
130,1558,伸興,6.96,108,11.34,1.61,108/4
131,1560,中砂,6.25,107,14.70,1.84,108/4
133,1582,信錦,5.90,108,10.03,1.72,108/4
141,1604,聲寶,8.13,108,9.23,1.05,108/4
143,1608,華榮,7.14,108,4.95,0.57,108/4
144,1609,大亞,7.60,107,10.71,0.76,108/4
145,1611,中電,9.60,108,5.87,0.92,108/4
148,1615,大山,7.01,107,8.83,1.19,108/4
152,1626,艾美特-1KY,4.03,108,13.48,1.13,108/4
154,1702,南僑,4.74,108,10.82,1.71,108/4
160,1712,興農,7.03,108,11.49,1.11,108/4
163,1717,長興,5.44,108,12.94,1.49,108/4
164,1718,中纖,12.38,107,-1,0.36,108/4
170,1725,元禎,5.98,108,12.66,0.69,108/4
178,1735,日勝化,4.05,108,13.49,1.09,108/4
195,1817,凱撒衛,5.88,108,11.65,1.24,108/4
198,1904,正隆,5.83,108,9.90,0.96,108/4
199,1905,華紙,4.94,107,-1,0.52,108/4
200,1906,寶隆,4.33,108,14.44,0.44,108/4
201,1907,永豐餘,5.86,108,8.66,0.51,108/4
204,2006,東和鋼鐵,6.16,108,14.04,0.91,108/4
209,2012,春雨,7.14,108,10.50,1.20,108/4
212,2015,豐興,5.96,108,14.93,1.60,108/4
213,2017,官田鋼,6.29,107,-1,0.57,108/4
214,2020,美亞,8.78,107,8.14,1.13,108/4
222,2030,彰源,5.03,108,10.57,0.71,108/4
226,2034,允強,6.65,108,14.74,1.23,108/4
238,2107,厚生,4.66,108,11.14,0.56,108/4
239,2108,南帝,6.24,108,9.95,1.70,108/4
242,2115,六暉-1KY,7.40,108,12.99,1.37,108/4
244,2204,中華,5.36,107,-1,0.45,108/4
245,2206,三陽工業,5.19,108,7.10,1.13,108/4
249,2228,劍麟,5.75,108,10.03,1.67,108/4
251,2233,宇隆,7.71,107,10.24,1.20,108/4
253,2239,英利-1KY,4.49,108,10.20,0.61,108/4
255,2301,光寶科,7.27,108,10.92,1.41,108/4
264,2317,鴻海,5.41,107,8.89,0.83,108/4
267,2324,仁寶,6.40,108,11.72,0.77,108/4
269,2328,廣宇,5.48,108,9.17,0.86,108/4
276,2340,台亞,4.74,108,13.19,1.10,108/4
280,2347,聯強,6.77,108,9.39,1.29,108/4
284,2352,佳世達,5.30,107,8.82,0.93,108/4
286,2354,鴻準,5.95,107,10.67,0.70,108/4
287,2355,敬鵬,4.15,108,14.52,0.61,108/4
288,2356,英業達,5.65,108,14.94,1.49,108/4
289,2357,華碩,7.24,108,11.84,0.81,108/4
291,2359,所羅門,4.53,108,9.49,0.66,108/4
294,2363,矽統,15.38,108,-1,0.81,108/4
296,2365,昆盈,5.00,108,12.31,0.58,108/4
302,2374,佳能,4.46,107,-1,0.49,108/4
314,2392,正崴,4.18,107,8.74,0.77,108/4
325,2409,友達,6.80,107,-1,0.40,108/4
328,2414,精技,6.76,108,12.20,1.35,108/4
332,2420,新巨,6.51,108,9.62,1.52,108/4
334,2423,固緯,6.71,108,10.40,1.39,108/4
339,2428,興勤,5.47,108,8.82,1.54,108/4
341,2430,燦坤,6.78,108,11.61,0.53,108/4
343,2433,互盛電,7.48,108,11.98,1.76,108/4
345,2436,偉詮電,5.91,108,13.66,1.50,108/4
349,2441,超豐,5.39,108,12.81,1.46,108/4
350,2442,新美齊,19.43,107,10.94,0.60,108/4
354,2449,京元電子,5.25,108,13.78,1.60,108/4
357,2453,凌群,6.23,108,12.44,0.89,108/4
363,2459,敦吉,7.55,108,9.46,0.96,108/4
367,2464,盟立,7.75,108,9.24,1.55,108/4
370,2467,志聖,9.31,108,12.85,1.59,108/4
372,2471,資通,6.62,108,12.69,1.37,108/4
375,2476,鉅祥,6.67,108,10.89,0.78,108/4
376,2477,美隆電,7.75,108,9.74,1.26,108/4
381,2483,百容,5.60,108,12.48,0.82,108/4
385,2488,漢平,8.52,108,7.71,1.04,108/4
389,2493,揚博,8.80,108,14.20,1.38,108/4
403,2520,冠德,6.09,108,9.48,0.96,108/4
405,2527,宏璟,9.33,108,6.80,0.62,108/4
409,2535,達欣工,6.86,108,9.76,0.87,108/4
410,2536,宏普,4.87,107,11.23,0.57,108/4
412,2538,基泰,6.56,107,-1,0.60,108/4
418,2546,根基,8.34,108,9.49,1.39,108/4
420,2548,華固,8.56,108,7.72,1.45,108/4
427,2608,嘉里大榮,4.01,107,13.43,1.92,108/4
430,2611,志信,6.91,107,-1,0.43,108/4
433,2614,東森,8.03,107,-1,1.14,108/3
434,2615,萬海,5.00,108,9.94,0.98,108/4
435,2616,山隆,6.17,108,13.62,0.99,108/4
436,2617,台航,8.64,107,10.45,0.61,108/4
440,2634,漢翔,4.43,108,13.49,1.72,108/4
441,2636,台驊投控,6.18,108,9.79,1.01,108/4
442,2637,慧洋-1KY,6.36,108,7.40,0.56,108/4
445,2702,華園,8.62,107,-1,0.99,108/4
453,2727,王品,7.21,108,13.19,1.38,108/4
458,2809,京城銀,5.08,108,9.82,0.81,108/4
459,2812,台中銀,7.34,108,9.40,0.79,108/4
460,2816,旺旺保,7.40,108,5.65,0.73,108/4
461,2820,華票,5.02,108,14.95,0.81,109/1
462,2823,中壽,6.19,108,6.36,0.61,108/4
463,2832,台產,5.24,108,9.85,0.76,108/4
464,2834,臺企銀,6.83,108,10.90,0.77,108/4
465,2836,高雄銀,5.49,108,12.90,0.65,108/4
466,2838,聯邦銀,7.88,108,9.31,0.56,108/4
468,2845,遠東銀,7.29,108,9.40,0.72,108/4
469,2849,安泰銀,7.38,107,12.78,0.79,108/4
470,2850,新產,5.11,108,7.13,0.95,108/4
471,2851,中再保,5.19,108,9.28,0.85,108/4
472,2852,第一保,7.01,108,7.10,0.61,108/4
473,2855,統一證,9.38,108,7.40,0.66,108/4
475,2880,華南金,6.04,107,13.78,1.16,108/4
476,2881,富邦金,5.05,107,7.78,0.75,108/4
477,2882,國泰金,4.03,107,8.72,0.71,108/4
479,2884,玉山金,6.24,108,14.74,1.71,108/4
480,2885,元大金,6.50,108,9.23,0.81,108/4
481,2886,兆豐金,6.01,107,13.29,1.19,108/4
482,2887,台新金,6.10,107,9.37,0.76,108/4
483,2888,新光金,4.92,108,6.21,0.53,108/4
484,2889,國票金,7.77,108,11.47,0.84,108/4
485,2890,永豐金,6.19,108,10.18,0.86,108/4
486,2891,中信金,5.39,107,8.67,0.97,108/4
487,2892,第一金,5.51,107,12.87,1.13,108/4
491,2904,匯僑,7.16,108,11.82,1.59,108/4
492,2905,三商,9.43,108,4.72,0.92,108/4
499,2915,潤泰全,7.51,108,4.06,0.49,108/4
500,2923,鼎固-1KY,9.65,108,4.89,0.73,108/4
501,2929,淘帝-1KY,6.89,107,5.62,1.12,108/4
506,3004,豐達科,4.99,108,8.03,1.47,108/4
507,3005,神基,6.52,108,11.77,1.67,108/4
510,3010,華立,6.41,108,8.42,1.04,108/4
513,3014,聯陽,7.17,108,13.73,1.84,108/4
520,3022,威強電,4.46,107,8.84,0.88,108/4
527,3029,零壹,6.24,108,11.37,1.65,108/4
529,3031,佰鴻,5.54,108,10.86,0.93,108/4
530,3032,偉訓,7.77,108,10.30,1.30,108/4
534,3036,文曄,7.51,108,8.62,0.93,108/4
536,3038,全台,6.22,108,11.16,1.52,108/4
541,3044,健鼎,5.81,107,8.83,1.56,108/4
545,3048,益登,6.27,108,9.67,1.03,108/4
549,3052,夆典,4.93,108,11.67,0.71,108/4
552,3056,總太,9.79,108,13.62,1.33,108/4
565,3209,全科,7.07,108,11.50,1.16,108/4
567,3231,緯創,7.69,108,10.88,1.00,108/4
571,3305,昇貿,5.36,108,13.04,0.62,108/4
574,3312,弘憶股,8.16,108,11.22,1.23,108/4
593,3501,維熹,6.96,108,9.80,0.87,108/4
597,3528,安馳,6.67,108,13.54,1.68,108/4
609,3583,辛耘,4.32,108,11.52,1.42,108/4
613,3596,智易,5.93,108,12.59,1.52,108/4
615,3607,谷崧,4.24,107,-1,0.46,108/4
616,3617,碩天,6.89,108,12.42,1.41,108/4
621,3665,貿聯-1KY,5.14,108,12.38,1.87,108/4
624,3679,新至陞,5.38,107,10.30,0.88,108/4
630,3702,大聯大,7.20,107,10.93,1.11,108/4
634,3706,神達,7.43,108,11.13,0.80,108/4
635,3708,上緯投控,6.09,108,7.32,1.18,108/4
637,3712,永崴投控,20.16,107,-1,0.46,108/4
638,4104,佳醫,6.27,108,13.08,0.97,108/4
649,4164,承業醫,5.63,108,12.63,0.97,108/4
654,4438,廣越,6.44,108,11.97,1.73,108/4
655,4439,冠星-1KY,6.61,108,9.82,1.63,108/4
658,4536,拓凱,5.97,108,10.55,1.73,108/4
659,4540,全球傳動,7.29,107,-1,1.54,108/4
662,4552,力達-1KY,5.65,108,9.35,0.69,108/4
664,4557,永新-1KY,7.78,108,12.96,1.70,108/4
665,4560,強信-1KY,7.89,107,10.16,1.74,108/4
666,4562,穎漢,8.88,107,-1,1.04,108/4
667,4564,元翎,7.43,108,10.88,1.20,108/4
668,4566,時碩工業,4.71,108,10.69,1.07,108/4
669,4571,鈞興-1KY,6.11,108,11.64,1.55,108/4
670,4572,駐龍,6.05,108,13.36,1.49,108/4
672,4581,光隆精密-1KY,7.86,108,12.35,1.54,108/4
674,4722,國精化,7.16,108,9.79,1.00,108/4
679,4755,三福化,5.77,108,12.09,1.24,108/4
682,4766,南寶,5.00,108,11.78,1.49,108/4
683,4807,日成-1KY,17.20,107,-1,1.00,108/4
687,4915,致伸,5.12,107,9.84,1.71,108/4
688,4916,事欣科,9.39,107,6.62,1.34,108/4
690,4927,泰鼎-1KY,5.49,108,12.49,1.39,108/4
694,4938,和碩,6.99,108,8.70,1.07,108/4
695,4942,嘉彰,7.81,108,7.00,0.64,108/4
697,4952,凌通,6.45,108,13.61,1.50,108/4
699,4958,臻鼎-1KY,4.46,108,10.49,1.36,108/4
701,4961,天鈺,4.76,107,14.68,1.17,108/4
708,4999,鑫禾,6.91,108,13.02,0.82,108/4
714,5243,乙盛-1KY,6.39,108,9.51,0.81,108/4
718,5283,禾聯碩,8.47,108,9.26,1.90,108/4
721,5288,豐祥-1KY,5.97,108,9.71,1.98,108/4
724,5434,崇越,6.74,108,10.17,1.84,108/4
728,5515,建國,5.11,108,14.60,0.60,108/4
729,5519,隆大,7.36,107,5.51,0.64,108/4
731,5522,遠雄,8.31,108,10.82,0.82,108/4
732,5525,順天,6.67,108,11.75,1.02,108/4
735,5534,長虹,8.89,107,7.20,1.31,108/4
736,5538,東明-1KY,5.62,108,9.64,1.16,108/4
737,5607,遠雄港,4.77,108,8.69,0.90,108/4
739,5706,鳳凰,4.33,108,8.92,1.56,108/4
740,5871,中租-1KY,5.11,108,8.40,1.86,108/4
741,5876,上海商銀,5.01,108,12.47,1.19,108/4
742,5880,合庫金,6.04,108,14.32,1.11,108/4
744,5907,大洋-1KY,8.11,107,6.75,0.46,108/4
745,6005,群益證,8.60,108,7.88,0.59,108/4
746,6024,群益期,5.18,108,10.78,1.29,108/4
747,6108,競國,7.62,108,9.46,0.89,108/4
749,6115,鎰勝,7.12,108,13.77,1.64,108/4
753,6128,上福,8.56,108,10.16,1.03,108/4
757,6139,亞翔,5.98,108,11.36,0.73,108/4
768,6176,瑞儀,7.45,107,7.44,1.59,108/4
771,6184,大豐電,7.36,108,12.02,1.44,108/4
772,6189,豐藝,7.11,108,12.23,1.56,108/4
774,6192,巨路,5.37,108,9.15,1.36,108/4
776,6197,佳必琪,10.29,108,12.35,1.17,108/4
777,6201,亞弘電,7.58,108,12.27,1.22,108/4
779,6205,詮欣,5.47,108,13.98,0.90,108/4
783,6214,精誠,6.31,108,10.86,1.47,108/4
788,6226,光鼎,5.00,108,6.06,0.72,108/4
790,6235,華孚,4.76,107,-1,1.02,108/4
791,6239,力成,4.51,108,13.27,1.80,108/4
794,6257,矽格,6.32,108,11.30,1.30,108/4
795,6269,台郡,4.72,107,11.11,1.60,108/4
800,6282,康舒,5.06,107,6.88,1.10,108/4
819,6477,安集,5.28,108,8.57,0.95,108/4
823,6525,捷敏-1KY,6.45,108,10.54,1.94,108/4
831,6581,鋼聯,4.95,108,14.66,1.70,108/4
835,6605,帝寶,5.35,107,11.05,0.55,108/4
837,6641,基士德-1KY,6.88,108,9.63,1.81,108/4
843,6671,三能-1KY,8.33,108,11.58,1.35,108/4
851,8021,尖點,6.30,108,14.22,0.63,108/4
854,8039,台虹,5.52,108,13.13,1.30,109/1
856,8070,長華*,8.40,108,8.73,1.71,108/4
860,8103,瀚荃,4.52,108,10.23,0.72,108/4
864,8112,至上,8.40,108,9.43,1.56,108/4
866,8131,福懋科,6.09,108,12.64,1.40,108/4
867,8150,南茂,6.30,108,8.04,1.06,108/4
868,8163,達方,6.42,108,11.17,1.16,108/4
871,8213,志超,7.18,107,7.63,0.73,108/4
874,8249,菱光,6.80,108,12.17,0.68,108/4
