,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,9.36,107,10.55,1.32,108/3
1,1102,亞泥,6.45,107,9.56,1.02,108/3
2,1103,嘉泥,5.03,107,9.85,0.59,108/3
3,1104,環泥,5.68,107,11.50,0.65,108/3
5,1109,信大,4.65,107,6.01,0.90,108/3
9,1210,大成,5.00,107,13.79,1.75,108/3
19,1229,聯華,5.53,107,14.60,1.61,108/3
34,1310,台苯,11.05,107,10.58,1.34,108/3
36,1313,聯成,4.98,107,-1,0.65,108/3
39,1316,上曜,15.37,107,-1,1.20,108/3
40,1319,東陽,4.38,107,11.70,1.07,108/3
42,1323,永裕,5.46,107,10.26,1.47,108/4
47,1338,廣華-1KY,6.12,107,12.71,0.76,108/3
48,1339,昭輝,4.26,107,9.57,1.00,108/3
49,1340,勝悅-1KY,9.45,107,-1,0.32,108/3
52,1409,新纖,7.02,107,9.68,0.66,108/3
56,1416,廣豐,10.13,107,13.62,0.55,108/3
69,1441,大東,37.20,107,-1,0.75,108/3
78,1452,宏益,7.53,107,13.98,0.99,108/4
79,1453,大將,12.45,107,-1,0.60,108/3
83,1457,宜進,5.13,107,9.48,0.72,108/3
86,1463,強盛,10.98,107,14.83,0.96,108/3
106,1514,亞力,5.18,107,13.40,1.36,108/3
112,1522,堤維西,5.45,107,10.55,1.13,108/3
113,1524,耿鼎,5.49,107,9.69,0.71,108/3
115,1526,日馳,5.08,107,12.47,1.21,108/3
116,1527,鑽全,8.65,107,6.92,1.62,108/3
119,1530,亞崴,6.64,107,12.34,1.01,108/3
121,1532,勤美,9.22,107,12.68,0.95,108/3
127,1539,巨庭,10.08,107,3.63,0.87,108/3
128,1540,喬福,8.26,107,8.52,1.06,108/3
130,1558,伸興,8.53,107,10.96,1.66,108/3
133,1582,信錦,7.51,107,11.42,1.99,108/3
141,1604,聲寶,7.53,107,9.30,1.04,108/3
142,1605,華新,8.51,107,14.84,0.61,108/4
148,1615,大山,6.68,107,11.88,1.34,108/3
150,1617,榮星,8.58,107,13.87,1.01,108/3
160,1712,興農,6.72,107,12.56,1.18,108/3
164,1718,中纖,10.27,107,-1,0.43,108/3
170,1725,元禎,5.69,107,13.17,0.78,108/3
195,1817,凱撒衛,7.08,107,13.10,1.39,108/4
198,1904,正隆,4.63,107,13.97,1.16,108/3
201,1907,永豐餘,4.38,107,11.71,0.59,108/3
209,2012,春雨,6.74,107,10.49,1.39,108/3
213,2017,官田鋼,6.46,107,-1,0.54,108/3
214,2020,美亞,8.92,107,9.87,1.13,108/3
