,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.84,109,12.10,1.49,109/4
1,1102,亞泥,7.16,109,11.32,1.13,109/4
2,1103,嘉泥,5.60,109,9.12,0.66,109/4
3,1104,環泥,4.40,109,13.09,0.88,109/4
5,1109,信大,5.26,109,9.69,1.30,109/4
38,1315,達新,10.67,109,1.85,0.82,109/4
42,1323,永裕,4.53,109,10.93,1.44,109/4
53,1409,新纖,4.51,109,13.63,1.24,109/4
57,1416,廣豐,4.13,109,-1,0.63,109/4
61,1423,利華,7.35,109,9.57,1.13,109/4
62,1432,大魯閣,25.48,108,-1,1.47,109/4
68,1439,中和,20.04,108,-1,1.03,109/4
84,1457,宜進,7.65,109,6.78,0.95,109/4
88,1464,得力,8.17,108,-1,1.50,109/4
120,1530,亞崴,6.49,109,9.82,1.19,109/4
128,1539,巨庭,4.06,108,-1,1.03,109/4
134,1582,信錦,5.63,109,11.37,1.86,109/4
135,1583,程泰,4.69,109,14.56,1.45,109/4
136,1587,吉茂,6.20,109,12.12,1.63,109/4
143,1604,聲寶,8.10,109,6.36,1.47,109/4
155,1701,中化,4.08,109,13.03,1.10,109/4
162,1712,興農,5.75,109,13.29,1.35,109/4
168,1721,三晃,4.10,109,4.30,0.91,109/4
173,1726,永記,4.77,109,14.31,1.36,109/4
197,1817,凱撒衛,5.24,109,12.51,1.61,109/4
199,1904,正隆,4.05,109,13.23,1.94,109/4
202,1907,永豐餘,4.10,109,11.64,1.35,109/4
211,2013,中鋼構,5.77,109,14.88,1.95,109/4
239,2107,厚生,5.61,109,10.17,0.82,109/4
243,2115,六暉-1KY,4.81,109,7.90,1.73,109/4
245,2204,中華,9.94,109,11.89,0.93,109/4
246,2206,三陽工業,4.01,109,13.35,1.75,109/4
267,2316,楠梓電,4.62,109,14.25,0.80,109/4
271,2324,仁寶,6.57,109,11.33,0.99,109/4
284,2347,聯強,5.91,109,11.41,1.71,109/4
292,2356,英業達,6.93,109,12.71,1.65,109/4
293,2357,華碩,6.91,109,10.53,1.39,109/4
298,2363,矽統,6.87,109,-1,0.84,109/4
318,2392,正崴,5.54,109,11.11,0.92,109/4
332,2414,精技,6.29,109,12.71,1.67,109/4
336,2420,新巨,6.58,109,13.36,1.84,109/4
345,2430,燦坤,5.66,109,14.81,0.95,109/4
347,2433,互盛電,6.69,109,13.69,1.86,109/4
366,2459,敦吉,6.10,109,12.73,1.27,109/4
375,2471,資通,5.19,109,13.96,1.78,109/4
376,2472,立隆電,4.55,109,14.13,1.91,109/4
377,2474,可成,6.27,109,6.90,0.92,109/4
388,2488,漢平,4.65,109,14.21,1.25,109/4
392,2493,揚博,6.42,109,14.43,1.89,109/4
398,2504,國產,5.45,109,13.10,1.60,109/4
399,2505,國揚,7.37,109,2.61,1.39,109/4
406,2520,冠德,7.84,109,6.38,1.40,109/4
412,2535,達欣工,7.05,109,9.83,1.40,109/4
413,2536,宏普,5.16,108,12.64,0.64,109/4
415,2538,基泰,4.76,108,-1,0.73,109/4
420,2545,皇翔,10.43,109,8.10,1.24,109/4
421,2546,根基,7.19,109,8.48,1.73,109/4
423,2548,華固,7.38,109,9.43,1.51,109/4
425,2601,益航,8.28,108,-1,1.26,109/4
438,2616,山隆,6.00,109,13.42,0.98,109/4
461,2809,京城銀,4.20,109,6.85,1.00,110/1
462,2812,台中銀,5.77,109,12.32,0.87,109/4
464,2820,華票,5.34,109,12.54,0.85,110/1
466,2832,台產,4.76,109,12.16,0.87,109/4
469,2838,聯邦銀,5.32,109,11.29,0.65,109/4
472,2849,安泰銀,4.82,108,13.65,0.86,109/4
473,2850,新產,4.77,109,7.92,0.98,109/4
474,2851,中再保,5.41,109,9.36,1.06,109/4
476,2855,統一證,6.52,109,11.30,1.39,109/4
483,2885,元大金,4.71,109,12.81,1.22,109/4
485,2887,台新金,5.46,108,11.81,0.92,109/4
488,2890,永豐金,5.24,109,12.25,0.97,109/4
489,2891,中信金,4.40,108,10.63,1.12,109/4
494,2904,匯僑,6.75,109,12.84,1.97,109/4
495,2905,三商,4.39,109,13.99,1.00,109/4
502,2915,潤泰全,5.85,109,5.80,0.43,109/4
512,3010,華立,4.87,109,10.24,1.48,109/4
516,3015,全漢,6.01,109,11.40,0.83,110/1
528,3028,增你強,6.43,109,13.37,1.32,109/4
533,3033,威健,5.31,109,13.29,1.53,109/4
536,3036,文曄,5.93,109,13.14,1.08,109/4
539,3040,遠見,11.29,109,7.97,1.90,109/4
543,3044,健鼎,5.31,108,11.72,1.99,109/4
551,3052,夆典,5.76,109,8.74,0.90,109/4
554,3056,總太,7.47,109,8.23,1.62,109/4
568,3209,全科,7.01,109,11.70,1.69,109/4
570,3231,緯創,6.95,109,10.14,1.23,109/4
577,3312,弘憶股,4.42,109,14.30,1.90,109/4
596,3501,維熹,4.66,109,14.93,1.07,109/4
606,3543,州巧,4.12,109,-1,0.91,109/4
616,3596,智易,6.02,109,13.14,1.94,109/4
619,3617,碩天,6.31,109,14.97,1.52,109/4
632,3702,大聯大,6.16,109,11.64,1.44,109/4
633,3703,欣陸,5.03,109,14.89,0.97,109/4
641,4104,佳醫,5.97,109,14.47,1.09,109/4
653,4306,炎洲,5.51,109,12.22,1.05,109/4
655,4426,利勤,4.39,108,-1,1.52,109/4
676,4722,國精化,5.42,109,12.81,1.42,109/4
686,4906,正文,6.04,109,8.64,1.26,109/4
691,4927,泰鼎-1KY,4.60,109,10.33,1.62,109/4
692,4930,燦星網,12.99,109,12.09,0.95,109/4
694,4935,茂林-1KY,5.14,109,8.86,1.85,110/1
695,4938,和碩,6.23,109,9.51,1.18,109/4
696,4942,嘉彰,5.48,109,9.58,0.87,109/4
700,4958,臻鼎-1KY,4.53,109,11.59,1.20,109/4
709,4999,鑫禾,5.39,109,9.84,1.17,109/4
727,5515,建國,5.54,109,9.97,0.84,109/4
728,5519,隆大,7.52,109,11.57,1.20,109/4
730,5522,遠雄,7.94,109,11.55,1.06,109/4
734,5534,長虹,6.08,109,9.11,1.31,109/4
735,5538,東明-1KY,4.27,109,14.35,1.70,109/4
736,5546,永固-1KY,7.61,109,8.54,1.97,109/4
744,5907,大洋-1KY,4.34,109,-1,0.53,109/4
745,6005,群益證,5.80,109,11.55,1.15,109/4
746,6024,群益期,6.54,109,14.83,1.45,109/4
748,6112,聚碩,5.91,109,14.49,1.87,109/4
767,6176,瑞儀,6.13,108,9.82,1.96,110/1
770,6184,大豐電,6.62,109,13.42,1.58,109/4
771,6189,豐藝,6.69,109,14.00,1.93,109/4
773,6192,巨路,4.74,109,10.29,1.47,109/4
776,6201,亞弘電,6.09,109,12.17,1.90,110/1
782,6214,精誠,5.50,109,13.53,1.67,109/4
790,6239,力成,4.72,109,12.30,1.78,109/4
793,6257,矽格,5.53,109,11.57,1.80,110/1
794,6269,台郡,4.37,109,14.10,1.62,109/4
834,6591,動力-1KY,4.10,109,13.03,1.56,109/4
839,6641,基士德-1KY,6.21,109,11.07,1.90,109/4
845,6671,三能-1KY,6.16,109,13.31,1.77,109/4
852,6754,匯僑設計,5.87,109,14.77,1.61,109/4
862,8039,台虹,4.70,109,12.91,1.45,110/1
869,8104,錸寶,5.39,109,13.79,1.81,110/1
872,8112,至上,7.18,109,9.93,1.97,109/4
874,8131,福懋科,5.42,109,13.39,1.59,109/4
875,8150,南茂,4.75,109,14.25,1.62,109/4
879,8213,志超,6.89,109,6.91,1.06,109/4
926,9924,福興,5.56,109,10.70,1.51,109/4
939,9939,宏全,4.68,109,13.39,1.69,109/4
945,9945,潤泰新,9.42,109,9.30,0.70,109/4
