,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.93,109,12.08,1.46,110/1
1,1102,亞泥,7.12,109,9.76,1.11,110/1
2,1103,嘉泥,6.53,109,7.47,0.55,110/1
3,1104,環泥,4.94,109,10.16,0.77,110/1
5,1109,信大,5.84,109,7.34,1.13,110/1
15,1219,福壽,4.42,109,12.49,1.56,110/1
16,1220,台榮,6.31,109,12.29,1.15,110/1
19,1229,聯華,5.76,109,14.48,1.86,110/1
30,1305,華夏,7.17,109,8.27,1.68,110/1
32,1308,亞聚,5.21,109,10.33,1.20,110/1
33,1309,台達化,7.99,109,5.71,1.87,110/1
36,1313,聯成,4.32,109,7.02,1.17,110/1
38,1315,達新,11.40,109,1.72,0.78,110/1
42,1323,永裕,4.89,109,10.55,1.40,110/1
47,1338,廣華-1KY,5.99,109,11.59,0.76,110/1
53,1409,新纖,5.50,109,9.17,1.05,110/1
57,1416,廣豐,4.76,109,-1,0.55,110/1
61,1423,利華,9.16,109,6.49,0.90,110/1
68,1439,中和,20.83,108,-1,0.96,110/1
84,1457,宜進,9.20,109,4.81,0.77,110/1
107,1514,亞力,5.33,109,14.61,1.44,110/1
117,1527,鑽全,5.27,109,14.43,1.45,110/1
128,1539,巨庭,4.65,108,-1,0.89,110/1
131,1558,伸興,5.90,109,9.34,1.83,110/1
134,1582,信錦,6.19,109,10.43,1.67,110/1
136,1587,吉茂,7.65,109,8.92,1.41,110/1
143,1604,聲寶,8.83,109,5.65,1.32,110/1
148,1612,宏泰,5.11,109,9.96,1.34,110/1
155,1701,中化,4.30,109,12.05,0.98,110/1
159,1709,和益,6.86,109,11.67,1.12,110/1
162,1712,興農,6.06,109,9.53,1.34,110/1
164,1714,和桐,6.17,109,6.01,0.90,110/1
166,1718,中纖,5.18,109,8.12,0.54,110/1
167,1720,生達,4.51,109,11.65,1.68,110/1
168,1721,三晃,5.22,109,3.56,0.72,110/1
172,1725,元禎,5.03,109,11.94,1.01,110/1
173,1726,永記,4.81,109,12.62,1.30,110/1
197,1817,凱撒衛,5.67,109,10.63,1.43,110/1
199,1904,正隆,4.46,109,10.99,1.67,110/1
202,1907,永豐餘,4.44,109,9.15,1.23,110/1
211,2013,中鋼構,6.77,109,12.42,1.60,110/1
239,2107,厚生,6.44,109,9.25,0.69,110/1
243,2115,六暉-1KY,5.48,109,6.28,1.47,110/1
245,2204,中華,10.49,109,9.34,0.85,110/1
246,2206,三陽工業,4.75,109,11.40,1.42,110/1
258,2247,汎德永業,5.01,109,14.09,1.52,110/1
265,2313,華通,4.26,109,8.98,1.40,110/1
267,2316,楠梓電,5.43,109,11.36,0.66,110/1
270,2323,中環,7.18,109,9.29,0.60,110/1
271,2324,仁寶,7.02,109,8.74,0.97,110/1
280,2340,台亞,5.69,109,12.94,1.24,110/1
284,2347,聯強,5.68,109,10.90,1.87,110/1
288,2352,佳世達,5.15,109,8.34,1.47,110/1
289,2353,宏碁,4.95,109,11.06,1.55,110/1
293,2357,華碩,6.35,109,8.58,1.40,110/1
298,2363,矽統,8.18,109,-1,0.67,110/1
301,2367,燿華,4.18,108,-1,1.09,110/1
318,2392,正崴,6.51,109,9.43,0.79,110/1
319,2393,億光,5.48,109,11.15,1.01,110/1
332,2414,精技,6.39,109,11.26,1.56,110/1
336,2420,新巨,7.06,109,12.20,1.66,110/1
345,2430,燦坤,5.72,109,11.89,0.91,110/1
347,2433,互盛電,7.03,109,13.16,1.68,110/1
353,2441,超豐,4.76,109,12.15,1.95,110/1
357,2449,京元電子,4.84,109,12.99,1.64,110/1
360,2453,凌群,6.15,109,12.98,1.27,110/1
366,2459,敦吉,6.26,109,11.31,1.31,110/1
368,2461,光群雷,4.82,109,11.78,1.19,110/1
375,2471,資通,5.76,109,11.58,1.57,110/1
376,2472,立隆電,5.04,109,12.02,1.66,110/1
377,2474,可成,6.74,109,6.88,0.84,110/1
379,2477,美隆電,4.30,109,4.07,1.49,110/1
380,2478,大毅,4.68,109,13.58,1.52,110/1
388,2488,漢平,5.09,109,10.12,1.13,110/1
392,2493,揚博,6.86,109,14.76,1.93,110/1
397,2501,國建,5.14,109,13.70,0.91,110/1
398,2504,國產,6.54,109,9.89,1.30,110/1
399,2505,國揚,8.10,109,2.21,1.23,110/1
406,2520,冠德,9.26,109,5.05,1.15,110/1
408,2527,宏璟,6.17,109,10.66,0.64,110/1
412,2535,達欣工,7.69,109,8.50,1.39,110/1
413,2536,宏普,5.66,109,14.04,0.58,110/1
415,2538,基泰,5.20,109,-1,0.67,110/1
418,2542,興富發,4.78,109,9.64,1.63,110/1
420,2545,皇翔,11.32,109,7.09,1.12,110/1
421,2546,根基,7.76,109,7.48,1.51,110/1
423,2548,華固,7.68,109,8.94,1.61,110/1
425,2601,益航,10.74,108,-1,0.99,110/1
438,2616,山隆,6.31,109,11.98,0.91,110/1
458,2739,寒舍,4.43,108,-1,1.76,110/1
461,2809,京城銀,4.54,109,6.33,0.92,110/1
462,2812,台中銀,6.13,109,10.92,0.80,110/1
463,2816,旺旺保,4.02,109,4.53,0.73,110/1
464,2820,華票,5.52,109,12.12,0.82,110/1
466,2832,台產,5.50,109,13.51,0.77,110/1
469,2838,聯邦銀,5.53,109,9.34,0.62,110/1
471,2845,遠東銀,5.00,109,12.24,0.73,110/1
472,2849,安泰銀,5.07,109,13.85,0.81,110/1
473,2850,新產,4.95,109,6.58,0.90,110/1
474,2851,中再保,5.23,109,7.91,1.03,110/1
476,2855,統一證,7.22,109,6.73,1.21,110/1
479,2881,富邦金,4.25,109,8.99,1.06,109/4
480,2882,國泰金,4.60,109,7.35,0.94,110/1
481,2883,開發金,4.60,109,14.06,0.87,109/4
483,2885,元大金,4.93,109,12.24,1.17,109/4
485,2887,台新金,7.09,109,11.49,0.90,109/4
486,2888,新光金,4.33,109,8.56,0.51,109/4
487,2889,國票金,6.01,109,14.73,1.26,109/4
488,2890,永豐金,5.36,109,11.97,0.94,109/4
489,2891,中信金,4.72,109,10.40,1.10,109/4
493,2903,遠百,5.09,109,11.87,0.94,110/1
494,2904,匯僑,6.98,109,11.51,1.84,110/1
495,2905,三商,4.63,109,9.73,0.92,110/1
497,2908,特力,4.25,109,13.17,1.95,110/1
502,2915,潤泰全,6.17,109,3.71,0.52,110/1
504,2929,淘帝-1KY,13.31,108,-1,0.41,110/1
506,2939,凱羿-1KY,6.32,109,-1,1.37,110/1
513,3010,華立,5.30,109,8.27,1.26,110/1
517,3015,全漢,7.25,109,9.45,0.69,110/1
523,3022,威強電,4.16,109,8.08,1.08,110/1
529,3028,增你強,6.91,109,9.58,1.28,110/1
533,3032,偉訓,7.71,109,9.85,1.74,110/1
534,3033,威健,5.94,109,9.40,1.41,110/1
537,3036,文曄,6.30,109,10.04,1.00,110/1
539,3038,全台,6.27,109,11.82,1.55,110/1
540,3040,遠見,11.90,109,7.73,1.63,110/1
544,3044,健鼎,5.83,109,10.10,1.75,110/1
548,3048,益登,8.61,109,8.62,1.88,110/1
550,3050,鈺德,4.12,109,14.26,0.91,110/1
552,3052,夆典,6.87,109,6.23,0.75,110/1
555,3056,總太,7.88,109,5.22,1.34,110/1
570,3209,全科,7.17,109,9.62,1.70,110/1
572,3231,緯創,7.55,109,10.26,1.16,110/1
579,3312,弘憶股,5.35,109,9.84,1.51,110/1
584,3376,新日興,6.67,109,11.81,1.26,110/1
598,3501,維熹,5.22,109,13.31,0.99,110/1
608,3543,州巧,4.31,109,-1,0.84,110/1
618,3596,智易,7.07,109,10.05,1.79,110/1
621,3617,碩天,6.62,109,13.36,1.58,110/1
629,3679,新至陞,7.81,109,8.90,1.72,110/1
634,3702,大聯大,6.20,109,10.57,1.38,110/1
635,3703,欣陸,5.82,109,11.91,0.84,110/1
643,4104,佳醫,6.21,109,14.10,1.10,110/1
653,4164,承業醫,5.78,109,13.57,0.91,110/1
655,4306,炎洲,7.36,109,4.60,0.88,110/1
657,4426,利勤,5.22,108,-1,1.30,110/1
659,4439,冠星-1KY,4.56,109,10.01,1.76,110/1
678,4722,國精化,6.06,109,10.15,1.23,110/1
682,4755,三福化,4.95,109,14.89,1.65,110/1
685,4766,南寶,4.83,109,13.62,1.54,110/1
688,4906,正文,6.96,109,6.35,0.95,110/1
690,4915,致伸,5.98,109,10.55,1.65,110/1
693,4927,泰鼎-1KY,5.78,109,9.22,1.33,110/1
694,4930,燦星網,14.77,109,8.35,0.94,110/1
696,4935,茂林-1KY,6.21,109,7.33,1.53,110/1
697,4938,和碩,6.29,109,8.16,1.24,110/1
698,4942,嘉彰,6.04,109,7.42,0.77,110/1
