,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.88,108,10.38,1.34,109/3
1,1102,亞泥,6.82,108,10.30,1.04,109/3
3,1104,環泥,4.55,108,11.00,0.81,109/3
5,1109,信大,5.23,108,7.88,1.03,109/3
9,1210,大成,4.78,108,13.01,1.92,109/3
16,1220,台榮,4.78,108,13.07,0.96,109/3
32,1308,亞聚,5.70,108,13.50,1.04,109/3
34,1310,台苯,5.68,108,-1,1.49,109/3
38,1315,達新,5.08,108,1.80,0.79,109/3
42,1323,永裕,4.85,108,10.19,1.43,109/3
53,1409,新纖,4.44,108,8.21,0.66,109/3
62,1432,大魯閣,24.84,108,-1,1.10,109/3
63,1434,福懋,8.17,108,13.85,0.97,109/3
65,1436,華友聯,6.45,108,8.44,1.36,109/3
84,1457,宜進,6.78,108,5.23,0.72,109/3
89,1465,偉全,11.49,108,-1,0.79,109/3
120,1530,亞崴,4.94,108,8.50,0.95,109/3
128,1539,巨庭,4.05,108,-1,1.01,109/3
129,1540,喬福,6.64,108,-1,0.97,109/3
131,1558,伸興,6.33,108,11.47,1.76,109/3
134,1582,信錦,5.23,108,10.70,1.90,109/3
135,1583,程泰,5.04,108,14.91,1.39,109/3
142,1604,聲寶,5.77,108,5.64,1.29,109/3
144,1608,華榮,5.57,108,12.47,0.79,109/3
146,1611,中電,10.21,108,4.70,0.91,109/3
149,1615,大山,8.40,108,9.44,1.54,109/3
155,1702,南僑,4.42,108,11.39,1.86,109/3
161,1712,興農,6.27,108,11.40,1.23,109/3
172,1726,永記,4.49,108,14.01,1.37,109/3
196,1817,凱撒衛,5.17,108,11.17,1.43,109/3
204,2006,東和鋼鐵,4.07,108,13.78,1.35,109/3
212,2015,豐興,4.93,108,14.78,1.90,109/3
214,2020,美亞,10.28,108,10.84,1.35,109/3
242,2115,六暉-1KY,5.97,108,7.41,1.61,109/3
251,2233,宇隆,4.19,108,14.79,1.78,109/3
257,2301,光寶科,6.54,108,10.93,1.59,109/3
266,2317,鴻海,4.79,108,11.73,1.00,109/3
269,2324,仁寶,5.90,108,13.04,0.86,109/3
282,2347,聯強,5.75,108,9.89,1.50,109/3
288,2354,鴻準,4.57,108,14.24,0.77,109/3
290,2356,英業達,5.39,108,10.81,1.50,109/3
291,2357,華碩,5.43,108,9.90,1.04,109/3
296,2363,矽統,8.37,108,-1,1.13,109/3
316,2392,正崴,5.66,108,10.11,0.94,109/3
330,2414,精技,5.83,108,12.15,1.55,109/3
334,2420,新巨,5.95,108,11.31,1.66,109/3
343,2430,燦坤,5.25,108,12.21,0.68,109/3
345,2433,互盛電,7.47,108,12.95,1.89,109/3
351,2441,超豐,4.03,108,13.50,1.89,109/3
356,2449,京元電子,5.01,108,11.13,1.60,109/3
359,2453,凌群,5.71,108,12.50,0.96,109/3
365,2459,敦吉,6.54,108,10.27,1.12,109/3
374,2471,資通,6.13,108,11.24,1.48,109/3
376,2474,可成,5.09,108,13.98,1.04,109/3
387,2488,漢平,7.74,108,12.43,1.18,109/3
391,2493,揚博,7.33,108,13.59,1.70,109/3
392,2495,普安,4.82,108,-1,0.87,109/3
405,2520,冠德,4.57,108,8.15,1.24,109/3
407,2527,宏璟,9.65,108,14.92,0.72,109/3
410,2535,達欣工,5.25,108,9.01,1.09,109/3
411,2536,宏普,5.14,108,11.12,0.65,109/3
413,2538,基泰,4.95,108,-1,0.70,109/3
419,2546,根基,6.12,108,10.84,1.77,109/3
421,2548,華固,8.61,108,10.60,1.43,109/3
423,2601,益航,13.00,108,-1,0.81,109/3
434,2614,東森,5.83,108,13.09,1.56,109/3
436,2616,山隆,5.69,108,11.94,0.90,109/3
456,2739,寒舍,4.01,108,-1,1.81,109/3
460,2812,台中銀,7.34,108,10.28,0.79,109/3
461,2816,旺旺保,6.90,108,6.62,0.78,109/3
462,2820,華票,4.82,108,13.47,0.81,109/3
463,2823,中壽,5.43,108,6.37,0.65,109/3
464,2832,台產,4.95,108,10.74,0.79,109/3
466,2836,高雄銀,4.98,108,14.24,0.69,109/3
467,2838,聯邦銀,7.69,108,10.20,0.59,109/3
469,2845,遠東銀,6.98,108,12.47,0.75,109/3
470,2849,安泰銀,4.82,108,14.85,0.88,109/3
471,2850,新產,4.70,108,7.16,0.99,109/3
472,2851,中再保,4.05,108,8.74,1.04,109/3
473,2852,第一保,7.30,108,12.18,0.60,109/3
474,2855,統一證,7.16,108,9.05,0.85,109/3
477,2881,富邦金,4.41,108,7.15,0.79,109/3
478,2882,國泰金,4.88,108,8.03,0.74,109/3
479,2883,開發金,6.70,108,11.93,0.71,109/3
481,2885,元大金,5.43,108,10.29,0.95,109/3
483,2887,台新金,6.18,108,10.61,0.83,109/3
484,2888,新光金,4.58,108,7.46,0.46,109/3
485,2889,國票金,6.80,108,11.70,0.94,109/3
486,2890,永豐金,6.36,108,10.19,0.82,109/3
487,2891,中信金,5.17,108,9.49,1.04,109/3
492,2904,匯僑,6.56,108,11.13,1.74,109/3
493,2905,三商,9.64,108,11.66,0.97,109/3
500,2915,潤泰全,7.15,108,5.73,0.43,109/3
501,2923,鼎固-1KY,8.48,108,-1,0.89,109/3
502,2929,淘帝-1KY,9.74,108,-1,0.39,109/3
504,2939,凱羿-1KY,10.79,108,-1,1.94,109/3
508,3005,神基,5.63,108,11.60,1.91,109/3
511,3010,華立,4.23,108,10.44,1.50,109/3
527,3028,增你強,4.56,108,13.22,0.99,109/3
528,3029,零壹,5.26,108,10.30,1.89,109/3
535,3036,文曄,5.14,108,10.10,0.85,109/3
537,3038,全台,6.32,108,11.88,1.50,109/3
542,3044,健鼎,5.97,108,10.72,1.86,109/3
546,3048,益登,4.26,108,9.75,1.48,109/3
566,3209,全科,5.59,108,9.87,1.39,109/3
568,3231,緯創,6.42,108,9.64,1.26,109/3
575,3312,弘憶股,8.19,108,12.63,1.29,109/3
594,3501,維熹,6.16,108,12.55,0.99,109/3
598,3528,安馳,5.88,108,12.76,1.92,109/3
614,3596,智易,4.78,108,14.10,1.85,109/3
631,3702,大聯大,5.71,108,10.16,1.24,109/3
634,3705,永信,4.94,108,14.14,1.89,109/3
635,3706,神達,6.93,108,12.80,0.92,109/3
639,4104,佳醫,5.80,108,14.74,1.07,109/3
653,4426,利勤,4.18,108,-1,1.57,109/3
662,4552,力達-1KY,4.84,108,14.59,0.82,109/3
669,4571,鈞興-1KY,4.76,108,14.13,1.98,109/3
674,4722,國精化,6.19,108,11.50,1.16,109/3
687,4915,致伸,4.91,108,10.22,1.74,109/3
688,4916,事欣科,7.43,108,-1,1.69,109/3
694,4938,和碩,6.58,108,7.55,1.12,109/3
695,4942,嘉彰,6.51,108,8.71,0.77,109/3
708,4999,鑫禾,5.23,108,10.81,1.06,109/3
718,5283,禾聯碩,7.49,108,8.72,1.99,109/3
728,5519,隆大,8.85,108,9.78,0.80,109/3
730,5522,遠雄,6.84,108,12.94,1.04,109/3
734,5534,長虹,7.75,108,9.56,1.38,109/3
735,5538,東明-1KY,4.34,108,12.72,1.50,109/3
741,5876,上海商銀,5.26,108,12.73,1.14,109/3
745,6005,群益證,6.30,108,9.20,0.80,109/3
746,6024,群益期,4.97,108,12.79,1.29,109/3
747,6108,競國,7.58,108,-1,0.97,109/3
767,6176,瑞儀,6.93,108,11.35,1.94,109/3
770,6184,大豐電,7.03,108,12.33,1.52,109/3
771,6189,豐藝,6.50,108,12.90,1.66,109/3
773,6192,巨路,4.79,108,11.58,1.47,109/3
776,6201,亞弘電,6.76,108,13.81,1.37,109/3
782,6214,精誠,5.86,108,9.94,1.60,109/3
787,6226,光鼎,4.28,108,11.00,0.90,109/3
790,6239,力成,4.55,108,10.79,1.72,109/3
793,6257,矽格,4.79,108,11.11,1.65,109/3
794,6269,台郡,4.02,108,13.63,1.80,109/3
811,6442,光聖,4.31,108,-1,1.21,109/3
836,6641,基士德-1KY,6.91,108,11.52,1.91,109/3
837,6655,科定,4.06,108,14.63,1.54,109/3
842,6671,三能-1KY,7.59,108,10.70,1.52,109/3
864,8112,至上,8.00,108,9.02,1.67,109/3
866,8131,福懋科,5.76,108,12.13,1.55,109/3
867,8150,南茂,4.97,108,11.92,1.31,109/3
868,8163,達方,5.03,108,14.85,1.52,109/3
871,8213,志超,5.65,108,6.57,1.00,109/3
876,8271,宇瞻,6.51,108,11.76,1.43,109/3
878,8367,建新國際,4.04,108,10.58,1.06,109/3
891,8466,美吉吉-1KY,6.44,108,12.18,1.64,109/3
906,9905,大華,4.37,108,11.99,0.99,109/3
918,9924,福興,5.84,108,10.30,1.50,109/3
930,9939,宏全,5.14,108,10.48,1.36,109/3
936,9945,潤泰新,14.56,108,8.92,0.64,109/3
937,9946,三發地產,10.00,108,9.43,0.73,109/3
