,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,8.96,107,11.02,1.38,108/3
1,1102,亞泥,5.77,107,10.68,1.14,108/3
2,1103,嘉泥,4.60,107,10.77,0.64,108/3
3,1104,環泥,5.25,107,12.45,0.70,108/3
9,1210,大成,4.66,107,14.79,1.88,108/3
19,1229,聯華,5.51,107,14.65,1.62,108/3
34,1310,台苯,9.69,107,12.08,1.53,108/3
36,1313,聯成,4.59,107,-1,0.71,108/3
39,1316,上曜,14.05,107,-1,1.31,108/3
42,1323,永裕,5.35,107,10.29,1.53,108/3
49,1340,勝悅-1KY,7.64,107,-1,0.39,108/3
52,1409,新纖,6.80,107,10.00,0.69,108/3
69,1441,大東,36.26,107,-1,0.77,108/3
78,1452,宏益,7.65,107,14.41,0.99,108/3
79,1453,大將,12.29,107,-1,0.61,108/3
83,1457,宜進,4.90,107,9.93,0.76,108/3
106,1514,亞力,5.09,107,13.65,1.38,108/3
112,1522,堤維西,4.59,107,12.54,1.34,108/3
113,1524,耿鼎,4.98,107,10.69,0.78,108/3
116,1527,鑽全,8.03,107,7.46,1.74,108/3
119,1530,亞崴,6.34,107,12.93,1.05,108/3
121,1532,勤美,8.88,107,13.16,0.99,108/3
127,1539,巨庭,8.93,107,4.10,0.99,108/3
128,1540,喬福,7.83,107,8.99,1.11,108/3
130,1558,伸興,8.33,107,11.21,1.70,108/3
141,1604,聲寶,6.90,107,10.15,1.14,108/3
142,1605,華新,7.95,107,14.52,0.66,108/3
148,1615,大山,6.77,107,11.74,1.33,108/3
150,1617,榮星,8.26,107,14.40,1.04,108/3
160,1712,興農,6.67,107,12.66,1.19,108/3
164,1718,中纖,9.41,107,-1,0.46,108/3
170,1725,元禎,5.53,107,13.57,0.81,108/3
195,1817,凱撒衛,6.55,107,12.54,1.53,108/3
198,1904,正隆,5.45,107,11.88,0.98,108/3
201,1907,永豐餘,4.55,107,11.28,0.57,108/3
209,2012,春雨,6.45,107,10.95,1.45,108/3
212,2015,豐興,7.38,107,13.69,1.77,108/3
213,2017,官田鋼,5.97,107,-1,0.59,108/3
214,2020,美亞,8.95,107,9.84,1.12,108/3
219,2027,大成鋼,9.51,107,11.47,1.40,108/3
222,2030,彰源,8.10,107,12.23,0.89,108/3
223,2031,新光鋼,4.57,107,-1,1.62,108/3
226,2034,允強,6.92,107,14.21,1.36,108/3
231,2069,運錩,13.30,107,-1,0.89,108/3
239,2108,南帝,5.95,107,10.02,1.83,108/3
245,2206,三陽工業,4.69,107,10.60,1.22,108/3
251,2233,宇隆,5.37,107,13.26,1.74,108/3
252,2236,百達-1KY,4.52,107,9.28,0.85,108/3
255,2301,光寶科,5.90,107,12.13,1.63,108/3
264,2317,鴻海,4.44,107,9.58,1.03,108/3
267,2324,仁寶,6.33,107,12.47,0.78,108/3
269,2328,廣宇,4.82,107,9.70,1.10,108/3
280,2347,聯強,5.22,107,10.27,1.31,108/3
286,2354,鴻準,4.91,107,10.17,0.92,108/3
288,2356,英業達,6.54,107,14.81,1.51,108/3
291,2359,所羅門,4.91,107,9.82,0.85,108/3
325,2409,友達,4.85,107,-1,0.53,108/3
328,2414,精技,6.29,107,13.25,1.43,108/3
332,2420,新巨,7.73,107,10.65,1.86,108/3
334,2423,固緯,6.86,107,11.56,1.67,108/3
343,2433,互盛電,6.36,107,13.03,1.88,108/3
349,2441,超豐,5.60,107,14.83,1.70,108/3
350,2442,新美齊,14.11,107,3.32,0.84,108/3
363,2459,敦吉,6.94,107,10.98,1.06,108/3
367,2464,盟立,8.43,107,8.96,1.89,108/3
370,2467,志聖,9.69,107,9.05,1.53,108/3
372,2471,資通,6.22,107,13.13,1.28,108/3
373,2472,立隆電,5.46,107,12.46,1.64,108/3
374,2474,可成,4.80,107,13.06,1.29,108/3
375,2476,鉅祥,5.33,107,12.19,0.95,108/3
381,2483,百容,6.29,107,12.13,0.94,108/3
385,2488,漢平,7.61,107,8.93,1.29,108/3
389,2493,揚博,8.98,107,10.92,1.38,108/3
391,2496,卓越,6.18,107,11.27,1.45,108/3
399,2509,全坤建,6.09,107,3.34,1.06,108/3
400,2511,太子,5.80,107,13.66,0.77,108/3
406,2527,宏璟,5.41,107,6.07,0.78,108/3
410,2535,達欣工,7.41,107,11.04,0.93,108/3
411,2536,宏普,4.26,107,13.74,0.67,108/3
416,2542,興富發,7.50,107,12.61,1.70,108/3
419,2546,根基,7.83,107,8.97,1.53,108/3
421,2548,華固,5.37,107,7.69,1.55,108/3
431,2611,志信,5.99,107,13.98,0.47,108/3
432,2612,中航,5.44,107,13.42,0.56,108/3
434,2614,東森,9.26,107,-1,0.99,108/3
436,2616,山隆,5.40,107,14.61,1.03,108/3
437,2617,台航,7.28,107,12.14,0.71,108/3
442,2636,台驊投控,9.11,107,9.90,1.16,108/3
443,2637,慧洋-1KY,5.14,107,7.71,0.65,108/3
460,2812,台中銀,6.43,107,11.12,0.92,108/3
461,2816,旺旺保,4.09,107,6.53,0.87,108/3
464,2832,台產,4.31,107,12.51,0.85,108/3
465,2834,臺企銀,6.37,107,12.68,0.95,108/3
467,2838,聯邦銀,6.01,107,11.89,0.65,108/3
469,2845,遠東銀,5.93,107,10.66,0.87,108/3
470,2849,安泰銀,6.33,107,12.06,0.86,108/3
471,2850,新產,6.82,107,8.35,1.12,108/3
472,2851,中再保,4.49,107,9.69,1.00,108/3
474,2855,統一證,4.75,107,12.19,0.77,108/3
477,2881,富邦金,4.26,107,10.56,0.93,108/3
481,2885,元大金,4.41,107,12.44,1.04,108/3
483,2887,台新金,4.93,107,12.27,0.95,108/3
485,2889,國票金,4.64,107,13.02,0.95,108/3
486,2890,永豐金,4.85,107,13.47,1.02,108/3
487,2891,中信金,4.42,107,10.51,1.20,108/3
492,2904,匯僑,6.34,107,12.53,1.70,108/3
495,2908,特力,6.13,107,-1,1.68,108/3
500,2915,潤泰全,7.66,107,3.73,0.51,108/3
502,2929,淘帝-1KY,4.91,107,6.86,1.46,108/3
508,3005,神基,6.21,107,13.84,1.94,108/3
511,3010,華立,5.54,107,9.13,1.19,108/3
514,3014,聯陽,6.37,107,14.13,1.76,108/3
520,3021,鴻名,4.70,107,11.39,1.24,108/3
528,3029,零壹,4.90,107,12.44,1.67,108/3
531,3032,偉訓,8.01,107,10.93,1.43,108/3
535,3036,文曄,5.41,107,10.61,1.09,108/3
542,3044,健鼎,4.76,107,11.16,1.98,108/3
566,3209,全科,5.83,107,14.11,1.32,108/3
568,3231,緯創,5.16,107,13.50,1.14,108/3
575,3312,弘憶股,8.15,107,12.86,1.35,108/3
594,3501,維熹,6.97,107,10.39,1.02,108/3
598,3528,安馳,6.57,107,14.75,1.78,108/3
623,3679,新至陞,4.29,107,13.28,1.12,108/3
628,3702,大聯大,6.91,107,11.62,1.13,108/3
632,3706,神達,10.02,107,12.48,0.81,108/3
633,3708,上緯投控,6.01,107,9.90,1.59,108/3
635,3712,永崴投控,12.59,107,-1,0.75,108/3
636,4104,佳醫,5.57,107,13.51,1.00,108/3
647,4164,承業醫,4.36,107,14.37,1.14,108/3
655,4532,瑞智,5.25,107,14.55,1.44,108/3
