,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,6.74,108,10.83,1.31,109/1
1,1102,亞泥,6.61,108,10.00,1.07,109/1
2,1103,嘉泥,5.49,108,12.21,0.55,109/1
3,1104,環泥,5.68,108,11.21,0.66,109/1
5,1109,信大,6.47,108,6.27,0.85,109/1
30,1305,華夏,5.18,108,13.22,1.19,109/1
32,1308,亞聚,5.60,108,13.10,1.11,109/1
38,1315,達新,7.16,108,13.90,1.26,109/1
40,1319,東陽,4.86,108,11.78,0.99,109/1
42,1323,永裕,4.89,108,9.85,1.53,109/1
48,1339,昭輝,4.36,108,10.07,0.96,109/1
52,1409,新纖,4.70,108,12.06,0.68,109/1
57,1417,嘉裕,5.07,108,6.21,0.65,109/1
62,1434,福懋,7.68,108,10.71,0.96,109/1
65,1437,勤益控,4.86,108,5.87,0.73,109/1
67,1439,中和,13.25,108,3.61,1.24,109/1
83,1457,宜進,7.69,108,-1,0.71,109/1
87,1464,得力,7.75,108,14.23,1.35,109/1
88,1465,偉全,9.71,108,-1,0.84,109/1
112,1522,堤維西,5.53,108,14.38,1.19,109/1
113,1524,耿鼎,4.08,108,12.42,0.77,109/1
119,1530,亞崴,4.67,108,7.91,0.98,109/1
130,1558,伸興,6.62,108,11.30,1.66,109/1
133,1582,信錦,5.78,108,10.77,1.73,109/1
134,1583,程泰,5.00,108,13.42,1.40,109/1
141,1604,聲寶,6.19,108,11.89,1.40,109/1
143,1608,華榮,7.35,108,-1,0.66,109/1
145,1611,中電,10.39,108,5.63,0.86,109/1
148,1615,大山,8.18,108,11.48,1.53,109/1
154,1702,南僑,4.62,108,12.68,1.98,109/1
195,1817,凱撒衛,5.66,108,12.64,1.28,109/1
197,1904,正隆,5.03,108,9.54,1.08,109/1
200,1907,永豐餘,5.04,108,8.22,0.64,109/1
203,2006,東和鋼鐵,5.88,108,13.50,0.94,109/1
208,2012,春雨,7.48,108,14.86,1.39,109/1
237,2107,厚生,4.59,108,8.23,0.59,109/1
248,2228,劍麟,5.34,108,11.80,1.79,109/1
250,2233,宇隆,5.07,108,14.00,1.47,109/1
254,2301,光寶科,6.82,108,11.50,1.65,109/1
263,2317,鴻海,4.79,108,12.44,1.00,109/1
266,2324,仁寶,6.00,108,13.99,0.86,109/1
268,2328,廣宇,5.45,108,10.19,0.90,109/1
275,2340,光磊,4.99,108,12.38,1.09,109/1
279,2347,聯強,6.10,108,10.25,1.58,109/1
283,2352,佳世達,4.09,108,12.40,1.07,109/1
285,2354,鴻準,4.31,108,12.01,0.84,109/1
287,2356,英業達,5.17,108,13.17,1.68,109/1
293,2363,矽統,14.94,108,-1,0.97,109/1
295,2365,昆盈,4.08,108,14.00,0.75,109/1
313,2392,正崴,5.62,108,11.29,0.97,109/1
331,2420,新巨,5.87,108,11.44,1.64,109/1
333,2423,固緯,6.48,108,11.08,1.55,109/1
338,2428,興勤,4.26,108,11.86,1.93,109/1
340,2430,燦坤,5.28,108,13.73,0.66,109/1
342,2433,互盛電,7.36,108,12.62,1.83,109/1
348,2441,超豐,4.61,108,13.52,1.65,109/1
353,2449,京元電子,5.24,108,11.80,1.57,109/1
362,2459,敦吉,7.78,108,9.15,1.00,109/1
369,2467,志聖,8.70,108,13.89,1.76,109/1
371,2471,資通,6.41,108,13.34,1.40,109/1
373,2474,可成,4.33,108,13.13,1.17,109/1
375,2477,美隆電,7.41,108,12.27,1.34,109/1
380,2483,百容,5.28,108,12.89,0.90,109/1
384,2488,漢平,7.90,108,11.59,1.14,109/1
388,2493,揚博,7.78,108,12.91,1.69,109/1
389,2495,普安,4.39,108,-1,0.96,109/1
402,2520,冠德,4.46,108,11.37,1.28,109/1
404,2527,宏璟,8.51,108,7.22,0.78,109/1
408,2535,達欣工,6.06,108,11.73,0.99,109/1
409,2536,宏普,4.78,108,10.82,0.69,109/1
411,2538,基泰,5.00,108,-1,0.65,109/1
417,2546,根基,6.98,108,12.18,1.67,109/1
419,2548,華固,8.77,108,7.40,1.41,109/1
421,2601,益航,13.22,108,5.89,0.69,109/1
434,2616,山隆,6.11,108,13.27,0.96,109/1
435,2617,台航,5.08,108,11.01,0.64,109/1
440,2636,台驊投控,4.67,108,13.72,1.35,109/1
441,2637,慧洋-1KY,6.20,108,9.50,0.54,109/1
458,2812,台中銀,6.72,108,10.53,0.85,109/1
459,2816,旺旺保,7.34,108,9.54,0.77,109/1
461,2823,中壽,5.48,108,6.40,1.00,109/1
462,2832,台產,5.08,108,11.39,0.84,109/1
463,2834,臺企銀,6.31,108,13.54,0.83,109/1
464,2836,高雄銀,5.18,108,13.13,0.70,109/1
465,2838,聯邦銀,7.08,108,11.53,0.65,109/1
467,2845,遠東銀,6.55,108,13.29,0.80,109/1
468,2849,安泰銀,4.82,108,13.29,0.86,109/1
469,2850,新產,4.92,108,8.03,1.02,109/1
470,2851,中再保,4.72,108,9.62,0.93,109/1
475,2881,富邦金,4.67,108,7.14,0.98,109/1
476,2882,國泰金,4.93,108,8.19,0.90,109/1
477,2883,開發金,6.76,108,14.78,0.79,109/1
479,2885,元大金,5.71,108,11.22,0.94,109/1
481,2887,台新金,5.93,108,12.27,0.86,109/1
482,2888,新光金,4.55,108,6.29,0.75,109/1
483,2889,國票金,6.98,108,13.66,0.96,109/1
484,2890,永豐金,6.42,108,11.12,0.84,109/1
485,2891,中信金,5.04,108,9.02,1.16,109/1
490,2904,匯僑,7.01,108,12.46,1.59,109/1
491,2905,三商,7.60,108,5.47,1.27,109/1
498,2915,潤泰全,7.56,108,3.66,0.67,109/1
499,2923,鼎固-1KY,8.35,108,-1,0.90,109/1
505,3004,豐達科,4.78,108,8.46,1.59,109/1
506,3005,神基,6.50,108,12.13,1.85,109/1
509,3010,華立,5.99,108,8.83,1.10,109/1
528,3031,佰鴻,5.75,108,11.88,0.96,109/1
529,3032,偉訓,6.82,108,11.24,1.48,109/1
533,3036,文曄,6.71,108,8.87,1.09,109/1
535,3038,全台,6.23,108,11.53,1.49,109/1
540,3044,健鼎,6.22,108,10.31,1.75,109/1
544,3048,益登,5.97,108,8.42,1.05,109/1
551,3056,總太,8.52,108,9.72,1.46,109/1
564,3209,全科,6.20,108,11.28,1.36,109/1
570,3305,昇貿,4.93,108,14.86,0.69,109/1
573,3312,弘憶股,7.84,108,11.68,1.25,109/1
592,3501,維熹,6.15,108,11.09,1.05,109/1
596,3528,安馳,6.50,108,14.35,1.90,109/1
612,3596,智易,5.60,108,14.56,1.70,109/1
615,3617,碩天,6.12,108,14.62,1.71,109/1
623,3679,新至陞,5.87,108,9.74,1.07,109/1
629,3702,大聯大,5.67,108,11.69,1.22,109/1
633,3706,神達,7.30,108,10.62,0.83,109/1
648,4164,承業醫,4.69,108,14.74,1.15,109/1
654,4439,冠星-1KY,5.47,108,11.93,1.89,109/1
663,4557,永新-1KY,7.92,108,11.97,1.64,109/1
664,4560,強信-1KY,8.30,108,12.49,1.89,109/1
667,4566,時碩工業,4.12,108,11.99,1.21,109/1
668,4571,鈞興-1KY,5.28,108,13.47,1.76,109/1
673,4722,國精化,7.03,108,10.16,1.00,109/1
680,4766,南寶,4.35,108,12.68,1.72,109/1
685,4915,致伸,5.22,108,10.04,1.66,109/1
686,4916,事欣科,8.23,108,6.26,1.20,109/1
692,4938,和碩,7.02,108,8.57,1.13,109/1
693,4942,嘉彰,6.39,108,9.49,0.78,109/1
706,4999,鑫禾,5.49,108,14.98,1.02,109/1
712,5243,乙盛-1KY,5.21,108,11.56,1.00,109/1
726,5515,建國,4.60,108,12.42,0.69,109/1
727,5519,隆大,8.52,108,7.85,0.81,109/1
733,5534,長虹,7.05,108,8.23,1.41,109/1
734,5538,東明-1KY,5.08,108,11.75,1.29,109/1
740,5876,上海商銀,4.58,108,13.66,1.30,109/1
745,6024,群益期,5.03,108,13.20,1.25,109/1
748,6115,鎰勝,7.13,108,14.98,1.65,109/1
752,6128,上福,8.48,108,12.25,1.03,109/1
767,6176,瑞儀,7.21,108,10.01,1.84,109/1
768,6177,達麗,9.00,108,14.63,1.78,109/1
770,6184,大豐電,7.21,108,12.24,1.43,109/1
771,6189,豐藝,6.46,108,12.70,1.66,109/1
773,6192,巨路,4.98,108,10.46,1.42,109/1
775,6197,佳必琪,8.84,108,14.57,1.56,109/1
782,6214,精誠,6.19,108,13.51,1.50,109/1
784,6216,居易,6.82,108,14.97,1.52,109/1
787,6226,光鼎,4.56,108,7.43,0.82,109/1
790,6239,力成,4.05,108,13.39,1.93,109/1
793,6257,矽格,4.89,108,13.22,1.71,109/1
799,6282,康舒,4.66,108,8.34,1.32,109/1
837,6641,基士德-1KY,7.25,108,10.62,1.74,109/1
843,6671,三能-1KY,7.23,108,13.65,1.56,109/1
864,8112,至上,9.00,108,8.45,1.61,109/1
866,8131,福懋科,6.03,108,11.59,1.45,109/1
867,8150,南茂,5.60,108,7.53,1.15,109/1
868,8163,達方,6.05,108,13.24,1.36,109/1
871,8213,志超,6.88,108,5.74,0.83,109/1
876,8271,宇瞻,6.02,108,9.21,1.45,109/1
878,8367,建新國際,4.50,108,11.11,0.97,109/1
891,8466,美吉吉-1KY,5.99,108,12.50,1.93,109/1
906,9904,寶成,4.17,108,8.73,0.87,109/1
907,9905,大華,4.56,108,14.35,0.97,109/1
919,9924,福興,6.62,108,9.14,1.33,109/1
932,9939,宏全,5.58,108,12.08,1.39,109/1
938,9945,潤泰新,11.72,108,5.19,0.83,109/1
939,9946,三發地產,9.97,108,4.01,0.71,109/1
