,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
0,1101,台泥,7.05,108,10.04,1.31,109/2
1,1102,亞泥,7.08,108,10.37,1.04,109/2
3,1104,環泥,5.06,108,11.16,0.74,109/2
5,1109,信大,5.43,108,7.50,1.04,109/2
9,1210,大成,5.01,108,13.55,1.95,109/2
16,1220,台榮,5.22,108,12.64,0.90,109/2
32,1308,亞聚,5.24,108,13.73,1.16,109/2
38,1315,達新,6.95,108,1.84,0.79,109/2
42,1323,永裕,4.74,108,9.78,1.53,109/2
52,1409,新纖,4.80,108,7.58,0.62,109/2
61,1434,福懋,7.52,108,13.41,0.99,109/2
63,1436,華友聯,6.70,108,14.51,1.40,109/2
82,1457,宜進,7.30,108,6.12,0.68,109/2
87,1465,偉全,11.19,108,-1,0.80,109/2
118,1530,亞崴,5.01,108,8.37,0.95,109/2
127,1540,喬福,6.71,108,-1,0.95,109/2
129,1558,伸興,6.31,108,12.24,1.88,109/2
133,1583,程泰,5.00,108,13.30,1.40,109/2
146,1615,大山,8.91,108,9.76,1.39,109/2
152,1702,南僑,4.68,108,12.18,1.89,109/2
158,1712,興農,6.37,108,13.16,1.25,109/2
169,1726,永記,4.58,108,14.84,1.38,109/2
193,1817,凱撒衛,5.58,108,11.74,1.37,109/2
201,2006,東和鋼鐵,4.47,108,14.88,1.27,109/2
206,2012,春雨,7.08,108,14.87,1.37,109/2
211,2020,美亞,10.88,108,13.28,1.33,109/2
216,2027,大成鋼,5.78,108,-1,1.10,109/2
239,2115,六暉-1KY,6.55,108,6.55,1.46,109/2
253,2301,光寶科,6.79,108,10.40,1.60,109/2
262,2317,鴻海,5.38,108,10.47,0.93,109/2
265,2324,仁寶,6.19,108,13.20,0.83,109/2
267,2328,廣宇,5.56,108,12.24,0.91,109/2
278,2347,聯強,6.14,108,9.89,1.50,109/2
284,2354,鴻準,4.73,108,11.65,0.79,109/2
286,2356,英業達,5.68,108,11.51,1.49,109/2
287,2357,華碩,5.47,108,13.13,1.11,109/2
292,2363,矽統,13.03,108,-1,1.00,109/2
294,2365,昆盈,4.08,108,13.73,0.79,109/2
312,2392,正崴,6.05,108,9.40,0.95,109/2
326,2414,精技,6.00,108,12.44,1.56,109/2
330,2420,新巨,6.19,108,11.10,1.66,109/2
332,2423,固緯,6.71,108,13.22,1.49,109/2
339,2430,燦坤,5.29,108,12.95,0.68,109/2
341,2433,互盛電,7.76,108,12.34,1.86,109/2
347,2441,超豐,4.43,108,12.98,1.78,109/2
352,2449,京元電子,5.82,108,9.38,1.47,109/2
355,2453,凌群,5.73,108,13.12,0.97,109/2
361,2459,敦吉,7.29,108,9.56,1.06,109/2
368,2467,志聖,8.96,108,14.09,1.94,109/2
372,2474,可成,5.38,108,10.47,0.99,109/2
374,2477,美隆電,6.67,108,14.55,1.61,109/2
383,2488,漢平,7.10,108,12.91,1.34,109/2
387,2493,揚博,7.66,108,13.06,1.66,109/2
388,2495,普安,4.80,108,-1,0.88,109/2
403,2527,宏璟,9.52,108,7.19,0.71,109/2
407,2535,達欣工,5.59,108,7.84,1.03,109/2
408,2536,宏普,4.99,108,8.87,0.67,109/2
410,2538,基泰,4.98,108,-1,0.69,109/2
418,2548,華固,8.50,108,5.59,1.49,109/2
420,2601,益航,13.07,108,-1,0.81,109/2
433,2616,山隆,6.00,108,13.16,0.99,109/2
434,2617,台航,4.76,108,11.51,0.70,109/2
453,2739,寒舍,4.17,108,-1,1.78,109/2
456,2809,京城銀,4.09,108,8.89,1.01,109/2
457,2812,台中銀,7.31,108,10.05,0.77,109/2
458,2816,旺旺保,7.30,108,6.87,0.73,109/2
459,2820,華票,4.90,108,14.55,0.82,109/2
460,2823,中壽,5.94,108,6.37,0.64,109/2
461,2832,台產,5.06,108,10.56,0.79,109/2
462,2834,臺企銀,7.09,108,12.65,0.73,109/2
463,2836,高雄銀,5.05,108,13.65,0.69,109/2
464,2838,聯邦銀,7.92,108,9.44,0.55,109/2
466,2845,遠東銀,7.18,108,11.32,0.72,109/2
467,2849,安泰銀,5.07,108,13.46,0.84,109/2
468,2850,新產,5.10,108,6.81,0.95,109/2
469,2851,中再保,4.36,108,8.68,1.00,109/2
470,2852,第一保,7.38,108,12.26,0.60,109/2
471,2855,統一證,7.43,108,11.79,0.85,109/2
474,2881,富邦金,4.62,108,7.31,0.83,109/2
475,2882,國泰金,5.04,108,9.49,0.75,109/2
478,2885,元大金,5.74,108,10.40,0.90,109/2
480,2887,台新金,6.13,108,11.15,0.84,109/2
481,2888,新光金,4.64,108,8.00,0.47,109/2
482,2889,國票金,6.86,108,12.32,0.95,109/2
483,2890,永豐金,6.45,108,10.53,0.84,109/2
484,2891,中信金,5.35,108,8.99,1.03,109/2
485,2892,第一金,6.47,108,14.28,1.22,109/2
489,2904,匯僑,6.75,108,11.75,1.76,109/2
490,2905,三商,8.77,108,6.28,0.92,109/2
497,2915,潤泰全,7.53,108,5.11,0.44,109/2
498,2923,鼎固-1KY,8.92,108,-1,0.89,109/2
499,2929,淘帝-1KY,4.84,108,-1,0.70,109/2
504,3004,豐達科,5.09,108,10.21,1.48,109/2
505,3005,神基,6.06,108,11.03,1.89,109/2
508,3010,華立,5.68,108,8.72,1.19,109/2
512,3015,全漢,4.62,108,14.87,0.68,109/2
524,3028,增你強,4.89,108,14.93,0.90,109/2
527,3031,佰鴻,5.52,108,13.75,1.02,109/2
532,3036,文曄,5.50,108,9.90,0.80,109/2
534,3038,全台,6.61,108,10.08,1.47,109/2
535,3040,遠見,4.43,108,8.53,1.54,109/2
539,3044,健鼎,6.39,108,10.01,1.87,109/2
543,3048,益登,5.54,108,8.76,1.19,109/2
547,3052,夆典,4.27,108,6.39,0.82,109/2
550,3056,總太,7.78,108,10.65,1.83,109/2
562,3209,全科,6.31,108,9.35,1.29,109/2
564,3231,緯創,6.88,108,10.15,1.19,109/2
571,3312,弘憶股,8.73,108,12.28,1.18,109/2
590,3501,維熹,6.39,108,12.90,1.00,109/2
594,3528,安馳,6.08,108,13.52,1.94,109/2
627,3702,大聯大,6.03,108,10.26,1.19,109/2
630,3705,永信,4.94,108,14.83,1.95,109/2
631,3706,神達,7.63,108,10.23,0.78,109/2
635,4104,佳醫,5.84,108,14.68,1.08,109/2
646,4164,承業醫,4.93,108,14.55,1.14,109/2
651,4438,廣越,6.70,108,13.24,1.84,109/2
652,4439,冠星-1KY,6.67,108,9.73,1.74,109/2
661,4557,永新-1KY,8.13,108,13.79,1.82,109/2
662,4560,強信-1KY,10.09,108,13.93,1.87,109/2
669,4581,光隆精密-1KY,7.92,108,13.83,1.57,109/2
671,4722,國精化,6.26,108,12.03,1.18,109/2
679,4766,南寶,4.67,108,13.46,1.68,109/2
684,4915,致伸,5.38,108,9.33,1.71,109/2
685,4916,事欣科,9.43,108,10.10,1.28,109/2
691,4938,和碩,7.04,108,7.21,1.09,109/2
692,4942,嘉彰,6.38,108,8.17,0.81,109/2
705,4999,鑫禾,5.23,108,11.77,1.09,109/2
711,5243,乙盛-1KY,5.03,108,13.91,1.11,109/2
716,5284,jpp-1KY,5.49,108,14.36,0.84,109/2
725,5515,建國,4.18,108,12.58,0.76,109/2
726,5519,隆大,8.97,108,12.14,0.82,109/2
728,5522,遠雄,7.72,108,12.40,0.95,109/2
732,5534,長虹,7.79,108,8.01,1.40,109/2
733,5538,東明-1KY,4.67,108,12.35,1.47,109/2
739,5876,上海商銀,5.09,108,13.00,1.20,109/2
743,6005,群益證,7.08,108,10.87,0.74,109/2
744,6024,群益期,5.01,108,13.30,1.31,109/2
755,6139,亞翔,5.24,108,11.22,0.87,109/2
769,6184,大豐電,7.43,108,12.38,1.51,109/2
770,6189,豐藝,6.77,108,12.04,1.65,109/2
772,6192,巨路,5.10,108,11.06,1.44,109/2
774,6197,佳必琪,8.72,108,13.39,1.51,109/2
781,6214,精誠,5.92,108,10.97,1.64,109/2
786,6226,光鼎,4.93,108,8.19,0.80,109/2
789,6239,力成,4.99,108,9.89,1.63,109/2
792,6257,矽格,5.50,108,10.44,1.52,109/2
798,6282,康舒,4.33,108,6.48,1.35,109/2
810,6442,光聖,4.24,108,-1,1.25,109/2
835,6641,基士德-1KY,7.21,108,10.39,1.95,109/2
841,6671,三能-1KY,7.91,108,11.36,1.55,109/2
843,6674,鋐寶科技,5.01,108,-1,1.16,109/2
863,8112,至上,9.14,108,8.12,1.54,109/2
865,8131,福懋科,6.12,108,11.41,1.48,109/2
866,8150,南茂,6.02,108,9.17,1.11,109/2
867,8163,達方,5.78,108,13.63,1.37,109/2
870,8213,志超,6.09,108,6.24,0.98,109/2
875,8271,宇瞻,7.02,108,8.19,1.33,109/2
877,8367,建新國際,4.06,108,11.02,1.09,109/2
890,8466,美吉吉-1KY,6.48,108,12.94,1.73,109/2
905,9904,寶成,4.61,108,14.41,0.68,109/2
906,9905,大華,4.58,108,13.01,0.99,109/2
918,9924,福興,6.03,108,10.17,1.53,109/2
931,9939,宏全,5.42,108,11.31,1.35,109/2
937,9945,潤泰新,14.46,108,5.55,0.46,109/2
938,9946,三發地產,8.91,108,6.46,0.81,109/2
