,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-02,132.500000,133.500000,132.500000,133.000000,117.136406,46429
1,2020-01-03,133.000000,134.000000,133.000000,133.500000,117.576767,68223
2,2020-01-06,133.500000,133.500000,132.000000,133.000000,117.136406,63820
3,2020-01-07,132.500000,132.500000,132.000000,132.000000,116.255684,33153
4,2020-01-08,132.000000,132.500000,132.000000,132.500000,116.696045,61891
5,2020-01-09,132.500000,132.500000,132.000000,132.000000,116.255684,72414
6,2020-01-10,132.000000,132.500000,132.000000,132.000000,116.255684,58973
7,2020-01-13,132.000000,132.500000,131.500000,131.500000,115.815315,75093
8,2020-01-14,132.000000,133.000000,132.000000,132.000000,116.255684,64500
9,2020-01-15,132.500000,132.500000,132.000000,132.000000,116.255684,17800
10,2020-01-16,132.000000,133.000000,132.000000,132.000000,116.255684,87460
11,2020-01-17,132.000000,132.500000,132.000000,132.000000,116.255684,55139
12,2020-01-20,133.000000,133.000000,132.000000,133.000000,117.136406,62004
13,2020-01-30,130.500000,130.500000,128.000000,128.500000,113.173141,569300
14,2020-01-31,128.500000,129.500000,128.500000,128.500000,113.173141,245453
15,2020-02-03,126.500000,128.500000,126.000000,127.500000,112.292419,219596
16,2020-02-04,133.500000,133.500000,129.500000,129.500000,114.053871,108861
17,2020-02-05,129.500000,129.500000,129.000000,129.000000,113.613510,60501
18,2020-02-06,129.000000,130.000000,129.000000,129.500000,114.053871,97807
19,2020-02-07,129.500000,129.500000,129.000000,129.000000,113.613510,84002
20,2020-02-10,129.000000,129.000000,128.000000,128.500000,113.173141,60593
21,2020-02-11,129.000000,129.500000,128.000000,128.500000,113.173141,81027
22,2020-02-12,129.000000,130.000000,129.000000,129.500000,114.053871,97724
23,2020-02-13,129.500000,130.000000,129.000000,129.500000,114.053871,88502
24,2020-02-14,130.000000,130.000000,129.000000,129.000000,113.613510,68371
25,2020-02-17,129.500000,130.500000,129.500000,130.500000,114.934593,125451
26,2020-02-18,130.000000,130.500000,128.000000,129.000000,113.613510,140064
27,2020-02-19,129.000000,130.000000,128.500000,129.500000,114.053871,83027
28,2020-02-20,129.500000,130.500000,129.500000,129.500000,114.053871,69350
29,2020-02-21,130.000000,131.000000,130.000000,130.000000,114.494232,76008
30,2020-02-24,130.000000,131.500000,129.500000,130.000000,114.494232,97042
31,2020-02-25,129.500000,130.000000,129.000000,129.000000,113.613510,136120
32,2020-02-26,129.000000,129.500000,129.000000,129.000000,113.613510,57123
33,2020-02-27,129.000000,129.500000,128.500000,128.500000,113.173141,99738
34,2020-03-02,128.500000,129.500000,127.000000,128.500000,113.173141,164300
35,2020-03-03,129.000000,130.000000,128.500000,129.500000,114.053871,40774
36,2020-03-04,129.500000,129.500000,128.500000,129.000000,113.613510,39521
37,2020-03-05,129.500000,130.000000,129.000000,129.500000,114.053871,66581
38,2020-03-06,129.500000,129.500000,129.000000,129.000000,113.613510,21510
39,2020-03-09,129.000000,129.000000,127.500000,127.500000,112.292419,208069
40,2020-03-10,127.500000,127.500000,126.000000,127.500000,112.292419,164215
41,2020-03-11,128.000000,129.000000,128.000000,128.000000,112.732780,59500
