,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-02,36.599998,36.750000,36.500000,36.750000,31.941441,703597
1,2020-01-03,36.849998,36.849998,36.349998,36.349998,31.593779,1000010
2,2020-01-06,36.299999,36.299999,35.799999,35.799999,31.115744,1053305
3,2020-01-07,35.799999,35.900002,35.500000,35.650002,30.985371,838454
4,2020-01-08,35.500000,35.500000,35.000000,35.099998,30.507336,1345478
5,2020-01-09,35.200001,35.400002,35.200001,35.250000,30.637711,575559
6,2020-01-10,35.500000,35.500000,35.150002,35.250000,30.637711,355734
7,2020-01-13,35.299999,35.650002,35.299999,35.599998,30.941912,464112
8,2020-01-14,35.700001,35.849998,35.599998,35.650002,30.985371,642564
9,2020-01-15,35.799999,35.849998,35.650002,35.750000,31.072287,689415
10,2020-01-16,35.750000,35.900002,35.750000,35.849998,31.159199,391163
11,2020-01-17,35.799999,35.849998,35.750000,35.750000,31.072287,638763
12,2020-01-20,35.900002,36.049999,35.799999,35.849998,31.159199,498689
13,2020-01-30,34.250000,34.750000,32.900002,33.000000,28.682110,2709351
14,2020-01-31,33.000000,33.700001,32.500000,33.200001,28.855942,1320449
15,2020-02-03,32.000000,32.099998,31.150000,32.000000,27.812956,2025487
16,2020-02-04,35.750000,35.750000,32.750000,32.750000,28.464823,1340385
17,2020-02-05,33.599998,34.200001,33.599998,33.599998,29.203602,5143937
18,2020-02-06,34.049999,34.150002,33.549999,33.549999,29.160145,1972219
19,2020-02-07,33.500000,33.500000,33.000000,33.049999,28.725567,1425370
20,2020-02-10,32.799999,33.000000,32.349998,32.750000,28.464823,1023113
21,2020-02-11,33.000000,33.150002,32.900002,33.000000,28.682110,478024
22,2020-02-12,33.299999,33.650002,33.150002,33.549999,29.160145,1140263
23,2020-02-13,33.799999,34.099998,33.700001,33.900002,29.464352,1753366
24,2020-02-14,33.900002,33.900002,33.750000,33.799999,29.377434,558336
25,2020-02-17,33.500000,33.650002,33.349998,33.500000,29.116688,697381
26,2020-02-18,33.400002,33.650002,33.049999,33.200001,28.855942,883166
27,2020-02-19,33.500000,33.650002,33.250000,33.500000,29.116688,760165
28,2020-02-20,33.799999,33.849998,33.349998,33.349998,28.986313,761615
29,2020-02-21,33.400002,33.400002,33.150002,33.250000,28.899399,697623
30,2020-02-24,33.150002,33.150002,32.799999,32.849998,28.551735,906522
31,2020-02-25,31.450001,32.349998,31.450001,32.299999,28.073702,1465102
32,2020-02-26,32.049999,32.450001,32.000000,32.349998,28.117159,478102
33,2020-02-27,32.950001,33.299999,32.099998,32.349998,28.117159,2101151
34,2020-03-02,31.799999,32.450001,31.650000,32.150002,27.943329,1051478
35,2020-03-03,32.450001,33.000000,32.450001,32.900002,28.595196,1369933
36,2020-03-04,33.400002,33.549999,33.150002,33.549999,29.160145,3063792
37,2020-03-05,33.900002,34.000000,33.750000,33.799999,29.377434,1450586
38,2020-03-06,33.549999,33.549999,33.250000,33.250000,28.899399,1226330
39,2020-03-09,33.000000,33.000000,31.900000,32.000000,27.812956,1738692
40,2020-03-10,31.299999,32.250000,31.299999,32.200001,27.986788,1010475
41,2020-03-11,32.299999,32.650002,31.799999,32.250000,28.030243,1035696
42,2020-03-12,31.700001,31.750000,29.850000,30.299999,26.335392,2709118
43,2020-03-13,27.600000,28.950001,27.400000,28.500000,24.770912,3664202
44,2020-03-16,28.750000,28.750000,27.750000,27.950001,24.292879,1252985
45,2020-03-17,27.600000,27.750000,26.950001,27.049999,23.510639,1641381
46,2020-03-18,27.200001,27.350000,26.750000,26.750000,23.249893,1380830
47,2020-03-19,26.299999,26.299999,24.100000,24.100000,20.946632,3249489
48,2020-03-20,25.000000,26.400000,25.000000,26.299999,22.858772,1471529
49,2020-03-23,25.000000,26.700001,24.799999,26.549999,23.076059,1371412
50,2020-03-24,27.799999,27.900000,26.850000,27.350000,23.771385,3674297
51,2020-03-25,27.850000,29.200001,27.700001,29.200001,25.379322,5898644
52,2020-03-26,28.950001,29.100000,28.200001,28.900000,25.118576,1701613
53,2020-03-27,29.299999,29.549999,28.750000,28.799999,25.031658,3440848
54,2020-03-30,27.900000,28.600000,27.650000,28.549999,24.814371,1043100
55,2020-03-31,29.350000,29.549999,28.549999,28.850000,25.075117,2186041
56,2020-04-01,28.850000,28.950001,28.400000,28.799999,25.031658,1256246
57,2020-04-06,29.500000,29.600000,28.850000,28.950001,25.162033,1848131
58,2020-04-07,29.250000,29.450001,29.000000,29.200001,25.379322,2427046
59,2020-04-08,29.049999,29.700001,29.049999,29.549999,25.683525,3011100
60,2020-04-09,30.000000,30.400000,29.700001,29.750000,25.857357,1878102
61,2020-04-10,29.600000,29.850000,29.600000,29.750000,25.857357,795312
62,2020-04-13,30.000000,30.350000,29.549999,29.850000,25.944273,1402125
63,2020-04-14,29.850000,30.600000,29.850000,30.400000,26.422308,1805670
64,2020-04-15,30.750000,31.250000,30.350000,31.250000,27.161089,2814485
65,2020-04-16,30.299999,31.350000,30.299999,31.049999,26.987259,1869397
66,2020-04-17,31.100000,31.850000,31.049999,31.350000,27.248005,3717516
67,2020-04-20,31.299999,31.350000,30.650000,31.000000,26.943800,3083738
