,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-02,38.250000,38.250000,38.000000,38.049999,33.568790,27100
1,2020-01-03,38.099998,38.150002,37.950001,38.049999,33.568790,28000
2,2020-01-06,38.099998,38.099998,37.849998,37.849998,33.392345,11004
3,2020-01-07,37.849998,37.849998,37.049999,37.500000,33.083565,124156
4,2020-01-08,37.500000,37.500000,37.200001,37.400002,32.995342,22000
5,2020-01-09,37.650002,37.950001,37.650002,37.650002,33.215900,14000
6,2020-01-10,38.099998,38.099998,37.500000,37.950001,33.480572,16060
7,2020-01-13,38.000000,38.200001,37.950001,38.200001,33.701126,78496
8,2020-01-14,38.400002,38.400002,38.150002,38.150002,33.657017,25755
9,2020-01-15,38.150002,38.150002,37.750000,38.000000,33.524681,76020
10,2020-01-16,38.000000,38.250000,37.950001,38.049999,33.568790,41000
11,2020-01-17,38.099998,38.099998,37.650002,38.099998,33.612904,46253
12,2020-01-20,38.099998,38.200001,37.950001,38.000000,33.524681,48090
13,2020-01-30,37.049999,37.299999,36.900002,37.000000,32.642448,121508
14,2020-01-31,37.700001,37.700001,37.200001,37.250000,32.863007,30335
15,2020-02-03,37.200001,37.200001,36.500000,37.099998,32.730671,74370
16,2020-02-04,37.099998,37.549999,37.000000,37.200001,32.818897,32102
17,2020-02-05,37.299999,37.299999,37.049999,37.299999,32.907116,31100
18,2020-02-06,37.299999,37.400002,37.200001,37.400002,32.995342,27100
19,2020-02-07,37.299999,37.299999,37.099998,37.150002,32.774784,13235
20,2020-02-10,37.000000,37.250000,36.950001,37.250000,32.863007,40261
21,2020-02-11,37.549999,38.000000,37.549999,37.799999,33.348236,49400
22,2020-02-12,37.900002,37.900002,37.700001,37.799999,33.348236,36897
23,2020-02-13,37.799999,37.849998,37.500000,37.799999,33.348236,24100
24,2020-02-14,37.799999,37.799999,37.650002,37.799999,33.348236,41000
25,2020-02-17,37.500000,37.750000,37.500000,37.650002,33.215900,24100
26,2020-02-18,37.799999,37.900002,37.650002,37.900002,33.436459,28000
27,2020-02-19,38.000000,38.000000,37.799999,37.900002,33.436459,23400
28,2020-02-20,38.000000,38.299999,38.000000,38.099998,33.612904,88181
29,2020-02-21,38.099998,38.150002,37.950001,37.950001,33.480572,15085
30,2020-02-24,37.799999,37.950001,37.099998,37.950001,33.480572,93130
31,2020-02-25,37.849998,37.849998,37.799999,37.799999,33.348236,14102
32,2020-02-26,37.799999,38.000000,37.799999,38.000000,33.524681,45420
33,2020-02-27,38.049999,38.049999,37.700001,37.700001,33.260010,46200
34,2020-03-02,37.299999,37.650002,37.099998,37.650002,33.215900,56183
35,2020-03-03,37.700001,37.849998,37.599998,37.599998,33.171783,22050
36,2020-03-04,37.599998,37.599998,37.549999,37.599998,33.171783,13568
37,2020-03-05,37.849998,38.500000,37.849998,38.299999,33.789349,120200
38,2020-03-06,37.950001,38.099998,37.799999,38.000000,33.524681,34000
39,2020-03-09,38.000000,38.000000,37.200001,37.400002,32.995342,88843
40,2020-03-10,37.000000,37.700001,36.950001,37.650002,33.215900,111123
41,2020-03-11,37.950001,38.200001,37.599998,37.849998,33.392345,80720
42,2020-03-12,37.500000,37.500000,36.349998,37.450001,33.039452,79168
43,2020-03-13,35.500000,36.750000,33.750000,36.450001,32.157227,168264
44,2020-03-16,36.400002,36.400002,35.099998,35.750000,31.539665,99235
45,2020-03-17,34.500000,34.799999,33.500000,34.500000,30.436880,180194
46,2020-03-18,35.099998,35.750000,34.200001,35.000000,30.877996,99198
47,2020-03-19,34.849998,34.849998,32.500000,32.799999,28.937090,191575
48,2020-03-20,35.000000,35.000000,33.900002,34.000000,29.995766,54001
49,2020-03-23,31.700001,33.599998,31.700001,33.000000,29.113537,43050
50,2020-03-24,33.400002,34.500000,33.400002,33.700001,29.731098,55494
51,2020-03-25,33.700001,34.900002,33.700001,34.599998,30.525103,75100
52,2020-03-26,34.799999,34.900002,34.700001,34.900002,30.789774,16000
53,2020-03-27,35.200001,36.549999,35.000000,35.650002,31.451445,64007
54,2020-03-30,35.500000,35.650002,35.400002,35.650002,31.451445,12000
55,2020-03-31,36.000000,36.349998,35.700001,36.099998,31.848446,33352
56,2020-04-01,36.000000,36.099998,36.000000,36.000000,31.760223,5000
57,2020-04-06,35.700001,35.950001,35.650002,35.950001,31.716114,7300
58,2020-04-07,36.299999,36.400002,35.799999,36.250000,31.980782,22219
59,2020-04-08,36.250000,36.500000,36.150002,36.450001,32.157227,23580
60,2020-04-09,36.500000,36.500000,35.799999,36.500000,32.201336,9609
61,2020-04-10,36.650002,36.650002,36.250000,36.650002,32.333672,27602
62,2020-04-13,37.000000,37.500000,37.000000,37.349998,32.951229,59120
63,2020-04-14,37.849998,38.000000,37.750000,37.900002,33.436459,71122
64,2020-04-15,37.900002,38.000000,37.650002,38.000000,33.524681,74400
65,2020-04-16,37.950001,38.000000,37.750000,37.849998,33.392345,67162
66,2020-04-17,37.950001,38.150002,37.700001,37.900002,33.436459,82300
67,2020-04-20,37.799999,37.900002,37.099998,37.700001,33.260010,18630
68,2020-04-21,37.950001,37.950001,37.000000,37.500000,33.083565,48352
69,2020-04-22,37.500000,37.500000,36.799999,37.500000,33.083565,16450
70,2020-04-23,37.500000,37.799999,37.150002,37.500000,33.083565,21000
71,2020-04-24,37.799999,37.799999,37.299999,37.700001,33.260010,36256
72,2020-04-27,37.849998,38.150002,37.849998,38.000000,33.524681,48561
73,2020-04-28,37.900002,38.150002,37.849998,38.099998,33.612904,49471
74,2020-04-29,38.150002,38.150002,37.799999,38.000000,33.524681,77376
75,2020-04-30,38.250000,38.299999,38.049999,38.250000,33.745239,98662
76,2020-05-04,38.000000,38.250000,37.799999,38.099998,33.612904,30300
77,2020-05-05,38.200001,38.599998,38.200001,38.599998,34.054016,97140
78,2020-05-06,38.599998,38.599998,38.200001,38.400002,33.877575,54450
79,2020-05-07,38.400002,38.549999,38.200001,38.349998,33.833458,52000
80,2020-05-08,38.549999,38.549999,38.200001,38.500000,33.965794,23200
81,2020-05-11,38.549999,39.599998,38.549999,39.500000,34.848022,101611
82,2020-05-12,39.500000,39.500000,38.599998,39.099998,34.495129,47780
83,2020-05-13,38.700001,38.700001,38.000000,38.299999,33.789349,162603
84,2020-05-14,38.299999,38.599998,38.000000,38.299999,33.789349,102000
85,2020-05-15,38.500000,38.500000,37.700001,38.250000,33.745239,39300
86,2020-05-18,38.450001,38.750000,38.400002,38.400002,33.877575,28355
87,2020-05-19,38.700001,38.750000,38.049999,38.599998,34.054016,29000
88,2020-05-20,38.650002,38.650002,38.000000,38.450001,33.921684,30349
89,2020-05-21,38.599998,38.650002,38.299999,38.500000,33.965794,20370
90,2020-05-22,38.500000,38.650002,38.299999,38.500000,33.965794,53253
91,2020-05-25,38.599998,38.599998,37.799999,38.400002,33.877575,31402
92,2020-05-26,38.500000,38.599998,38.450001,38.450001,33.921684,33674
93,2020-05-27,38.549999,38.599998,38.150002,38.349998,33.833458,84236
94,2020-05-28,38.299999,38.400002,38.150002,38.150002,33.657017,36000
95,2020-05-29,38.150002,38.500000,38.150002,38.450001,33.921684,16320
96,2020-06-01,38.500000,39.000000,38.500000,38.650002,34.098129,80414
97,2020-06-02,38.599998,38.799999,38.500000,38.549999,34.009907,16121
98,2020-06-03,38.799999,39.150002,38.799999,39.000000,34.406910,217363
99,2020-06-04,39.049999,39.599998,39.049999,39.450001,34.803909,206779
100,2020-06-05,39.599998,39.650002,39.500000,39.650002,34.980358,56033
101,2020-06-08,39.650002,39.700001,39.400002,39.650002,34.980358,39475
102,2020-06-09,39.599998,39.650002,39.349998,39.349998,34.715687,28432
103,2020-06-10,39.049999,39.450001,39.000000,39.200001,34.583355,80100
104,2020-06-11,39.299999,39.349998,38.799999,38.900002,34.318687,97631
105,2020-06-12,38.500000,39.099998,38.400002,39.000000,34.406910,70363
106,2020-06-15,39.200001,39.299999,38.900002,39.000000,34.406910,83100
107,2020-06-16,39.049999,39.349998,38.950001,39.200001,34.583355,64717
108,2020-06-17,39.299999,39.349998,39.099998,39.150002,34.539242,40090
109,2020-06-18,39.200001,39.200001,38.950001,39.000000,34.406910,32672
110,2020-06-19,38.950001,39.099998,38.900002,39.000000,34.406910,27340
111,2020-06-22,39.000000,39.000000,38.750000,39.000000,34.406910,144816
112,2020-06-23,39.099998,39.099998,38.849998,39.000000,34.406910,108300
113,2020-06-24,39.000000,39.049999,38.900002,38.950001,34.362797,117750
114,2020-06-29,38.950001,39.400002,38.700001,39.400002,34.759800,276688
115,2020-06-30,37.000000,37.349998,36.900002,37.099998,34.948196,161730
116,2020-07-01,37.200001,37.500000,37.200001,37.500000,35.325001,38150
117,2020-07-02,37.500000,38.500000,37.500000,38.150002,35.937302,50250
118,2020-07-03,38.299999,38.500000,38.150002,38.200001,35.984398,49078
119,2020-07-06,38.299999,38.299999,37.900002,38.299999,36.078598,90137
120,2020-07-07,38.299999,38.299999,38.000000,38.000000,35.795998,38061
121,2020-07-08,37.700001,38.099998,37.700001,37.900002,35.701801,43099
122,2020-07-09,37.950001,38.049999,37.950001,37.950001,35.748901,30002
123,2020-07-10,37.950001,37.950001,37.650002,37.950001,35.748901,66948
124,2020-07-13,39.549999,40.000000,38.799999,39.099998,36.832199,248671
125,2020-07-14,38.900002,38.900002,38.349998,38.700001,36.455399,79795
126,2020-07-15,38.799999,38.799999,38.400002,38.700001,36.455399,40703
127,2020-07-16,38.700001,38.700001,38.299999,38.450001,36.219898,26200
128,2020-07-17,38.599998,38.599998,38.400002,38.500000,36.266998,28389
129,2020-07-20,38.500000,38.500000,38.200001,38.500000,36.266998,14129
130,2020-07-21,38.500000,38.599998,38.099998,38.599998,36.361198,47443
131,2020-07-22,38.299999,39.049999,38.299999,38.799999,36.549599,67386
132,2020-07-23,38.799999,38.799999,38.000000,38.400002,36.172802,72135
133,2020-07-24,38.450001,38.450001,37.950001,38.299999,36.078598,103100
134,2020-07-27,38.250000,38.400002,38.000000,38.349998,36.125698,104573
135,2020-07-28,38.000000,38.349998,37.849998,37.849998,35.654697,51350
136,2020-07-29,37.799999,38.099998,37.799999,38.000000,35.795998,37000
137,2020-07-30,37.950001,38.099998,37.950001,37.950001,35.748901,26221
138,2020-07-31,38.000000,38.150002,38.000000,38.150002,35.937302,21000
139,2020-08-03,38.150002,38.450001,38.150002,38.450001,36.219898,32702
140,2020-08-04,38.400002,38.450001,38.349998,38.349998,36.125698,29651
141,2020-08-05,38.349998,38.450001,38.299999,38.450001,36.219898,21249
