,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,37,186,926,755,330,029,20.35,20.40
1,110/03/03,41,944,860,856,533,130,20.35,20.50
2,110/03/04,37,019,106,750,611,407,20.50,20.50
3,110/03/05,33,556,881,680,466,227,20.10,20.45
4,110/03/08,48,027,935,989,235,472,20.45,20.80
5,110/03/09,108,308,815,2,275,500,056,20.75
6,110/03/10,53,403,957,1,129,091,708,21.10
7,110/03/11,67,666,217,1,443,487,301,21.30
8,110/03/12,51,397,792,1,091,061,015,21.15
9,110/03/15,74,387,631,1,611,373,197,21.35
10,110/03/16,56,927,346,1,237,460,801,21.85
11,110/03/17,47,969,315,1,040,156,358,21.80
12,110/03/18,33,823,597,729,333,476,21.60,21.70
13,110/03/19,61,927,673,1,319,948,007,21.45
14,110/03/22,23,282,595,496,312,655,21.20,21.45
