,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,8,777,954,434,931,405,49.70,49.95
1,110/04/06,9,683,271,483,843,661,49.70,50.30
2,110/04/07,7,044,297,352,161,520,50.10,50.40
3,110/04/08,9,666,152,482,919,575,50.00,50.20
4,110/04/09,8,258,229,407,965,040,49.80,49.90
5,110/04/12,6,213,207,309,775,689,49.55,50.00
6,110/04/13,7,814,049,391,984,263,50.10,50.50
7,110/04/14,6,968,627,345,287,012,49.85,50.00
8,110/04/15,5,965,520,298,382,160,49.65,50.30
9,110/04/16,10,420,873,527,356,659,50.20,51.50
10,110/04/19,11,466,232,606,371,358,52.20,53.40
11,110/04/20,6,183,334,327,069,632,53.10,53.30
