,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,2,490,342,47,645,305,19.10,19.45
1,110/04/06,11,374,585,234,625,870,19.60,20.95
2,110/04/07,14,099,783,308,296,918,21.80,22.70
3,110/04/08,3,958,677,86,968,206,22.30,22.35
4,110/04/09,3,744,557,80,199,951,22.00,22.05
5,110/04/12,8,812,134,201,164,139,22.05,23.35
6,110/04/13,6,637,149,150,903,670,23.65,23.80
7,110/04/14,5,124,946,109,677,764,22.50,22.55
8,110/04/15,1,981,697,42,450,718,21.50,21.80
9,110/04/16,1,639,791,34,988,390,21.05,21.75
10,110/04/19,2,256,133,47,683,588,21.35,21.55
11,110/04/20,1,713,796,36,680,047,21.25,21.60
