,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,1,675,918,132,986,694,80.90,81.30
1,110/03/03,829,506,65,187,003,79.30,79.30,77.50
2,110/03/04,688,710,53,996,287,78.50,79.20,77.50
3,110/03/05,801,616,62,234,826,77.80,78.30,77.00
4,110/03/08,1,118,720,88,322,491,78.20,80.10
5,110/03/09,566,414,44,302,648,78.80,78.80,77.50
6,110/03/10,444,195,35,180,258,79.00,79.50,78.70
7,110/03/11,768,393,61,516,376,79.40,80.60,79.40
8,110/03/12,670,531,53,462,887,80.20,80.40,79.30
9,110/03/15,701,986,55,844,850,80.00,80.20,79.20
10,110/03/16,996,183,79,937,932,79.70,81.00,79.60
11,110/03/17,2,012,296,164,300,701,80.70,82.50
12,110/03/18,901,116,73,844,978,82.10,82.30,81.30
13,110/03/19,1,128,833,91,290,186,81.80,81.80
14,110/03/22,794,889,64,225,651,80.70,81.30,80.30
