,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,788,475,27,865,279,35.90,35.90,35.10
1,110/03/03,595,100,20,774,289,35.10,35.45,34.65
2,110/03/04,335,597,11,842,344,35.20,35.45,35.15
3,110/03/05,309,201,10,922,995,35.05,35.50,35.05
4,110/03/08,425,309,15,108,389,35.45,35.75,35.40
5,110/03/09,2,364,286,85,600,913,36.10,36.75
6,110/03/10,925,023,33,792,462,36.70,36.90,36.40
7,110/03/11,727,297,26,326,904,36.40,36.40,36.10
8,110/03/12,607,836,22,091,446,36.30,36.40,36.25
9,110/03/15,912,906,33,621,809,36.70,36.95,36.55
10,110/03/16,611,920,22,552,464,37.05,37.10,36.60
11,110/03/17,524,903,19,338,949,37.00,37.00,36.75
12,110/03/18,531,059,19,589,395,36.95,36.95,36.80
13,110/03/19,583,239,21,458,552,36.90,37.00,36.70
14,110/03/22,1,025,439,38,082,740,36.90,37.50
