,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,317,293,7,275,986,23.00,23.00,22.80
1,110/01/05,583,404,13,326,840,22.95,23.00,22.75
2,110/01/06,624,521,14,123,027,22.80,22.90,22.50
3,110/01/07,367,373,8,325,421,22.65,22.75,22.60
4,110/01/08,384,457,8,677,485,22.70,22.70,22.50
5,110/01/11,125,943,2,844,298,22.50,22.65,22.50
6,110/01/12,392,022,8,866,386,22.65,22.75,22.50
7,110/01/13,477,536,10,765,159,22.55,22.65,22.45
8,110/01/14,281,054,6,326,070,22.50,22.60,22.45
9,110/01/15,640,099,14,320,957,22.50,22.55,22.25
10,110/01/18,554,649,12,320,445,22.30,22.40,22.15
11,110/01/19,223,554,4,964,886,22.20,22.30,22.15
12,110/01/20,1,627,869,35,756,708,22.20,22.20
