,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,4,659,472,230,377,744,49.80,50.20
1,110/03/03,4,092,694,201,449,431,49.35,49.55
2,110/03/04,3,871,412,190,165,126,49.25,49.60
3,110/03/05,2,847,351,138,966,260,48.60,49.15
4,110/03/08,2,721,346,132,744,568,48.95,49.15
5,110/03/09,3,167,414,156,026,876,48.70,49.80
6,110/03/10,2,699,863,132,904,987,49.20,49.70
7,110/03/11,2,627,943,130,524,284,49.70,49.95
8,110/03/12,1,932,763,96,178,493,49.40,49.95
9,110/03/15,4,095,228,224,418,381,54.80,54.80
10,110/03/16,11,480,771,623,001,028,54.80,55.30
11,110/03/17,8,296,215,457,155,042,54.20,55.80
12,110/03/18,7,199,522,395,677,548,55.00,55.60
13,110/03/19,9,490,176,513,282,538,54.30,54.60
14,110/03/22,5,030,242,269,828,827,53.80,54.10
