,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,38,865,333,2,241,451,207,57.60
1,110/04/06,25,333,675,1,460,499,577,58.20
2,110/04/07,24,160,586,1,381,515,902,57.60
3,110/04/08,19,810,851,1,129,598,788,57.40
4,110/04/09,22,305,380,1,259,651,943,56.80
5,110/04/12,32,425,336,1,872,685,970,57.40
6,110/04/13,35,362,594,2,052,091,775,58.50
7,110/04/14,23,981,022,1,369,463,393,57.50
8,110/04/15,62,992,448,3,711,833,617,57.80
9,110/04/16,31,804,544,1,893,701,841,59.90
10,110/04/19,39,812,576,2,431,725,680,60.00
11,110/04/20,31,654,333,1,956,668,718,62.40
