,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,3,316,321,53,632,240,16.45,16.45
1,110/01/05,2,111,539,33,955,339,16.05,16.25
2,110/01/06,4,655,707,72,602,110,16.15,16.30
3,110/01/07,1,422,487,22,075,769,15.50,15.70
4,110/01/08,1,242,919,18,944,323,15.50,15.50
5,110/01/11,879,007,13,304,534,15.35,15.40,15.05
6,110/01/12,1,844,924,27,422,312,15.25,15.25
7,110/01/13,798,109,11,870,836,14.75,14.95,14.75
8,110/01/14,437,386,6,530,463,14.90,15.00,14.85
9,110/01/15,1,150,395,16,841,659,14.90,14.90
10,110/01/18,703,270,10,121,918,14.55,14.55,14.25
11,110/01/19,438,544,6,405,562,14.40,14.75,14.40
12,110/01/20,2,134,430,30,119,258,14.55,14.55
