,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,4,387,321,332,068,078,75.30,76.40
1,110/03/03,2,999,465,225,570,270,75.50,75.70
2,110/03/04,5,006,651,378,246,865,75.50,76.00
3,110/03/05,2,425,433,183,730,170,75.50,76.50
4,110/03/08,4,137,809,318,239,253,76.20,77.50
5,110/03/09,5,190,971,404,645,325,77.30,78.50
6,110/03/10,3,001,649,234,970,244,78.50,78.80
7,110/03/11,6,557,314,519,868,615,78.20,80.50
8,110/03/12,3,406,577,268,474,942,79.40,79.60
9,110/03/15,3,201,646,255,655,667,79.30,80.50
10,110/03/16,4,074,392,330,685,276,80.20,81.90
11,110/03/17,4,427,876,366,573,356,82.00,83.50
12,110/03/18,4,714,023,389,521,162,83.00,83.60
13,110/03/19,9,704,739,783,385,074,82.00,82.20
14,110/03/22,3,548,508,288,912,420,80.50,82.50
