,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,25,113,471,562,084,946,22.30,22.65
1,110/03/03,20,443,111,458,755,874,22.45,22.60
2,110/03/04,22,099,640,493,336,389,22.55,22.65
3,110/03/05,20,520,829,455,284,603,22.00,22.40
4,110/03/08,17,244,264,386,652,948,22.55,22.55
5,110/03/09,18,105,635,408,702,548,22.50,22.70
6,110/03/10,10,444,391,237,639,184,22.85,22.95
7,110/03/11,20,862,188,477,885,174,22.85,23.00
8,110/03/12,10,655,929,243,684,408,23.00,23.00
9,110/03/15,10,390,654,236,966,634,22.90,22.95
10,110/03/16,29,278,737,680,752,465,22.95,23.45
11,110/03/17,14,943,897,347,837,871,23.30,23.40
12,110/03/18,22,981,095,542,834,852,23.50,23.80
13,110/03/19,42,294,368,1,011,769,685,23.70
14,110/03/22,20,951,718,495,206,069,23.85,23.90
