,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,1,066,547,42,181,096,39.15,39.90
1,110/04/06,1,267,615,50,799,423,40.00,40.40
2,110/04/07,564,629,22,594,942,40.15,40.15,39.95
3,110/04/08,1,012,493,41,212,893,40.50,41.00
4,110/04/09,715,899,29,047,417,41.00,41.00,40.20
5,110/04/12,1,792,970,71,522,043,40.95,40.95
6,110/04/13,1,142,966,45,544,533,39.50,40.25
7,110/04/14,1,575,067,61,371,533,39.65,39.65
8,110/04/15,1,214,130,48,782,223,39.55,40.50
9,110/04/16,767,153,30,901,874,40.50,40.75,39.85
10,110/04/19,760,832,30,491,326,40.25,40.25,39.90
11,110/04/20,631,996,25,473,002,40.20,40.60,40.10
