,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,157,106,5,558,718,35.35,35.50,35.30
1,110/01/05,185,001,6,539,874,35.45,35.45,35.25
2,110/01/06,352,149,12,353,134,35.25,35.30,34.95
3,110/01/07,236,267,8,282,075,35.00,35.10,35.00
4,110/01/08,425,144,15,047,364,35.45,35.55,35.25
5,110/01/11,323,124,11,473,178,35.45,35.55,35.45
6,110/01/12,292,297,10,381,882,35.50,35.75,35.30
7,110/01/13,370,130,13,130,791,35.30,35.55,35.30
8,110/01/14,343,379,12,219,367,35.55,35.65,35.50
9,110/01/15,365,933,12,991,708,35.70,35.70,35.30
10,110/01/18,216,293,7,628,642,35.30,35.40,35.10
11,110/01/19,174,090,6,160,297,35.35,35.45,35.25
12,110/01/20,505,810,17,716,165,35.25,35.35,34.80
