,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,3,429,699,179,193,400,52.50,52.60
1,110/04/06,9,116,736,481,535,049,52.50,53.10
2,110/04/07,6,208,577,329,783,632,53.50,53.50
3,110/04/08,5,197,263,276,682,437,53.30,53.50
4,110/04/09,7,928,427,417,344,118,53.50,53.60
5,110/04/12,7,205,420,374,688,012,52.40,52.60
6,110/04/13,9,217,509,470,135,210,51.60,51.70
7,110/04/14,12,620,745,625,939,528,50.30,50.40
8,110/04/15,5,558,238,277,994,992,50.00,50.40
9,110/04/16,4,294,950,214,815,267,50.10,50.20
10,110/04/19,11,814,412,609,413,398,51.00,52.40
11,110/04/20,5,789,871,300,279,589,51.80,52.40
