,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,25,553,658,544,104,316,21.50,21.55
1,110/03/03,33,642,587,718,607,522,21.25,21.55
2,110/03/04,26,981,494,571,070,304,21.35,21.35
3,110/03/05,16,730,529,353,154,195,20.95,21.30
4,110/03/08,22,592,821,479,185,427,21.25,21.45
5,110/03/09,44,332,080,956,565,580,21.15,21.70
6,110/03/10,26,193,138,570,189,131,21.65,21.90
7,110/03/11,26,046,463,570,229,258,22.00,22.00
8,110/03/12,15,232,122,331,933,745,21.85,21.90
9,110/03/15,16,550,601,363,356,209,21.85,22.00
10,110/03/16,13,846,978,303,026,275,21.95,21.95
11,110/03/17,16,323,413,356,800,265,21.90,21.95
12,110/03/18,21,784,419,478,514,144,21.90,22.05
13,110/03/19,28,192,419,611,364,700,21.85,21.90
14,110/03/22,13,692,674,296,801,937,21.60,21.80
