,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,77,040,2,667,634,34.50,34.80,34.50
1,110/01/05,54,300,1,880,560,34.60,34.80,34.50
2,110/01/06,127,064,4,307,661,34.65,34.65,33.60
3,110/01/07,68,152,2,290,118,34.00,34.00,33.45
4,110/01/08,125,051,4,163,785,33.55,33.60,33.00
5,110/01/11,151,229,5,033,857,33.30,33.50,33.00
6,110/01/12,143,000,4,748,400,33.30,33.90,32.90
7,110/01/13,229,735,7,676,802,33.35,33.60,33.05
8,110/01/14,161,004,5,395,733,33.20,33.75,33.10
9,110/01/15,153,098,5,106,927,33.45,33.70,33.05
10,110/01/18,66,398,2,175,096,33.15,33.15,32.55
11,110/01/19,28,000,921,500,32.75,33.10,32.75,32.75
12,110/01/20,126,675,4,080,703,32.70,32.70,32.00
