,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,16,358,745,341,382,774,20.70,21.00
1,110/01/05,38,736,859,827,805,639,20.85,21.80
2,110/01/06,30,875,242,654,084,388,21.80,21.95
3,110/01/07,15,605,942,329,357,606,21.05,21.35
4,110/01/08,23,356,599,495,095,193,21.05,21.50
5,110/01/11,26,088,336,566,088,191,21.50,21.80
6,110/01/12,22,880,933,497,504,280,21.75,21.90
7,110/01/13,19,176,662,418,762,251,21.80,21.95
8,110/01/14,36,450,938,808,471,319,21.80,22.40
9,110/01/15,56,685,017,1,280,365,053,22.50
10,110/01/18,24,935,831,538,190,807,22.05,22.15
11,110/01/19,21,169,036,458,280,272,21.70,22.00
12,110/01/20,38,536,326,807,937,098,21.60,21.70
