,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,21,420,625,906,927,040,42.25,42.50
1,110/03/03,18,135,047,769,759,407,42.40,42.60
2,110/03/04,19,801,467,838,685,338,42.55,42.55
3,110/03/05,9,262,307,392,707,343,42.15,42.50
4,110/03/08,29,090,035,1,178,550,422,42.60
5,110/03/09,24,736,825,1,065,107,252,42.90
6,110/03/10,23,663,072,1,018,547,236,43.40
7,110/03/11,22,296,062,958,151,923,43.15,43.20
8,110/03/12,18,550,910,791,480,365,42.80,42.85
9,110/03/15,24,555,341,1,043,325,517,42.70
10,110/03/16,10,741,370,457,117,591,42.40,42.70
11,110/03/17,12,653,419,542,051,941,42.70,42.95
12,110/03/18,14,889,159,641,451,149,42.90,43.25
13,110/03/19,23,488,235,1,004,044,763,43.00
14,110/03/22,102,000,789,4,674,290,576,46.85
