,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,3,592,465,175,467,155,48.80,49.15
1,110/04/06,3,786,053,187,628,190,49.30,49.90
2,110/04/07,2,617,719,129,391,656,49.55,49.60
3,110/04/08,2,493,311,123,237,380,49.40,49.60
4,110/04/09,11,556,987,549,653,422,48.50,48.50
5,110/04/12,5,395,675,253,296,979,46.95,47.30
6,110/04/13,4,076,641,193,302,817,47.05,47.70
7,110/04/14,3,758,647,176,935,498,47.40,47.50
8,110/04/15,2,285,972,108,346,419,47.45,47.55
9,110/04/16,2,465,836,117,396,503,47.75,47.80
10,110/04/19,2,624,053,125,902,919,47.90,48.25
11,110/04/20,3,480,685,168,013,090,48.25,48.55
