,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,176,741,12,197,449,68.80,69.60,68.50
1,110/01/05,89,693,6,167,913,68.60,69.00,68.60
2,110/01/06,169,562,11,580,500,69.20,69.20,67.80
3,110/01/07,182,207,12,336,592,67.60,68.00,67.60
4,110/01/08,114,913,7,800,438,67.60,68.00,67.60
5,110/01/11,82,805,5,626,887,67.80,68.10,67.70
6,110/01/12,82,718,5,579,448,67.90,67.90,67.30
7,110/01/13,100,074,6,773,468,67.60,68.00,67.40
8,110/01/14,97,860,6,601,035,67.50,67.80,67.20
9,110/01/15,186,788,12,571,138,67.60,67.70,67.00
10,110/01/18,116,510,7,799,471,67.00,67.30,66.60
11,110/01/19,83,795,5,628,170,67.10,67.40,67.10
12,110/01/20,349,325,23,142,862,67.10,67.10,65.50
