,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,179,661,7,663,736,42.60,42.85,42.55
1,110/03/03,221,312,9,577,509,42.70,43.50,42.70
2,110/03/04,97,201,4,190,513,43.25,43.35,42.90
3,110/03/05,213,746,9,356,867,43.20,44.10,43.20
4,110/03/08,129,886,5,704,682,44.10,44.15,43.70
5,110/03/09,129,825,5,691,140,44.25,44.25,43.75
6,110/03/10,97,237,4,265,649,44.00,44.05,43.75
7,110/03/11,159,332,6,968,545,43.80,43.95,43.60
8,110/03/12,121,249,5,281,138,43.65,43.65,43.50
9,110/03/15,134,753,5,875,772,44.00,44.00,43.55
10,110/03/16,64,910,2,833,783,43.55,43.75,43.55
11,110/03/17,164,448,7,256,061,43.95,44.40,43.90
12,110/03/18,643,335,28,761,238,44.50,45.20,44.15
13,110/03/19,216,108,9,745,211,44.95,45.35,44.90
14,110/03/22,171,266,7,709,208,45.10,45.40,44.90
