,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,13,527,595,996,868,520,74.50,74.50
1,110/04/06,19,438,539,1,424,884,319,73.80
2,110/04/07,15,430,708,1,122,309,844,73.20
3,110/04/08,16,362,556,1,205,310,798,73.20
4,110/04/09,12,894,226,946,770,270,73.80,74.00
5,110/04/12,16,934,617,1,232,584,307,73.30
6,110/04/13,12,679,527,922,618,754,72.50,73.40
7,110/04/14,18,509,954,1,345,600,271,73.30
8,110/04/15,8,308,556,606,799,123,73.20,73.50
9,110/04/16,11,537,885,846,885,474,73.30,73.70
10,110/04/19,10,891,901,802,962,122,73.80,73.90
11,110/04/20,10,613,002,782,308,409,73.90,74.00
