,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,956,161,25,110,009,26.20,26.40,26.15
1,110/03/03,976,205,25,760,991,26.35,26.45,26.30
2,110/03/04,961,261,25,490,271,26.50,26.60,26.40
3,110/03/05,566,556,15,035,375,26.50,26.60,26.45
4,110/03/08,1,472,605,39,488,228,26.60,27.00
5,110/03/09,1,260,477,33,808,996,26.80,26.95
6,110/03/10,984,310,26,263,523,26.80,26.80,26.60
7,110/03/11,1,023,357,27,338,914,26.60,26.80
8,110/03/12,1,033,379,27,673,032,26.80,26.85
9,110/03/15,1,282,396,34,534,843,26.85,27.00
10,110/03/16,4,616,287,136,642,074,29.60,29.60
11,110/03/17,19,941,360,612,786,032,30.90,31.10
12,110/03/18,5,940,962,182,811,682,31.00,31.00
13,110/03/19,4,176,939,128,747,201,30.75,31.00
14,110/03/22,5,401,436,171,315,404,31.30,31.95
