,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,4,026,844,118,777,696,29.55,29.65
1,110/01/05,4,043,552,119,295,736,29.50,29.60
2,110/01/06,7,248,900,214,568,356,29.75,29.95
3,110/01/07,3,979,302,117,185,125,29.50,29.60
4,110/01/08,5,793,985,169,960,816,29.45,29.45
5,110/01/11,10,430,233,312,894,757,29.60,30.35
6,110/01/12,6,731,078,201,135,546,30.20,30.30
7,110/01/13,4,914,109,146,686,230,29.95,30.00
8,110/01/14,7,953,503,238,765,604,29.95,30.20
9,110/01/15,10,280,554,309,144,573,30.35,30.40
10,110/01/18,4,243,452,125,927,756,30.00,30.05
11,110/01/19,4,421,182,132,315,698,29.90,30.15
12,110/01/20,6,774,182,198,973,304,29.75,29.75
