,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,439,008,15,481,653,35.25,35.55,35.00
1,110/03/03,470,989,16,579,889,35.00,35.45,34.80
2,110/03/04,351,883,12,436,878,35.45,35.60,35.10
3,110/03/05,265,824,9,334,992,35.30,35.30,35.00
4,110/03/08,271,324,9,549,639,35.25,35.30,35.15
5,110/03/09,412,478,14,421,032,35.15,35.30,34.70
6,110/03/10,990,090,35,402,617,35.75,35.90,35.60
7,110/03/11,899,945,32,504,452,36.30,36.40,35.90
8,110/03/12,593,785,21,359,947,36.40,36.40,35.75
9,110/03/15,901,457,32,779,045,36.00,36.70,36.00
10,110/03/16,820,253,30,201,749,36.80,37.05,36.60
11,110/03/17,775,402,28,700,887,37.00,37.20,36.80
12,110/03/18,1,603,350,59,909,492,37.55,37.70
13,110/03/19,1,008,961,37,809,230,37.35,37.60
14,110/03/22,1,050,717,40,057,794,37.65,38.40
