,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,124,102,9,330,583,75.20,75.50,75.00
1,110/04/06,329,022,25,289,559,76.00,77.60,75.90
2,110/04/07,135,202,10,368,842,77.20,77.30,76.40
3,110/04/08,318,731,24,854,870,77.00,78.60,77.00
4,110/04/09,386,848,30,603,852,78.70,79.80,78.20
5,110/04/12,707,539,54,692,761,78.40,78.40,76.70
6,110/04/13,387,369,30,661,682,77.90,80.20,77.50
7,110/04/14,427,906,33,667,343,78.70,79.50,76.90
8,110/04/15,115,004,9,128,305,79.10,79.90,79.00
9,110/04/16,142,503,11,263,454,79.50,79.50,78.70
10,110/04/19,154,538,12,193,085,79.50,79.50,78.70
11,110/04/20,325,453,25,332,503,78.80,78.80,77.40
