,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,6,665,546,193,833,620,29.00,29.15
1,110/04/06,6,087,294,177,365,574,29.25,29.25
2,110/04/07,4,721,947,136,992,293,29.05,29.15
3,110/04/08,5,093,243,148,596,430,29.15,29.25
4,110/04/09,6,427,474,188,355,841,29.25,29.45
5,110/04/12,7,246,255,213,082,323,29.50,29.70
6,110/04/13,8,558,106,249,195,358,29.35,29.35
7,110/04/14,7,814,046,224,125,013,28.95,29.05
8,110/04/15,3,521,347,101,377,554,28.65,28.90
9,110/04/16,4,652,541,135,225,858,28.90,29.20
10,110/04/19,7,273,444,213,211,114,29.15,29.40
11,110/04/20,11,758,617,348,826,265,29.35,29.85
