,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,97,942,681,11,979,889,015,124.50
1,110/04/06,42,038,412,5,173,429,747,123.50
2,110/04/07,34,046,989,4,203,938,017,124.00
3,110/04/08,39,136,758,4,793,168,068,123.00
4,110/04/09,81,190,769,9,840,669,741,123.00
5,110/04/12,69,698,881,8,412,790,814,120.00
6,110/04/13,49,938,841,6,104,468,787,121.50
7,110/04/14,53,715,724,6,503,412,481,123.00
8,110/04/15,39,721,032,4,787,637,644,121.00
9,110/04/16,53,301,304,6,553,729,709,122.00
10,110/04/19,32,456,085,3,960,275,441,123.50
11,110/04/20,26,315,401,3,200,501,050,121.50
