,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/03/02,187,254,4,492,508,24.55,24.55,23.60
1,110/03/03,108,520,2,578,535,24.10,24.10,23.50
2,110/03/04,131,452,3,117,618,24.30,24.30,23.60
3,110/03/05,162,328,3,842,223,23.30,23.95,23.30
4,110/03/08,165,783,3,943,902,23.65,24.10,23.50
5,110/03/09,257,853,6,186,318,23.90,24.30,23.70
6,110/03/10,181,639,4,328,116,24.30,24.30,23.65
7,110/03/11,408,150,9,626,525,23.70,23.80,23.40
8,110/03/12,194,154,4,575,349,23.75,23.85,23.40
9,110/03/15,264,291,6,261,894,23.40,24.00,23.40
10,110/03/16,585,482,14,251,966,23.90,24.85,23.70
11,110/03/17,460,676,11,272,050,25.00,25.00,24.10
12,110/03/18,185,233,4,480,658,24.35,24.40,24.05
13,110/03/19,373,203,8,935,246,23.95,24.45,23.85
14,110/03/22,131,933,3,146,233,23.85,24.00,23.70
