,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,7,853,483,360,789,499,45.55,46.45
1,110/01/05,25,183,279,1,191,356,742,46.70
2,110/01/06,23,011,295,1,090,365,761,48.65
3,110/01/07,7,783,264,362,976,113,47.00,47.15
4,110/01/08,11,730,707,547,778,562,47.00,47.20
5,110/01/11,7,072,021,333,334,069,47.05,47.50
6,110/01/12,12,927,549,610,777,205,47.15,48.20
7,110/01/13,11,938,997,564,560,782,46.80,47.75
8,110/01/14,14,947,442,720,154,705,47.45,48.80
9,110/01/15,11,913,926,570,662,188,49.00,49.10
10,110/01/18,7,269,932,337,582,304,47.20,47.25
11,110/01/19,9,773,828,466,788,364,46.95,48.20
12,110/01/20,27,563,127,1,340,258,201,48.00
