,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,7,692,875,137,022,352,17.45,18.15
1,110/04/06,4,915,891,88,653,946,18.15,18.45
2,110/04/07,2,675,709,47,667,670,18.00,18.10
3,110/04/08,4,794,863,87,266,572,18.00,18.45
4,110/04/09,4,762,571,87,446,799,18.50,18.65
5,110/04/12,5,962,776,113,250,974,18.50,19.40
6,110/04/13,7,463,631,146,197,109,19.50,20.00
7,110/04/14,4,896,373,94,114,535,19.15,19.70
8,110/04/15,3,646,096,71,924,029,19.65,19.90
9,110/04/16,3,711,123,74,302,082,19.90,20.25
10,110/04/19,5,185,480,107,965,650,20.15,21.20
11,110/04/20,3,847,078,80,389,377,21.25,21.60
