,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,190,400,4,292,625,22.55,22.60,22.50
1,110/04/06,426,941,9,646,178,22.60,22.70,22.55
2,110/04/07,360,528,8,203,997,22.70,22.90,22.70
3,110/04/08,537,281,12,271,169,22.80,22.95,22.75
4,110/04/09,286,765,6,520,555,22.80,22.80,22.65
5,110/04/12,913,986,20,746,529,22.70,22.85,22.60
6,110/04/13,406,510,9,215,888,22.70,22.75,22.60
7,110/04/14,784,470,17,694,453,22.65,22.70,22.35
8,110/04/15,227,770,5,144,188,22.45,22.65,22.45
9,110/04/16,412,531,9,338,933,22.60,22.75,22.55
10,110/04/19,989,133,22,772,259,22.85,23.10,22.70
11,110/04/20,706,674,16,266,061,23.10,23.20,22.90
