,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,4,258,659,337,035,556,79.70,80.00
1,110/04/06,3,677,729,291,051,667,79.50,79.50
2,110/04/07,2,145,276,169,611,658,79.00,79.40
3,110/04/08,9,280,998,727,025,372,79.30,79.30
4,110/04/09,2,683,081,210,656,070,79.00,79.10
5,110/04/12,3,293,164,260,196,041,78.90,79.60
6,110/04/13,6,135,610,489,841,906,80.50,80.70
7,110/04/14,2,923,544,231,157,121,79.60,80.00
8,110/04/15,3,461,846,276,421,175,79.30,80.30
9,110/04/16,3,865,216,310,164,563,80.10,80.60
10,110/04/19,7,898,413,648,959,147,80.80,83.40
11,110/04/20,3,843,538,319,414,026,82.70,83.70
