,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/04/01,2,621,062,186,661,844,72.10,72.10
1,110/04/06,5,939,972,431,906,037,71.60,73.60
2,110/04/07,3,122,157,226,920,287,73.00,73.60
3,110/04/08,2,489,895,181,067,866,73.20,73.50
4,110/04/09,3,823,361,274,026,575,72.90,72.90
5,110/04/12,8,174,239,598,122,816,72.50,75.50
6,110/04/13,4,262,866,304,674,328,72.50,72.90
7,110/04/14,2,883,068,200,672,340,70.60,71.10
8,110/04/15,2,004,886,139,988,240,70.20,70.80
9,110/04/16,1,528,855,108,077,216,71.00,71.20
10,110/04/19,2,384,601,166,580,264,70.70,70.70
11,110/04/20,2,021,750,141,341,231,69.70,70.30
