,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,110/01/04,187,505,2,689,546,14.35,14.40,14.30
1,110/01/05,167,505,2,413,752,14.40,14.45,14.35
2,110/01/06,466,797,6,722,204,14.50,14.65,14.20
3,110/01/07,215,112,3,075,742,14.30,14.35,14.25
4,110/01/08,326,477,4,707,149,14.50,14.55,14.35
5,110/01/11,282,972,4,085,046,14.50,14.50,14.40
6,110/01/12,553,139,8,029,810,14.40,14.70,14.35
7,110/01/13,495,686,7,249,281,14.65,14.70,14.55
8,110/01/14,409,127,5,951,041,14.60,14.60,14.50
9,110/01/15,804,895,11,664,660,14.60,14.65,14.30
10,110/01/18,342,082,4,910,164,14.35,14.45,14.25
11,110/01/19,435,412,6,323,437,14.50,14.60,14.45
12,110/01/20,611,314,8,839,539,14.70,14.70,14.25
